#===============================================================================
## The subset V3 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
4llx    1.75     2014    2.89     Ki=1300uM    1    0.70     180.5     0.52     S2    V3    H2
5c28    1.56     2015    5.66     Ki=2.2uM     1    0.78     245.1     0.43     S2    V3    H2
3uuo    2.11     2012    7.96     Ki=11nM      1    0.61     250.1     0.41     S2    V3    H2
3ui7    2.28     2011    9.00     Ki=1nM       1    0.70     307.8     0.34     S2    V3    H2
5c2h    2.09     2015   11.09     Ki=8.2pM     1    0.74     466.2    -0.15     S2    V3    H2
2v00    1.55     2007    3.66     Kd=0.22mM    2    0.71     264.5    -0.49     S1    V3    H2
3wz8    1.45     2015    5.82     Ki=1.5uM     2    0.68     365.2    -0.36     S1    V3    H2
3pww    1.22     2011    7.32     Ki=48nM      2    0.67     472.6    -0.19     S1    V3    H2
3prs    1.38     2011    7.82     Ki=15nM      2    0.69     506.0    -0.25     S1    V3    H2
3uri    2.10     2012    9.00     Ki=1nM       2    0.53     448.5    -0.09     S1    V3    H2
4m0z    2.00     2014    5.19     Kd=6.4uM     3    0.91     466.6    -0.02     S3    V3    H3
4m0y    1.70     2014    6.46     Kd=0.35uM    3    0.70     251.1    -0.19     S3    V3    H3
3qgy    2.10     2011    7.80     Ki=16nM      3    0.66     275.0    -0.34     S3    V3    H3
4qd6    2.45     2015    8.64     Ki=2.3nM     3    0.45     171.2    -0.37     S3    V3    H3
4rfm    2.10     2015   10.05     Ki=90pM      3    0.63     373.8    -0.13     S3    V3    H3
3wtj    2.24     2015    6.53     Kd=0.297uM   8    0.95     374.8     0.13     S3    V3    H3
3zdg    2.48     2013    7.10     Ki=79nM      8    0.94     338.9     0.43     S3    V3    H3
3u8k    2.47     2011    8.66     Ki=2.2nM     8    0.88     339.2     0.39     S3    V3    H3
4qac    2.10     2014    9.40     Kd=0.4nM     8    0.87     481.8     0.44     S3    V3    H3
3u8n    2.35     2011   10.17     Ki=0.067nM   8    0.94     367.8     0.33     S3    V3    H3
1a30    2.00     1998    4.30     Ki=50uM      9    0.75     368.5    -0.31     S3    V3    H2
2qnq    2.30     2008    6.11     Ki=0.77uM    9    0.84     596.0    -0.27     S3    V3    H2
1g2k    1.95     2001    7.96     Ki=11nM      9    0.80     627.5    -0.38     S3    V3    H2
1eby    2.29     2002    9.70     Ki=0.20nM    9    0.87     717.0    -0.34     S3    V3    H2
3o9i    1.45     2011   11.82     Ki=1.5pM     9    0.85     636.4    -0.29     S3    V3    H2
3l7b    2.00     2010    2.40     Ki=4.01mM   12    0.85     381.4    -0.48     S3    V3    H1
4eky    2.45     2012    3.52     Ki=303.0uM  12    0.86     489.1    -0.54     S3    V3    H1
3g2n    2.10     2010    4.09     Ki=81uM     12    0.86     425.2    -0.39     S3    V3    H1
3syr    2.40     2012    5.10     Ki=7.9uM    12    0.86     373.0    -0.48     S3    V3    H1
3ebp    2.00     2009    5.91     Ki=1.24uM   12    0.55     259.4    -0.44     S3    V3    H1
1gpk    2.10     2002    5.37     Ki=4.3uM    16    0.87     395.9     0.15     S2    V3    H3
1gpn    2.35     2002    6.48     Ki=0.334uM  16    0.88     391.6     0.15     S2    V3    H3
1h23    2.15     2002    8.35     Ki=4.5nM    16    0.77     600.4     0.30     S2    V3    H3
1h22    2.15     2002    9.10     Ki=0.8nM    16    0.76     573.0     0.17     S2    V3    H3
1e66    2.10     2001    9.89     Ki=0.13nM   16    0.89     445.2     0.15     S2    V3    H3
3udh    1.70     2012    2.85     Kd=1.4mM    19    0.76     221.5    -0.13     S3    V3    H2
3rsx    2.48     2011    4.41     Kd=38.8uM   19    0.74     214.4    -0.53     S3    V3    H2
4djv    1.73     2012    6.72     Ki=0.19uM   19    0.74     342.0    -0.05     S3    V3    H2
2vkm    2.05     2008    8.74     Ki=1.8nM    19    0.81     730.1    -0.20     S3    V3    H2
4gid    2.00     2012   10.77     Ki=0.017nM  19    0.84     775.9    -0.25     S3    V3    H2
4dli    1.91     2013    5.62     Kd=2.40uM   22    0.84     394.0    -0.39     S2    V3    H3
2zb1    2.50     2008    6.32     Kd=0.48uM   22    0.84     499.9    -0.13     S2    V3    H3
4f9w    2.00     2013    6.94     Ki=114nM    22    0.75     364.9    -0.15     S2    V3    H3
3e92    2.00     2008    8.00     Ki=10nM     22    0.91     536.0     0.00     S2    V3    H3
3e93    2.00     2008    8.85     Ki=1.4nM    22    0.77     583.2     0.08     S2    V3    H3
1q8t    2.00     2003    4.76     Kd=17.5uM   26    0.77     362.6    -0.39     S2    V3    H2
1ydr    2.20     1997    5.52     Ki=3.0uM    26    0.82     366.6    -0.24     S2    V3    H2
1q8u    1.90     2003    5.96     Kd=1.1uM    26    0.80     386.6    -0.27     S2    V3    H2
1ydt    2.30     1997    7.32     Ki=48nM     26    0.82     501.9    -0.31     S2    V3    H2
3ag9    2.00     2010    8.05     Ki=9nM      26    0.47     435.8    -0.46     S2    V3    H2
4ddk    1.75     2013    2.29     Kd=5.13mM   28    0.82     248.0    -0.34     S3    V3    H3
4ddh    2.07     2013    3.32     Kd=0.48mM   28    0.85     306.2    -0.41     S3    V3    H3
3ivg    1.95     2009    4.30     Kd=50uM     28    0.84     500.4    -0.20     S3    V3    H3
3coz    2.00     2008    5.57     Kd=2.7uM    28    0.86     533.5    -0.11     S3    V3    H3
3coy    2.03     2008    6.02     Kd=0.96uM   28    0.87     554.6    -0.07     S3    V3    H3
3acw    1.63     2010    4.76     Ki=17.5uM   33    0.84     441.1     0.23     S2    V3    H2
4ea2    2.05     2012    6.44     Ki=0.36uM   33    0.83     486.1     0.05     S2    V3    H2
2zcr    1.92     2008    6.87     Ki=135nM    33    0.77     528.8    -0.24     S2    V3    H2
2zy1    1.78     2009    7.40     Ki=0.04uM   33    0.74     455.1    -0.03     S2    V3    H2
2zcq    2.38     2008    8.82     Ki=1.5nM    33    0.78     452.6    -0.33     S2    V3    H2
3u9q    1.52     2011    4.38     Ki=41.7uM   35    0.90     321.1     0.42     S2    V3    H3
2yfe    2.00     2012    6.63     Ki=0.236uM  35    0.75     432.0     0.11     S2    V3    H3
3fur    2.30     2009    8.00     Ki=10nM     35    0.80     523.6     0.15     S2    V3    H3
3b1m    1.60     2011    8.48     Ki=3.3nM    35    0.70     509.6     0.29     S2    V3    H3
2p4y    2.25     2008    9.00     Ki=1nM      35    0.80     635.2     0.15     S2    V3    H3
2xdl    1.98     2010    3.10     Kd=790uM    39    0.84     355.8    -0.30     S3    V3    H3
3b27    1.50     2011    5.16     Kd=6.9uM    39    0.74     297.0    -0.26     S3    V3    H3
1yc1    1.70     2005    6.17     Kd=680nM    39    0.76     372.0    -0.19     S3    V3    H3
3rlr    1.70     2011    7.52     Ki=30nM     39    0.78     389.8     0.02     S3    V3    H3
2yki    1.67     2011    9.46     Kd=0.35nM   39    0.85     607.6     0.23     S3    V3    H3
1z95    1.80     2005    7.12     Ki=76nM     40    0.94     595.2     0.27     S3    V3    H3
3b68    1.90     2008    8.40     Ki=4nM      40    0.95     620.5     0.21     S3    V3    H3
3b5r    1.80     2008    8.77     Ki=1.7nM    40    0.95     584.9     0.23     S3    V3    H3
3b65    1.80     2008    9.27     Ki=0.54nM   40    0.94     572.5     0.23     S3    V3    H3
