,Datatype,Modeltype,Featuretype,Scoretype,Top1: # correct binding poses:,Top1: '%' correct binding poses:,Top2: # correct binding poses:,Top2: '%' correct binding poses:,Top3: # correct binding poses:,Top3: '%' correct binding poses:,Spearman correlation coefficient in rmsd range [0-2]:,90'%' confidence interval in rmsd range [0-2]:,Spearman correlation coefficient in rmsd range [0-3]:,90'%' confidence interval in rmsd range [0-3]:,Spearman correlation coefficient in rmsd range [0-4]:,90'%' confidence interval in rmsd range [0-4]:,Spearman correlation coefficient in rmsd range [0-5]:,90'%' confidence interval in rmsd range [0-5]:,Spearman correlation coefficient in rmsd range [0-6]:,90'%' confidence interval in rmsd range [0-6]:,Spearman correlation coefficient in rmsd range [0-7]:,90'%' confidence interval in rmsd range [0-7]:,Spearman correlation coefficient in rmsd range [0-8]:,90'%' confidence interval in rmsd range [0-8]:,Spearman correlation coefficient in rmsd range [0-9]:,90'%' confidence interval in rmsd range [0-9]:,Spearman correlation coefficient in rmsd range [0-10]:,90'%' confidence interval in rmsd range [0-10]:
0,all,linearRegression,final,delta_G,24,8.4%,53,18.6%,73,25.6%,-0.556,[-0.622~-0.482],-0.583,[-0.646~-0.513],-0.552,[-0.618~-0.478],-0.512,[-0.583~-0.434],-0.479,[-0.553~-0.398],-0.439,[-0.517~-0.354],-0.411,[-0.491~-0.324],-0.384,[-0.467~-0.295],-0.364,[-0.448~-0.273]
1,all,linearRegression,final,Affinity_Data_Value,27,9.5%,53,18.6%,75,26.3%,-0.552,[-0.618~-0.478],-0.581,[-0.644~-0.51],-0.550,[-0.616~-0.476],-0.510,[-0.581~-0.432],-0.477,[-0.551~-0.395],-0.439,[-0.517~-0.354],-0.412,[-0.492~-0.325],-0.386,[-0.468~-0.297],-0.366,[-0.45~-0.276]
2,all,linearRegression,final,pKd_pKi_pIC50,217,76.1%,241,84.6%,254,89.1%,0.555,[0.481~0.621],0.583,[0.513~0.646],0.553,[0.479~0.619],0.513,[0.435~0.583],0.479,[0.398~0.553],0.439,[0.354~0.517],0.412,[0.325~0.492],0.385,[0.296~0.467],0.365,[0.275~0.449]
3,all,Ridge,final,delta_G,30,10.5%,55,19.3%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.413,[-0.493~-0.326],-0.387,[-0.469~-0.298],-0.367,[-0.451~-0.277]
4,all,Ridge,final,Affinity_Data_Value,27,9.5%,54,18.9%,74,26.0%,-0.561,[-0.626~-0.488],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.415,[-0.495~-0.328],-0.389,[-0.471~-0.3],-0.368,[-0.452~-0.278]
5,all,Ridge,final,pKd_pKi_pIC50,220,77.2%,243,85.3%,254,89.1%,0.559,[0.486~0.625],0.586,[0.516~0.648],0.554,[0.48~0.62],0.514,[0.436~0.584],0.481,[0.4~0.555],0.442,[0.357~0.519],0.414,[0.327~0.494],0.388,[0.299~0.47],0.367,[0.277~0.451]
6,all,Lasso,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.414,[-0.494~-0.327],-0.388,[-0.47~-0.299],-0.367,[-0.451~-0.277]
7,all,Lasso,final,Affinity_Data_Value,29,10.2%,54,18.9%,75,26.3%,-0.561,[-0.626~-0.488],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.515,[-0.585~-0.437],-0.483,[-0.556~-0.402],-0.444,[-0.521~-0.36],-0.417,[-0.497~-0.33],-0.390,[-0.472~-0.301],-0.370,[-0.454~-0.28]
8,all,Lasso,final,pKd_pKi_pIC50,218,76.5%,241,84.6%,254,89.1%,0.559,[0.486~0.625],0.586,[0.516~0.648],0.554,[0.48~0.62],0.513,[0.435~0.583],0.481,[0.4~0.555],0.442,[0.357~0.519],0.415,[0.328~0.495],0.389,[0.3~0.471],0.368,[0.278~0.452]
9,all,ElasticNet,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.414,[-0.494~-0.327],-0.388,[-0.47~-0.299],-0.368,[-0.452~-0.278]
10,all,ElasticNet,final,Affinity_Data_Value,28,9.8%,53,18.6%,74,26.0%,-0.556,[-0.622~-0.482],-0.585,[-0.647~-0.515],-0.553,[-0.619~-0.479],-0.514,[-0.584~-0.436],-0.484,[-0.557~-0.403],-0.446,[-0.523~-0.362],-0.421,[-0.5~-0.335],-0.396,[-0.478~-0.308],-0.376,[-0.459~-0.286]
11,all,ElasticNet,final,pKd_pKi_pIC50,217,76.1%,239,83.9%,254,89.1%,0.558,[0.484~0.624],0.586,[0.516~0.648],0.554,[0.48~0.62],0.514,[0.436~0.584],0.481,[0.4~0.555],0.442,[0.357~0.519],0.415,[0.328~0.495],0.390,[0.301~0.472],0.369,[0.279~0.453]
12,all,SVR,final,delta_G,30,10.5%,65,22.8%,85,29.8%,0.306,[0.208~0.398],0.231,[0.132~0.326],0.214,[0.115~0.309],0.216,[0.117~0.311],0.212,[0.113~0.307],0.227,[0.129~0.32],0.234,[0.137~0.327],0.235,[0.138~0.328],0.240,[0.143~0.332]
13,all,SVR,final,Affinity_Data_Value,28,9.8%,54,18.9%,75,26.3%,-0.561,[-0.626~-0.488],-0.589,[-0.651~-0.519],-0.557,[-0.623~-0.484],-0.517,[-0.587~-0.439],-0.485,[-0.558~-0.404],-0.447,[-0.524~-0.363],-0.420,[-0.499~-0.334],-0.394,[-0.476~-0.306],-0.374,[-0.457~-0.284]
14,all,SVR,final,pKd_pKi_pIC50,36,12.6%,61,21.4%,79,27.7%,-0.216,[-0.313~-0.114],-0.160,[-0.258~-0.058],-0.134,[-0.233~-0.033],-0.136,[-0.234~-0.035],-0.136,[-0.234~-0.035],-0.146,[-0.243~-0.046],-0.152,[-0.249~-0.052],-0.158,[-0.254~-0.058],-0.169,[-0.265~-0.07]
