,Datatype,Modeltype,Featuretype,Scoretype,Top1: # correct binding poses:,Top1: '%' correct binding poses:,Top2: # correct binding poses:,Top2: '%' correct binding poses:,Top3: # correct binding poses:,Top3: '%' correct binding poses:,Spearman correlation coefficient in rmsd range [0-2]:,90'%' confidence interval in rmsd range [0-2]:,Spearman correlation coefficient in rmsd range [0-3]:,90'%' confidence interval in rmsd range [0-3]:,Spearman correlation coefficient in rmsd range [0-4]:,90'%' confidence interval in rmsd range [0-4]:,Spearman correlation coefficient in rmsd range [0-5]:,90'%' confidence interval in rmsd range [0-5]:,Spearman correlation coefficient in rmsd range [0-6]:,90'%' confidence interval in rmsd range [0-6]:,Spearman correlation coefficient in rmsd range [0-7]:,90'%' confidence interval in rmsd range [0-7]:,Spearman correlation coefficient in rmsd range [0-8]:,90'%' confidence interval in rmsd range [0-8]:,Spearman correlation coefficient in rmsd range [0-9]:,90'%' confidence interval in rmsd range [0-9]:,Spearman correlation coefficient in rmsd range [0-10]:,90'%' confidence interval in rmsd range [0-10]:
0,all,linearRegression,final,delta_G,24,8.4%,53,18.6%,73,25.6%,-0.556,[-0.622~-0.482],-0.583,[-0.646~-0.513],-0.552,[-0.618~-0.478],-0.512,[-0.583~-0.434],-0.479,[-0.553~-0.398],-0.439,[-0.517~-0.354],-0.411,[-0.491~-0.324],-0.384,[-0.467~-0.295],-0.364,[-0.448~-0.273]
1,all,linearRegression,final,Affinity_Data_Value,27,9.5%,53,18.6%,75,26.3%,-0.552,[-0.618~-0.478],-0.581,[-0.644~-0.51],-0.550,[-0.616~-0.476],-0.510,[-0.581~-0.432],-0.477,[-0.551~-0.395],-0.439,[-0.517~-0.354],-0.412,[-0.492~-0.325],-0.386,[-0.468~-0.297],-0.366,[-0.45~-0.276]
2,all,linearRegression,final,pKd_pKi_pIC50,217,76.1%,241,84.6%,254,89.1%,0.555,[0.481~0.621],0.583,[0.513~0.646],0.553,[0.479~0.619],0.513,[0.435~0.583],0.479,[0.398~0.553],0.439,[0.354~0.517],0.412,[0.325~0.492],0.385,[0.296~0.467],0.365,[0.275~0.449]
3,all,linearRegression,GAP,delta_G,14,4.9%,28,9.8%,35,12.3%,-0.312,[-0.4~-0.218],-0.406,[-0.487~-0.318],-0.432,[-0.51~-0.347],-0.441,[-0.519~-0.356],-0.456,[-0.532~-0.373],-0.451,[-0.528~-0.367],-0.450,[-0.527~-0.366],-0.450,[-0.527~-0.366],-0.449,[-0.526~-0.365]
4,all,linearRegression,GAP,Affinity_Data_Value,22,7.7%,33,11.6%,39,13.7%,0.228,[0.13~0.321],0.177,[0.078~0.273],0.099,[-0.002~0.198],0.014,[-0.087~0.114],-0.057,[-0.157~0.044],-0.114,[-0.212~-0.014],-0.151,[-0.248~-0.051],-0.184,[-0.279~-0.085],-0.207,[-0.301~-0.109]
5,all,linearRegression,GAP,pKd_pKi_pIC50,119,41.8%,161,56.5%,186,65.3%,0.380,[0.29~0.463],0.471,[0.389~0.546],0.485,[0.404~0.558],0.484,[0.403~0.557],0.491,[0.411~0.564],0.478,[0.397~0.552],0.470,[0.388~0.545],0.466,[0.383~0.541],0.461,[0.378~0.537]
6,all,Ridge,final,delta_G,30,10.5%,55,19.3%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.413,[-0.493~-0.326],-0.387,[-0.469~-0.298],-0.367,[-0.451~-0.277]
7,all,Ridge,final,Affinity_Data_Value,27,9.5%,54,18.9%,74,26.0%,-0.561,[-0.626~-0.488],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.415,[-0.495~-0.328],-0.389,[-0.471~-0.3],-0.368,[-0.452~-0.278]
8,all,Ridge,final,pKd_pKi_pIC50,220,77.2%,243,85.3%,254,89.1%,0.559,[0.486~0.625],0.586,[0.516~0.648],0.554,[0.48~0.62],0.514,[0.436~0.584],0.481,[0.4~0.555],0.442,[0.357~0.519],0.414,[0.327~0.494],0.388,[0.299~0.47],0.367,[0.277~0.451]
9,all,Ridge,GAP,delta_G,13,4.6%,23,8.1%,39,13.7%,-0.278,[-0.369~-0.182],-0.373,[-0.456~-0.283],-0.402,[-0.483~-0.314],-0.419,[-0.499~-0.332],-0.436,[-0.514~-0.351],-0.436,[-0.514~-0.351],-0.438,[-0.516~-0.353],-0.441,[-0.519~-0.356],-0.442,[-0.519~-0.357]
10,all,Ridge,GAP,Affinity_Data_Value,23,8.1%,33,11.6%,39,13.7%,0.245,[0.148~0.338],0.195,[0.096~0.29],0.118,[0.018~0.216],0.032,[-0.069~0.132],-0.041,[-0.141~0.06],-0.099,[-0.198~0.002],-0.137,[-0.234~-0.037],-0.170,[-0.266~-0.071],-0.195,[-0.29~-0.096]
11,all,Ridge,GAP,pKd_pKi_pIC50,110,38.6%,157,55.1%,181,63.5%,0.356,[0.265~0.441],0.450,[0.366~0.527],0.466,[0.383~0.541],0.470,[0.388~0.545],0.481,[0.4~0.555],0.472,[0.39~0.547],0.467,[0.385~0.542],0.465,[0.382~0.54],0.461,[0.378~0.537]
12,all,Lasso,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.414,[-0.494~-0.327],-0.388,[-0.47~-0.299],-0.367,[-0.451~-0.277]
13,all,Lasso,final,Affinity_Data_Value,29,10.2%,54,18.9%,75,26.3%,-0.561,[-0.626~-0.488],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.515,[-0.585~-0.437],-0.483,[-0.556~-0.402],-0.444,[-0.521~-0.36],-0.417,[-0.497~-0.33],-0.390,[-0.472~-0.301],-0.370,[-0.454~-0.28]
14,all,Lasso,final,pKd_pKi_pIC50,218,76.5%,241,84.6%,254,89.1%,0.559,[0.486~0.625],0.586,[0.516~0.648],0.554,[0.48~0.62],0.513,[0.435~0.583],0.481,[0.4~0.555],0.442,[0.357~0.519],0.415,[0.328~0.495],0.389,[0.3~0.471],0.368,[0.278~0.452]
