## The subset S1 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
2v00    1.55     2007    3.66     Kd=0.22mM    2    0.71     264.5    -0.49     S1    V3    H2
3wz8    1.45     2015    5.82     Ki=1.5uM     2    0.68     365.2    -0.36     S1    V3    H2
3pww    1.22     2011    7.32     Ki=48nM      2    0.67     472.6    -0.19     S1    V3    H2
3prs    1.38     2011    7.82     Ki=15nM      2    0.69     506.0    -0.25     S1    V3    H2
3uri    2.10     2012    9.00     Ki=1nM       2    0.53     448.5    -0.09     S1    V3    H2
4cr9    1.70     2015    4.10     Ki=80uM      4    0.75     217.1    -0.19     S1    V2    H3
4cra    1.80     2015    7.22     Ki=0.06uM    4    0.65     349.5    -0.16     S1    V2    H3
4x6p    1.93     2015    8.30     Ki=5nM       4    0.68     356.8    -0.11     S1    V2    H3
4crc    1.60     2015    8.72     Ki=0.0019uM  4    0.67     371.0    -0.11     S1    V2    H3
4ty7    2.09     2014    9.52     Ki=0.3nM     4    0.67     310.0    -0.20     S1    V2    H3
5aba    1.62     2015    2.98     Kd=1040uM    5    0.53     192.9    -0.19     S1    V1    H3
5a7b    1.40     2015    3.57     Kd=271uM     5    0.53     248.9    -0.14     S1    V1    H3
4agn    1.60     2012    3.97     Kd=107uM     5    0.57     239.2    -0.21     S1    V1    H3
4agp    1.50     2012    4.69     Kd=20.6uM    5    0.53     238.1    -0.21     S1    V1    H3
4agq    1.42     2012    5.01     Kd=9.7uM     5    0.53     247.6    -0.21     S1    V1    H3
4lzs    2.20     2014    4.80     Kd=16uM     10    0.68     235.4     0.44     S1    V1    H3
3u5j    1.60     2011    5.61     Kd=2.46uM   10    0.65     252.2     0.37     S1    V1    H3
4wiv    1.56     2014    6.26     Kd=550nM    10    0.56     228.6     0.37     S1    V1    H3
4ogj    1.65     2014    6.79     Kd=164nM    10    0.47     197.6     0.43     S1    V1    H3
3p5o    1.60     2010    7.30     Kd=50.5nM   10    0.56     230.1     0.27     S1    V1    H3
1ps3    1.80     2003    2.28     Ki=5.2mM    11    0.80     200.6    -0.51     S1    V1    H1
3dx1    1.21     2009    3.58     Ki=265uM    11    0.89     152.1    -0.61     S1    V1    H1
3d4z    1.39     2008    4.89     Ki=13uM     11    0.84     191.2    -0.54     S1    V1    H1
3dx2    1.40     2009    6.82     Ki=150nM    11    0.89     201.8    -0.54     S1    V1    H1
3ejr    1.27     2009    8.57     Ki=2.7nM    11    0.65     250.5    -0.55     S1    V1    H1
3aru    1.90     2011    3.22     Kd=600uM    14    0.55     174.9    -0.17     S1    V1    H3
3arv    1.50     2011    5.64     Kd=2.3uM    14    0.40      89.2    -0.21     S1    V1    H3
3ary    1.35     2011    6.00     Kd=1.0uM    14    0.50      88.5    -0.54     S1    V1    H3
3arq    1.50     2011    6.40     Kd=0.4uM    14    0.49     151.8    -0.40     S1    V1    H3
3arp    1.55     2011    7.15     Kd=0.07uM   14    0.53     276.9     0.04     S1    V1    H3
4ih5    1.90     2013    4.11     Kd=78uM     15    0.73     252.2    -0.02     S1    V2    H2
4ih7    2.30     2013    5.24     Kd=5.8uM    15    0.77     289.8    -0.05     S1    V2    H2
3cj4    2.07     2008    6.51     Kd=0.31uM   15    0.62     201.8    -0.02     S1    V2    H2
