## The subset H3 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
4m0z    2.00     2014    5.19     Kd=6.4uM    3    0.91     466.6    -0.02     S3    V3    H3
4m0y    1.70     2014    6.46     Kd=0.35uM   3    0.70     251.1    -0.19     S3    V3    H3
3qgy    2.10     2011    7.80     Ki=16nM     3    0.66     275.0    -0.34     S3    V3    H3
4qd6    2.45     2015    8.64     Ki=2.3nM    3    0.45     171.2    -0.37     S3    V3    H3
4rfm    2.10     2015   10.05     Ki=90pM     3    0.63     373.8    -0.13     S3    V3    H3
4cr9    1.70     2015    4.10     Ki=80uM     4    0.75     217.1    -0.19     S1    V2    H3
4cra    1.80     2015    7.22     Ki=0.06uM   4    0.65     349.5    -0.16     S1    V2    H3
4x6p    1.93     2015    8.30     Ki=5nM      4    0.68     356.8    -0.11     S1    V2    H3
4crc    1.60     2015    8.72     Ki=0.0019uM 4    0.67     371.0    -0.11     S1    V2    H3
4ty7    2.09     2014    9.52     Ki=0.3nM    4    0.67     310.0    -0.20     S1    V2    H3
5aba    1.62     2015    2.98     Kd=1040uM   5    0.53     192.9    -0.19     S1    V1    H3
5a7b    1.40     2015    3.57     Kd=271uM    5    0.53     248.9    -0.14     S1    V1    H3
4agn    1.60     2012    3.97     Kd=107uM    5    0.57     239.2    -0.21     S1    V1    H3
4agp    1.50     2012    4.69     Kd=20.6uM   5    0.53     238.1    -0.21     S1    V1    H3
4agq    1.42     2012    5.01     Kd=9.7uM    5    0.53     247.6    -0.21     S1    V1    H3
3wtj    2.24     2015    6.53     Kd=0.297uM  8    0.95     374.8     0.13     S3    V3    H3
3zdg    2.48     2013    7.10     Ki=79nM     8    0.94     338.9     0.43     S3    V3    H3
3u8k    2.47     2011    8.66     Ki=2.2nM    8    0.88     339.2     0.39     S3    V3    H3
4qac    2.10     2014    9.40     Kd=0.4nM    8    0.87     481.8     0.44     S3    V3    H3
3u8n    2.35     2011   10.17     Ki=0.067nM  8    0.94     367.8     0.33     S3    V3    H3
4lzs    2.20     2014    4.80     Kd=16uM    10    0.68     235.4     0.44     S1    V1    H3
3u5j    1.60     2011    5.61     Kd=2.46uM  10    0.65     252.2     0.37     S1    V1    H3
4wiv    1.56     2014    6.26     Kd=550nM   10    0.56     228.6     0.37     S1    V1    H3
4ogj    1.65     2014    6.79     Kd=164nM   10    0.47     197.6     0.43     S1    V1    H3
3p5o    1.60     2010    7.30     Kd=50.5nM  10    0.56     230.1     0.27     S1    V1    H3
3aru    1.90     2011    3.22     Kd=600uM   14    0.55     174.9    -0.17     S1    V1    H3
3arv    1.50     2011    5.64     Kd=2.3uM   14    0.40      89.2    -0.21     S1    V1    H3
3ary    1.35     2011    6.00     Kd=1.0uM   14    0.50      88.5    -0.54     S1    V1    H3
3arq    1.50     2011    6.40     Kd=0.4uM   14    0.49     151.8    -0.40     S1    V1    H3
3arp    1.55     2011    7.15     Kd=0.07uM  14    0.53     276.9     0.04     S1    V1    H3
1gpk    2.10     2002    5.37     Ki=4.3uM   16    0.87     395.9     0.15     S2    V3    H3
