#code,score
3f3c_223,-21.65902802380669
3f3c_256,-21.65902802380669
3f3c_258,-21.65902802380669
3f3c_29,-21.65902802380669
3f3c_326,-21.65902802380669
3f3c_38,-21.65902802380669
3f3c_401,-21.65902802380669
3f3c_407,-21.65902802380669
3f3c_411,-21.65902802380669
3f3c_413,-21.65902802380669
3f3c_419,-21.65902802380669
3f3c_430,-21.65902802380669
3f3c_442,-21.65902802380669
3f3c_453,-21.65902802380669
3f3c_456,-21.65902802380669
3f3c_458,-21.65902802380669
3f3c_459,-21.65902802380669
3f3c_463,-21.65902802380669
3f3c_466,-21.65902802380669
3f3c_469,-21.65902802380669
3f3c_471,-21.65902802380669
3f3c_472,-21.65902802380669
3f3c_474,-21.65902802380669
3f3c_475,-21.65902802380669
3f3c_480,-21.65902802380669
3f3c_485,-21.65902802380669
3f3c_491,-21.65902802380669
3f3c_496,-21.65902802380669
3f3c_499,-21.65902802380669
3f3c_507,-21.65902802380669
3f3c_508,-21.65902802380669
3f3c_510,-21.65902802380669
3f3c_523,-21.65902802380669
3f3c_542,-21.65902802380669
3f3c_544,-21.65902802380669
3f3c_545,-21.65902802380669
3f3c_555,-21.65902802380669
3f3c_572,-21.65902802380669
3f3c_585,-21.65902802380669
3f3c_586,-21.65902802380669
3f3c_587,-21.65902802380669
3f3c_599,-21.65902802380669
3f3c_628,-21.65902802380669
3f3c_635,-21.65902802380669
3f3c_665,-21.65902802380669
3f3c_686,-21.65902802380669
3f3c_696,-21.65902802380669
3f3c_735,-21.65902802380669
3f3c_775,-21.65902802380669
3f3c_779,-21.65902802380669
3f3c_788,-21.65902802380669
3f3c_789,-21.65902802380669
3f3c_790,-21.65902802380669
3f3c_791,-21.65902802380669
3f3c_792,-21.65902802380669
3f3c_799,-21.65902802380669
