     code     1     2     3     4     5     6
1    4llx  3coy  2cet  1sqa  2xb8  2qbp  2p15
2    5c28  1u1b  2xb8  3coy  2zcq  1sqa  3qqs
3    3uuo  3fv1  2xb8  3coy  3kr8  2al5  3arp
4    3ui7  4twp  4gid  3fv1  2al5  3zso  4agq
5    5c2h  4de1  3fv1  3coy  2cet  3nw9  3u8n
6    2v00  3fv1  2al5  4tmn  3myg  1mq6  2vvn
7    3wz8  1e66  3gnw  4w9h  3arp  3ebp  2cet
8    3pww  4tmn  4ty7  3gnw  3fv1  1e66  4gid
9    3prs  2qbp  2al5  3gnw  3zso  1e66  4pcs
10   3uri  1e66  3fv1  3f3e  3arp  4de1  3utu
11   4m0z  2al5  1mq6  2qbp  3utu  3zso  2vvn
12   4m0y  3fv1  2al5  3kr8  4gr0  3f3e  3nw9
13   3qgy  1e66  2al5  3nw9  4pcs  3f3e  1mq6
14   4qd6  2x00  4w9h  3kr8  2vvn  3ebp  3g0w
15   4rfm  3f3e  3e93  3fv1  2zcq  2al5  2xb8
16   4cr9  3fv1  3zso  2qbp  2p4y  2xb8  2al5
17   4cra  3fv1  3ag9  3f3e  2p4y  1e66  3u8n
18   4x6p  3fv1  4tmn  2al5  2x00  4gid  2vvn
19   4crc  4gid  2x00  2yki  4tmn  3coy  2al5
20   4ty7  1e66  3fv1  4w9h  3kr8  4gid  2al5
21   5aba  3u8n  1e66  4de1  3coy  3arp  1mq6
22   5a7b  3utu  2yki  4de1  4pcs  3zso  3myg
23   4agn  3zso  3fv1  1o3f  1mq6  4gid  2yki
24   4agp  1e66  4gid  3fv1  2vvn  2cet  2vw5
25   4agq  1e66  4pcs  2p4y  4gid  2al5  3u8n
26   3bgz  3fv1  3zso  2al5  4gid  3ag9  3e93
27   3jya  3kr8  2al5  2qbp  4tmn  3nw9  3zso
28   2c3i  2al5  1e66  3coy  2r9w  3arp  3fv1
29   4k18  2qbp  3coy  2al5  3myg  4gr0  3e93
30   5dwr  2al5  3fv1  2xb8  2cet  3u8n  1e66
31   3mss  3fv1  3kr8  1e66  3dd0  2al5  4pcs
32   3k5v  2al5  4pcs  3e93  4de1  3fv1  3coy
33   3pyy  3fv1  3utu  2al5  4w9h  2qbp  3nw9
34   2v7a  2al5  5c2h  1sqa  4ivc  3myg  3fv1
35   4twp  3f3e  2al5  3kr8  2zcq  4pcs  3u8n
36   3wtj  1u1b  2qbp  1mq6  3fv1  3ebp  3nw9
37   3zdg  3coy  1e66  3ebp  3ag9  3qqs  2al5
38   3u8k  4agq  3zso  3dd0  3coy  2qbp  3myg
39   4qac  2al5  1sqa  3zso  3dd0  2p4y  4pcs
40   3u8n  2r9w  2al5  2qbp  3myg  2cet  2xb8
41   1a30  4de1  1e66  4gid  3zso  3ag9  1mq6
42   2qnq  3fv1  2x00  3f3e  3u8n  4f3c  3zso
43   1g2k  1e66  3fv1  3f3e  4ty7  2al5  3myg
44   1eby  4tmn  3g0w  1e66  3fv1  2al5  3zso
45   3o9i  3fv1  3u8n  3kr8  3ge7  2cet  1e66
46   4lzs  4gr0  4ty7  1o3f  4f3c  3qqs  1e66
