     code     1     2     3     4     5     6
1    4llx  3p5o  4agq  1o3f  4tmn  2vvn  1nvq
2    5c28  3p5o  3ge7  2cet  3ag9  5c2h  2yki
3    3uuo  3p5o  1nvq  2vvn  3o9i  1o3f  4agq
4    3ui7  3ebp  2cet  3ag9  5c2h  2yki  4agq
5    5c2h  3p5o  3uex  4pcs  2vw5  1u1b  2r9w
6    2v00  3p5o  4agq  1o3f  4tmn  2vvn  1nvq
7    3wz8  3p5o  3uex  4pcs  2vw5  2r9w  3zso
8    3pww  2p4y  4de1  1nvq  1sqa  3ag9  4agq
9    3prs  3p5o  4pcs  3kr8  3zso  2yki  2p4y
10   3uri  2xb8  4w9h  1nvq  3o9i  4agq  2yki
11   4m0z  1o3f  3p5o  5c2h  4tmn  1nvq  4w9h
12   4m0y  3p5o  4agq  1o3f  4tmn  2vvn  1nvq
13   3qgy  3p5o  3uex  2x00  3ejr  3zso  2qbp
14   4qd6  3p5o  2x00  4pcs  2vw5  2r9w  2qbp
15   4rfm  3p5o  3uex  4pcs  2vw5  3kr8  1u1b
16   4cr9  3p5o  2cet  3ag9  5c2h  2yki  4agq
17   4cra  3dd0  3uex  2x00  1sqa  4pcs  3nw9
18   4x6p  3p5o  3uex  4ty7  4pcs  2vw5  2r9w
19   4crc  3p5o  4pcs  2vw5  3o9i  3zso  2qbp
20   4ty7  3p5o  4agq  1o3f  4tmn  2vvn  1nvq
21   5aba  4de1  4agq  1nvq  3ag9  4twp  2cet
22   5a7b  1nvq  4gid  3o9i  1o3f  3ge7  3fv1
23   4agn  4twp  2r9w  4jia  3o9i  2vw5  2xb8
24   4agp  3p5o  2yki  3ag9  1e66  1nvq  4rfm
25   4agq  3ag9  1nvq  2cet  3ge7  4jia  3gnw
26   3bgz  3p5o  4jia  2p15  2cet  5c2h  2yki
27   3jya  3p5o  3ag9  5c2h  2yki  4agq  2vvn
28   2c3i  3p5o  4f3c  3uex  4pcs  2vw5  2r9w
29   4k18  3p5o  3uex  4pcs  2vw5  2r9w  3zso
30   5dwr  3p5o  1o3f  4tmn  2vvn  1nvq  4w9h
31   3mss  4de1  1nvq  3ag9  2r9w  4gid  2zcq
32   3k5v  3p5o  4f3c  3uex  4pcs  2vw5  2r9w
33   3pyy  3p5o  3uex  4pcs  3kr8  2r9w  2qbp
34   2v7a  3ebp  2x00  3fv1  3ejr  1u1b  2r9w
35   4twp  3p5o  3uex  4ty7  4pcs  2vw5  2r9w
36   3wtj  3p5o  3ge7  3ag9  5c2h  2yki  4agq
37   3zdg  3p5o  4agq  1o3f  4tmn  2vvn  1nvq
38   3u8k  3p5o  1nvq  3o9i  4tmn  1o3f  2r9w
39   4qac  3p5o  4f3c  3uex  4pcs  2vw5  2r9w
40   3u8n  3p5o  2cet  4gid  3gnw  2vw5  2zcq
41   1a30  4f3c  5c2h  1sqa  3uex  1mq6  2x00
42   2qnq  3p5o  5c2h  2yki  4agq  1o3f  4tmn
43   1g2k  3qqs  4pcs  4w9h  3ge7  2qbp  4rfm
44   1eby  3myg  4pcs  4gid  2zcq  3p5o  2r9w
45   3o9i  4pcs  2cet  3ge7  3p5o  4ty7  2r9w
46   4lzs  3p5o  4agq  1o3f  4tmn  2vvn  1nvq
47   3u5j  3p5o  2p15  3ge7  2cet  5c2h  2yki
48   4wiv  3p5o  3uex  2x00  4pcs  2vw5  2r9w
49   4ogj  4de1  1u1b  4ivc  4ty7  3ge7  2vw5
50   3p5o  3myg  4f3c  3uex  4ty7  4pcs  3kr8
51   1ps3  3zso  3coy  3qqs  3fv1  1u1b  4pcs
52   3dx1  3myg  2qbp  2cet  1u1b  2xb8  4pcs
53   3d4z  3coy  5c2h  2cet  2qbp  3zso  2xb8
54   3dx2  1u1b  2xb8  2al5  2qbp  3fv1  3coy
55   3ejr  3ag9  3ge7  2cet  3ebp  1o3f  4tmn
