     code     1     2     3     4     5     6
1    4llx  2yki  2qbp  4f3c  4agq  4jia  4ty7
2    5c28  3ge7  4ty7  3g0w  3p5o  4agq  4twp
3    3uuo  1mq6  5c2h  4ty7  4jia  2x00  3ag9
4    3ui7  2yki  3g0w  2x00  2vw5  4ivc  4jia
5    5c2h  4f3c  2qbp  3nw9  2yki  2vw5  2x00
6    2v00  1o3f  3uex  5c2h  4f3c  4jia  2yki
7    3wz8  3p5o  1o3f  3nw9  3uex  4ty7  5c2h
8    3pww  4jia  2p15  3uex  3u8n  2vw5  3ge7
9    3prs  5c2h  3utu  1o3f  3kr8  2vw5  4rfm
10   3uri  2vw5  3ag9  3p5o  2fvd  4jia  4w9h
11   4m0z  3nw9  1mq6  4jia  3p5o  2vw5  3uex
12   4m0y  1o3f  2vw5  3utu  4jia  4ty7  3uex
13   3qgy  3ge7  2x00  3gnw  2p4y  3p5o  3nw9
14   4qd6  2x00  4jia  1o3f  4ty7  1sqa  1mq6
15   4rfm  3ag9  3p5o  3u8n  3ge7  3kr8  2yki
16   4cr9  4f3c  3nw9  2vw5  2x00  3g0w  2p4y
17   4cra  3p5o  2vw5  1mq6  4f3c  1o3f  3nw9
18   4x6p  1o3f  3nw9  3uex  2vw5  5c2h  1mq6
19   4crc  1o3f  1mq6  2vw5  1sqa  3nw9  3p5o
20   4ty7  3uex  4gid  3nw9  4de1  2p4y  3p5o
21   5aba  2vw5  5c2h  3gnw  3utu  1o3f  1mq6
22   5a7b  1mq6  3utu  4ty7  4jia  5c2h  3u8n
23   4agn  4rfm  1o3f  1mq6  4ty7  2yki  2p4y
24   4agp  2vw5  1mq6  2qbp  5c2h  2yki  4f3c
25   4agq  4jia  5c2h  4f3c  2qbp  2yki  1sqa
26   3bgz  3ge7  3nw9  2vw5  3uex  3p5o  1o3f
27   3jya  3uex  3nw9  2p15  4twp  1sqa  5c2h
28   2c3i  3gnw  2yki  3ge7  4f3c  5c2h  4agq
29   4k18  1mq6  3uex  3u8n  3nw9  2x00  3ge7
30   5dwr  1o3f  3ge7  1mq6  4jia  2vw5  4ty7
31   3mss  2p15  4jia  2vw5  3u8n  4agq  5c2h
32   3k5v  4f3c  3uex  4twp  3ge7  2x00  4jia
33   3pyy  4ty7  1mq6  2yki  1u1b  2vw5  3uex
34   2v7a  1o3f  1mq6  3p5o  3nw9  3uex  4jia
35   4twp  4jia  5c2h  3uex  4agq  3nw9  1o3f
36   3wtj  5c2h  2yki  2p15  4f3c  4jia  4twp
37   3zdg  3nw9  2qbp  4jia  3ge7  4ty7  1o3f
38   3u8k  4twp  3nw9  3gnw  1o3f  3ge7  4ty7
39   4qac  4f3c  5c2h  2yki  2x00  3ge7  1mq6
40   3u8n  2yki  1o3f  4ty7  2p4y  4jia  2qbp
41   1a30  3fv1  4twp  1o3f  3o9i  2vw5  4de1
42   2qnq  1o3f  2vw5  1mq6  3uex  2yki  4rfm
43   1g2k  2vw5  3ag9  3uex  4jia  2yki  2x00
