     code     1     2     3     4     5     6
1    4llx  3nw9  3g0w  4f3c  3kr8  3fv1  4rfm
2    5c28  4f3c  3kr8  3u8n  4rfm  3g0w  3fv1
3    3uuo  2p15  5dwr  2zcq  2p4y  1e66  4ivc
4    3ui7  2p15  2zcq  3g0w  1e66  2p4y  4rfm
5    5c2h  2p15  3qqs  3coy  3e93  2p4y  3kr8
6    2v00  3kr8  3g0w  3uex  4f3c  2xb8  3u8n
7    3wz8  2p4y  2p15  2yki  3o9i  3qqs  3coy
8    3pww  2yki  3coy  5c2h  4gid  3o9i  2zcq
9    3prs  3coy  2p4y  3o9i  2cet  2yki  2zcq
10   3uri  2yki  4gid  2p4y  2zcq  3arp  4jia
11   4m0z  2yki  2xb8  2p4y  2p15  4ivc  5dwr
12   4m0y  3g0w  5dwr  2yki  2xb8  4jia  4ivc
13   3qgy  3kr8  4rfm  4ivc  3myg  2yki  2fvd
14   4qd6  3qqs  3coy  2p4y  2yki  4ivc  2cet
15   4rfm  3o9i  3qqs  2p4y  3arp  4tmn  2fvd
16   4cr9  3u8n  3fv1  3g0w  2xb8  2al5  3kr8
17   4cra  2p15  2p4y  3coy  2zcq  4ivc  3arp
18   4x6p  3qqs  3coy  2yki  3myg  2p4y  3o9i
19   4crc  3coy  4ty7  3e93  4ivc  3o9i  3qqs
20   4ty7  2p4y  3e93  3coy  2yki  4ivc  4gid
21   5aba  3qqs  4twp  3o9i  4rfm  3p5o  2yki
22   5a7b  2p4y  3qqs  2yki  3coy  4jia  4ivc
23   4agn  2yki  2p4y  5dwr  3qqs  3coy  4rfm
24   4agp  2yki  3qqs  2p4y  3e93  4gid  1e66
25   4agq  2p4y  3e93  4ivc  2zcq  2cet  2p15
26   3bgz  3qqs  2p4y  1e66  3coy  2yki  2p15
27   3jya  3fv1  1e66  4ivc  2yki  3u8n  5dwr
28   2c3i  2p15  3qqs  3kr8  2p4y  4rfm  1e66
29   4k18  2p15  3qqs  4rfm  2p4y  1e66  2yki
30   5dwr  3qqs  2p15  5c2h  2yki  4ivc  2p4y
31   3mss  4gr0  2xb8  3kr8  3g0w  2yki  2p15
32   3k5v  4gr0  2yki  3qqs  2p15  3kr8  3arp
33   3pyy  1e66  3g0w  2p15  2cet  2yki  3qqs
34   2v7a  4gr0  3nw9  4rfm  2p4y  3coy  3e93
35   4twp  2yki  4rfm  2p15  4ivc  3qqs  3arp
36   3wtj  3g0w  2xb8  2p15  2yki  3nw9  4rfm
37   3zdg  3g0w  2xb8  4gr0  4f3c  3uex  3nw9
38   3u8k  2xb8  3g0w  3u8n  4rfm  3kr8  1e66
39   4qac  2yki  2p4y  3coy  3qqs  3o9i  4gr0
40   3u8n  3kr8  2xb8  3g0w  2p15  4rfm  1e66
41   1a30  2p15  2xb8  2p4y  4f3c  3coy  3e93
42   2qnq  2p4y  2zcq  2cet  3o9i  2x00  2fvd
43   1g2k  2zcq  3coy  2p4y  3o9i  2cet  3qqs
44   1eby  2p4y  3coy  3o9i  3nw9  2cet  3e93
45   3o9i  2zcq  3coy  2p4y  2cet  3e93  3qqs
46   4lzs  3g0w  2xb8  3fv1  3u8n  4rfm  3kr8
47   3u5j  2p15  4gid  1e66  2p4y  2xb8  1mq6
48   4wiv  2p4y  2yki  4gid  3myg  2zcq  3o9i
49   4ogj  2p4y  3qqs  3coy  1e66  2yki  2zcq
50   3p5o  2yki  2p4y  3coy  3arp  1mq6  4jia
51   1ps3  3g0w  3fv1  2xb8  2p15  4gr0  3e93
52   3dx1  2qbp  3f3e  4f3c  3uex  2xb8  2p15
53   3d4z  3g0w  3fv1  4rfm  2xb8  2qbp  2p15
54   3dx2  3g0w  4f3c  4rfm  2xb8  3fv1  2al5
55   3ejr  3qqs  3coy  2p15  2xb8  3arp  2zcq
56   3l7b  4f3c  3g0w  2p15  4gr0  3e93  3fv1
57   4eky  4gr0  2p15  4ivc  3qqs  4rfm  3uex
58   3g2n  3g0w  3kr8  2xb8  2p15  4rfm  4f3c
