,PDB code,EC number,Class,Subclass,Subsubclass
18,1a42,E.C.4.2.1.1,4,2,1
24,1a50,E.C.4.2.1.20,4,2,1
84,1avn,E.C.4.2.1.1,4,2,1
92,1azm,E.C.4.2.1.1,4,2,1
118,1bcd,E.C.4.2.1.1,4,2,1
146,1bn1,E.C.4.2.1.1,4,2,1
147,1bn3,E.C.4.2.1.1,4,2,1
148,1bn4,E.C.4.2.1.1,4,2,1
149,1bnm,E.C.4.2.1.1,4,2,1
150,1bnn,E.C.4.2.1.1,4,2,1
151,1bnq,E.C.4.2.1.1,4,2,1
152,1bnt,E.C.4.2.1.1,4,2,1
153,1bnu,E.C.4.2.1.1,4,2,1
154,1bnv,E.C.4.2.1.1,4,2,1
155,1bnw,E.C.4.2.1.1,4,2,1
187,1c29,E.C.4.2.1.20,4,2,1
216,1c8v,E.C.4.2.1.20,4,2,1
217,1c9d,E.C.4.2.1.20,4,2,1
219,6s88,E.C.4.2.1.2,4,2,1
229,1cil,E.C.4.2.1.1,4,2,1
230,1cim,E.C.4.2.1.1,4,2,1
231,1cin,E.C.4.2.1.1,4,2,1
233,1cnw,E.C.4.2.1.1,4,2,1
234,1cnx,E.C.4.2.1.1,4,2,1
235,1cny,E.C.4.2.1.1,4,2,1
247,1cw2,E.C.4.2.1.20,4,2,1
248,1cx9,E.C.4.2.1.20,4,2,1
253,6s7z,E.C.4.2.1.2,4,2,1
299,1dub,E.C.4.2.1.17,4,2,1
317,6s7s,E.C.4.2.1.2,4,2,1
329,1ebg,E.C.4.2.1.11,4,2,1
337,1ec9,E.C.4.2.1.40,4,2,1
338,1ecq,E.C.4.2.1.40,4,2,1
353,1els,E.C.4.2.1.11,4,2,1
360,1eou,E.C.4.2.1.1,4,2,1
447,1g1d,E.C.4.2.1.1,4,2,1
465,1g45,E.C.4.2.1.1,4,2,1
466,1g46,E.C.4.2.1.1,4,2,1
467,1g48,E.C.4.2.1.1,4,2,1
469,1g4j,E.C.4.2.1.1,4,2,1
471,1g4o,E.C.4.2.1.1,4,2,1
472,1g52,E.C.4.2.1.1,4,2,1
473,1g53,E.C.4.2.1.1,4,2,1
474,1g54,E.C.4.2.1.1,4,2,1
533,1gu1,E.C.4.2.1.10,4,2,1
548,1gzg,E.C.4.2.1.24,4,2,1
554,1h0r,E.C.4.2.1.10,4,2,1
579,1h4n,E.C.4.2.1.1,4,2,1
587,6s7k,E.C.4.2.1.2,4,2,1
665,1i8j,E.C.4.2.1.24,4,2,1
666,1i8z,E.C.4.2.1.1,4,2,1
667,1i90,E.C.4.2.1.1,4,2,1
668,1i91,E.C.4.2.1.1,4,2,1
