,PDB code,EC number,Class,Subclass,Subsubclass
51,1ahx,E.C.2.6.1.1,2,6,1
52,1ahy,E.C.2.6.1.1,2,6,1
249,1czc,E.C.2.6.1.1,2,6,1
250,1cze,E.C.2.6.1.1,2,6,1
935,1moq,E.C.2.6.1.16,2,6,1
1540,1tog,E.C.2.6.1.1,2,6,1
1541,1toi,E.C.2.6.1.1,2,6,1
1542,1toj,E.C.2.6.1.1,2,6,1
1543,1tok,E.C.2.6.1.1,2,6,1
1788,1xff,E.C.2.6.1.16,2,6,1
2053,2ay1,E.C.2.6.1.57,2,6,1
2054,2ay2,E.C.2.6.1.57,2,6,1
2055,2ay3,E.C.2.6.1.57,2,6,1
2056,2ay4,E.C.2.6.1.57,2,6,1
2057,2ay5,E.C.2.6.1.57,2,6,1
2058,2ay6,E.C.2.6.1.57,2,6,1
2059,2ay7,E.C.2.6.1.57,2,6,1
2060,2ay8,E.C.2.6.1.57,2,6,1
2061,2ay9,E.C.2.6.1.57,2,6,1
5809,3tfu,E.C.2.6.1.62,2,6,1
7778,4mqp,E.C.2.6.1.62,2,6,1
9800,5i5x,E.C.2.6.1.42,2,6,1
