,PDB code,EC number,Class,Subclass,Subsubclass
3,16pk,E.C.2.7.2.3,2,7,2
9,1a07,E.C.2.7.1.112,2,7,1
10,1a08,E.C.2.7.1.112,2,7,1
11,1a09,E.C.2.7.1.112,2,7,1
12,1a1b,E.C.2.7.1.112,2,7,1
13,1a1c,E.C.2.7.1.112,2,7,1
14,1a1e,E.C.2.7.1.112,2,7,1
27,1a5v,E.C.2.7.7.49,2,7,7
39,1a9u,E.C.2.7.1.0,2,7,1
49,1agw,E.C.2.7.1.112,2,7,1
73,1aq1,E.C.2.7.1.37,2,7,1
91,1azg,E.C.2.7.1.112,2,7,1
97,1b38,E.C.2.7.1.37,2,7,1
98,1b39,E.C.2.7.1.37,2,7,1
99,1b42,E.C.2.7.7.19,2,7,7
101,1b55,E.C.2.7.1.112,2,7,1
124,1bhf,E.C.2.7.1.112,2,7,1
135,1bkm,E.C.2.7.1.112,2,7,1
136,1bky,E.C.2.7.7.19,2,7,7
138,1bl6,E.C.2.7.1.0,2,7,1
139,1bl7,E.C.2.7.1.0,2,7,1
142,1bmk,E.C.2.7.1.0,2,7,1
156,1bo5,E.C.2.7.1.30,2,7,1
160,1bqm,E.C.2.7.7.49,2,7,7
161,1bqn,E.C.2.7.7.49,2,7,7
169,1bux,E.C.2.7.4.6,2,7,4
174,1bwn,E.C.2.7.1.112,2,7,1
282,1dgm,E.C.2.7.1.20,2,7,1
285,1di8,E.C.2.7.1.37,2,7,1
286,1di9,E.C.2.7.1.0,2,7,1
289,1dm2,E.C.2.7.1.37,2,7,1
297,1dtq,E.C.2.7.7.49,2,7,7
298,1dtt,E.C.2.7.7.49,2,7,7
308,1e1v,E.C.2.7.1.37,2,7,1
309,1e1x,E.C.2.7.1.37,2,7,1
311,1e2k,E.C.2.7.1.21,2,7,1
312,1e2l,E.C.2.7.1.21,2,7,1
324,1e9h,E.C.2.7.1.37,2,7,1
372,1ex8,E.C.2.7.6.3,2,7,6
377,1f0q,E.C.2.7.1.37,2,7,1
407,1fgi,E.C.2.7.1.112,2,7,1
412,1fhr,E.C.2.7.1.0,2,7,1
443,1fvt,E.C.2.7.1.37,2,7,1
444,1fvv,E.C.2.7.1.37,2,7,1
476,1g5s,E.C.2.7.1.37,2,7,1
477,1g6g,E.C.2.7.11.1,2,7,11
492,1gag,E.C.2.7.1.112,2,7,1
550,1h00,E.C.2.7.1.37,2,7,1
551,1h01,E.C.2.7.1.37,2,7,1
552,1h07,E.C.2.7.1.37,2,7,1
553,1h08,E.C.2.7.1.37,2,7,1
555,1h0w,E.C.2.7.1.37,2,7,1
559,1h1p,E.C.2.7.1.37,2,7,1
560,1h1q,E.C.2.7.1.37,2,7,1
561,1h1r,E.C.2.7.1.37,2,7,1
562,1h1s,E.C.2.7.1.37,2,7,1
565,1h24,E.C.2.7.1.37,2,7,1
566,1h25,E.C.2.7.1.-,2,7,1
567,1h26,E.C.2.7.1.-,2,7,1
568,1h27,E.C.2.7.1.-,2,7,1
569,1h28,E.C.2.7.1.-,2,7,1
603,1hiy,E.C.2.7.4.6,2,7,4
647,1hyv,E.C.2.7.7.49,2,7,7
648,1hyz,E.C.2.7.7.49,2,7,7
657,1i5d,E.C.2.7.3.0,2,7,3
659,1i6v,E.C.2.7.7.6,2,7,7
681,1iep,E.C.2.7.1.112,2,7,1
691,1ijr,E.C.2.7.1.112,2,7,1
694,1ikv,E.C.2.7.7.49,2,7,7
695,1ikw,E.C.2.7.7.49,2,7,7
696,1ikx,E.C.2.7.7.49,2,7,7
697,1iky,E.C.2.7.7.49,2,7,7
706,1is0,E.C.2.7.1.112,2,7,1
723,1j4k,E.C.2.7.1.0,2,7,1
724,1j4p,E.C.2.7.1.0,2,7,1
725,1j4q,E.C.2.7.1.0,2,7,1
750,1jlq,E.C.2.7.7.49,2,7,7
765,1jsv,E.C.2.7.1.37,2,7,1
771,1jvp,E.C.2.7.1.37,2,7,1
791,1k3n,E.C.2.7.11.1,2,7,11
792,1k3q,E.C.2.7.11.1,2,7,11
803,1kc7,E.C.2.7.9.1,2,7,9
808,1ke5,E.C.2.7.1.37,2,7,1
809,1ke6,E.C.2.7.1.37,2,7,1
810,1ke7,E.C.2.7.1.37,2,7,1
811,1ke8,E.C.2.7.1.37,2,7,1
812,1ke9,E.C.2.7.1.37,2,7,1
813,1kf0,E.C.2.7.2.3,2,7,2
829,1kv1,E.C.2.7.1.37,2,7,1
830,1kv2,E.C.2.7.1.0,2,7,1
852,1lcj,E.C.2.7.1.112,2,7,1
871,1lkk,E.C.2.7.1.112,2,7,1
872,1lkl,E.C.2.7.1.112,2,7,1
902,1m2p,E.C.2.7.1.37,2,7,1
903,1m2q,E.C.2.7.1.37,2,7,1
904,1m2r,E.C.2.7.1.37,2,7,1
908,1m7q,E.C.2.7.1.37,2,7,1
932,1mn9,E.C.2.7.4.6,2,7,4
939,1mrn,E.C.2.7.4.9,2,7,4
940,1mrs,E.C.2.7.4.9,2,7,4
947,1mto,E.C.2.7.1.11,2,7,1
989,1nhu,E.C.2.7.7.48,2,7,7
990,1nhv,E.C.2.7.7.48,2,7,7
1001,1njf,E.C.2.7.7.7,2,7,7
1013,1nlo,E.C.2.7.1.112,2,7,1
1014,1nlp,E.C.2.7.1.112,2,7,1
1038,1nvq,E.C.2.7.1.37,2,7,1
1039,1nvr,E.C.2.7.1.37,2,7,1
1040,1nvs,E.C.2.7.1.37,2,7,1
1051,1nzl,E.C.2.7.1.112,2,7,1
1053,1nzv,E.C.2.7.1.112,2,7,1
1099,1o41,E.C.2.7.1.112,2,7,1
1100,1o42,E.C.2.7.1.112,2,7,1
1101,1o43,E.C.2.7.1.112,2,7,1
1102,1o44,E.C.2.7.1.112,2,7,1
1103,1o45,E.C.2.7.1.112,2,7,1
1104,1o46,E.C.2.7.1.112,2,7,1
1105,1o47,E.C.2.7.1.112,2,7,1
1106,1o48,E.C.2.7.1.112,2,7,1
1107,1o49,E.C.2.7.1.112,2,7,1
1108,1o4a,E.C.2.7.1.112,2,7,1
1109,1o4b,E.C.2.7.1.112,2,7,1
1110,1o4d,E.C.2.7.1.112,2,7,1
1111,1o4e,E.C.2.7.1.112,2,7,1
1112,1o4f,E.C.2.7.1.112,2,7,1
1113,1o4g,E.C.2.7.1.112,2,7,1
1114,1o4h,E.C.2.7.1.112,2,7,1
1115,1o4i,E.C.2.7.1.112,2,7,1
1116,1o4j,E.C.2.7.1.112,2,7,1
1117,1o4k,E.C.2.7.1.112,2,7,1
1118,1o4l,E.C.2.7.1.112,2,7,1
1119,1o4m,E.C.2.7.1.112,2,7,1
1120,1o4n,E.C.2.7.1.112,2,7,1
1121,1o4o,E.C.2.7.1.112,2,7,1
1122,1o4p,E.C.2.7.1.112,2,7,1
1123,1o4q,E.C.2.7.1.112,2,7,1
1124,1o4r,E.C.2.7.1.112,2,7,1
1148,1oe0,E.C.2.7.1.145,2,7,1
1152,1ogu,E.C.2.7.1.37,2,7,1
1156,1oi9,E.C.2.7.1.37,2,7,1
1159,1oiq,E.C.2.7.1.37,2,7,1
1160,1oir,E.C.2.7.1.37,2,7,1
1161,1oit,E.C.2.7.1.37,2,7,1
1162,1oiu,E.C.2.7.1.37,2,7,1
1163,1oiy,E.C.2.7.1.37,2,7,1
1165,1ok7,E.C.2.7.7.7,2,7,7
1167,1okv,E.C.2.7.1.37,2,7,1
1168,1okw,E.C.2.7.1.37,2,7,1
1170,1oky,E.C.2.7.1.37,2,7,1
