,Datatype,Modeltype,Featuretype,Scoretype,The regression equation: logKa =,Number of favorable sample (N):,Pearson correlation coefficient (R),Confidence interval of 90% Pearson R,Standard deviation in fitting (SD)
0,all,linearRegression,final,delta_G,0.01 + 2.26 * Score,284,0.655,[0.596 ~ 0.708] ,1.64
1,all,linearRegression,final,Affinity_Data_Value,0.00 + 2.40 * Score,284,0.647,[0.587 ~ 0.701] ,1.66
2,all,linearRegression,final,pKd_pKi_pIC50,0.04 + 2.19 * Score,284,0.655,[0.596 ~ 0.708] ,1.64
3,all,linearRegression,GAP,delta_G,0.00 + 2.17 * Score,284,0.662,[0.603 ~ 0.713] ,1.63
4,all,linearRegression,GAP,Affinity_Data_Value,0.00 + 3.05 * Score,281,0.630,[0.566 ~ 0.686] ,1.68
5,all,linearRegression,GAP,pKd_pKi_pIC50,0.02 + 2.16 * Score,284,0.662,[0.603 ~ 0.713] ,1.63
6,all,Ridge,final,delta_G,0.01 + 2.24 * Score,285,0.653,[0.593 ~ 0.706] ,1.65
7,all,Ridge,final,Affinity_Data_Value,0.00 + 2.34 * Score,285,0.655,[0.596 ~ 0.708] ,1.64
8,all,Ridge,final,pKd_pKi_pIC50,0.04 + 2.17 * Score,285,0.653,[0.593 ~ 0.706] ,1.65
9,all,Ridge,GAP,delta_G,0.00 + 2.18 * Score,285,0.658,[0.599 ~ 0.71] ,1.64
10,all,Ridge,GAP,Affinity_Data_Value,0.00 + 3.05 * Score,283,0.625,[0.562 ~ 0.682] ,1.69
11,all,Ridge,GAP,pKd_pKi_pIC50,0.02 + 2.19 * Score,285,0.658,[0.599 ~ 0.71] ,1.64
12,all,Lasso,final,delta_G,0.01 + 2.18 * Score,285,0.655,[0.595 ~ 0.707] ,1.64
13,all,Lasso,final,Affinity_Data_Value,0.00 + 2.43 * Score,285,0.656,[0.596 ~ 0.708] ,1.64
14,all,Lasso,final,pKd_pKi_pIC50,0.05 + 2.08 * Score,285,0.655,[0.596 ~ 0.708] ,1.64
15,all,Lasso,GAP,delta_G,0.00 + 2.19 * Score,285,0.658,[0.599 ~ 0.71] ,1.64
16,all,Lasso,GAP,Affinity_Data_Value,0.00 + 2.27 * Score,285,0.649,[0.589 ~ 0.702] ,1.65
17,all,Lasso,GAP,pKd_pKi_pIC50,0.02 + 2.22 * Score,285,0.658,[0.598 ~ 0.71] ,1.64
18,all,ElasticNet,final,delta_G,0.01 + 2.18 * Score,285,0.655,[0.595 ~ 0.707] ,1.64
19,all,ElasticNet,final,Affinity_Data_Value,0.00 + 4.23 * Score,280,0.610,[0.545 ~ 0.669] ,1.69
20,all,ElasticNet,final,pKd_pKi_pIC50,0.05 + 2.07 * Score,285,0.655,[0.596 ~ 0.708] ,1.64
21,all,ElasticNet,GAP,delta_G,0.01 + 2.22 * Score,285,0.657,[0.597 ~ 0.709] ,1.64
22,all,ElasticNet,GAP,Affinity_Data_Value,0.00 + 2.42 * Score,285,0.625,[0.562 ~ 0.681] ,1.70
23,all,ElasticNet,GAP,pKd_pKi_pIC50,0.02 + 2.23 * Score,285,0.656,[0.597 ~ 0.709] ,1.64
24,all,SVR,final,delta_G,-5.27 + 113.65 * Score,285,-0.179,[-0.272 ~ -0.083] ,2.14
25,all,SVR,final,Affinity_Data_Value,0.00 + 2.49 * Score,285,0.657,[0.598 ~ 0.709] ,1.64
26,all,SVR,final,pKd_pKi_pIC50,-24.59 + 167.56 * Score,285,-0.159,[-0.253 ~ -0.062] ,2.15
27,all,SVR,GAP,delta_G,-0.17 + 9.98 * Score,285,nan,[nan ~ nan] ,2.17
28,all,SVR,GAP,Affinity_Data_Value,-0.01 + 9.79 * Score,285,nan,[nan ~ nan] ,2.17
29,all,SVR,GAP,pKd_pKi_pIC50,0.00 + 6.49 * Score,285,nan,[nan ~ nan] ,2.17
30,all,DecisionTree,final,delta_G,-0.10 + 9.55 * Score,285,-0.344,[-0.428 ~ -0.255] ,2.04
31,all,DecisionTree,final,Affinity_Data_Value,-0.00 + 6.70 * Score,285,-0.164,[-0.258 ~ -0.068] ,2.14
32,all,DecisionTree,final,pKd_pKi_pIC50,0.11 + 5.55 * Score,285,0.036,[-0.062 ~ 0.133] ,2.17
33,all,DecisionTree,GAP,delta_G,-0.06 + 7.39 * Score,225,-0.147,[-0.253 ~ -0.038] ,2.08
34,all,DecisionTree,GAP,Affinity_Data_Value,0.00 + 5.60 * Score,285,0.237,[0.143 ~ 0.327] ,2.11
35,all,DecisionTree,GAP,pKd_pKi_pIC50,0.09 + 6.01 * Score,285,0.037,[-0.061 ~ 0.134] ,2.17
36,all,RandomForest,final,delta_G,0.60 + -8.59 * Score,285,0.245,[0.15 ~ 0.334] ,2.11
37,all,RandomForest,final,Affinity_Data_Value,0.00 + 6.36 * Score,285,0.034,[-0.064 ~ 0.131] ,2.17
