#===============================================================================
## The subset V2 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
4cr9    1.70     2015    4.10     Ki=80uM      4    0.75     217.1    -0.19     S1    V2    H3
4cra    1.80     2015    7.22     Ki=0.06uM    4    0.65     349.5    -0.16     S1    V2    H3
4x6p    1.93     2015    8.30     Ki=5nM       4    0.68     356.8    -0.11     S1    V2    H3
4crc    1.60     2015    8.72     Ki=0.0019uM  4    0.67     371.0    -0.11     S1    V2    H3
4ty7    2.09     2014    9.52     Ki=0.3nM     4    0.67     310.0    -0.20     S1    V2    H3
3bgz    2.40     2007    6.26     Ki=0.55uM    6    0.70     352.5    -0.35     S2    V2    H1
3jya    2.10     2009    6.89     Ki=0.1301uM  6    0.81     336.9    -0.20     S2    V2    H1
2c3i    1.90     2005    7.60     Kd=25nM      6    0.79     366.1    -0.35     S2    V2    H1
4k18    2.05     2013    8.96     Ki=1.1nM     6    0.82     417.2    -0.44     S2    V2    H1
5dwr    2.00     2015   11.22     Ki=6pM       6    0.81     427.1    -0.45     S2    V2    H1
3mss    1.95     2010    4.66     Kd=22uM      7    0.52     214.5     0.33     S2    V2    H1
3k5v    1.74     2010    6.30     Kd=0.5uM     7    0.69     346.6     0.28     S2    V2    H1
3pyy    1.85     2011    6.86     Kd=137nM     7    0.71     287.1     0.09     S2    V2    H1
2v7a    2.50     2007    8.30     Kd=0.005uM   7    0.64     402.5    -0.27     S2    V2    H1
4twp    2.40     2015   10.00     Ki=100pM     7    0.78     441.1    -0.38     S2    V2    H1
4ih5    1.90     2013    4.11     Kd=78uM     15    0.73     252.2    -0.02     S1    V2    H2
4ih7    2.30     2013    5.24     Kd=5.8uM    15    0.77     289.8    -0.05     S1    V2    H2
