,Datatype,Modeltype,Featuretype,Scoretype,The regression equation: logKa =,Number of favorable sample (N):,Pearson correlation coefficient (R),Standard deviation in fitting (SD)
0,all,linearRegression,basic,delta_G,0.01 + 4.16 * Score,283,0.542,1.83
1,all,linearRegression,basic,Affinity_Data_Value,0.00 + 4.20 * Score,283,0.553,1.81
2,all,linearRegression,basic,pKd_pKi_pIC50,0.04 + 4.12 * Score,283,0.540,1.83
3,all,linearRegression,-w,delta_G,0.03 + 3.00 * Score,283,0.561,1.80
4,all,linearRegression,-w,Affinity_Data_Value,0.00 + 3.22 * Score,283,0.549,1.82
5,all,linearRegression,-w,pKd_pKi_pIC50,0.13 + 2.86 * Score,283,0.557,1.80
6,all,linearRegression,basic-el,delta_G,0.01 + 4.16 * Score,283,0.542,1.83
7,all,linearRegression,basic-el,Affinity_Data_Value,0.00 + 4.19 * Score,283,0.554,1.81
8,all,linearRegression,basic-el,pKd_pKi_pIC50,0.03 + 4.12 * Score,283,0.540,1.83
9,all,linearRegression,-w-el,delta_G,0.03 + 3.00 * Score,283,0.561,1.80
10,all,linearRegression,-w-el,Affinity_Data_Value,0.00 + 3.22 * Score,283,0.550,1.81
11,all,linearRegression,-w-el,pKd_pKi_pIC50,0.13 + 2.86 * Score,283,0.557,1.80
12,all,linearRegression,basic-vdw,delta_G,0.01 + 4.16 * Score,283,0.542,1.83
13,all,linearRegression,basic-vdw,Affinity_Data_Value,0.00 + 4.20 * Score,283,0.553,1.81
14,all,linearRegression,basic-vdw,pKd_pKi_pIC50,0.04 + 4.12 * Score,283,0.540,1.83
15,all,linearRegression,-w-vdw,delta_G,0.01 + 4.16 * Score,283,0.542,1.83
16,all,linearRegression,-w-vdw,Affinity_Data_Value,0.00 + 4.20 * Score,283,0.553,1.81
17,all,linearRegression,-w-vdw,pKd_pKi_pIC50,0.04 + 4.12 * Score,283,0.540,1.83
18,all,linearRegression,basic-el-vdw,delta_G,0.01 + 2.48 * Score,282,0.655,1.64
19,all,linearRegression,basic-el-vdw,Affinity_Data_Value,0.00 + 2.27 * Score,281,0.658,1.64
20,all,linearRegression,basic-el-vdw,pKd_pKi_pIC50,0.04 + 2.74 * Score,280,0.634,1.68
21,all,linearRegression,-w-el-vdw,delta_G,0.01 + 2.01 * Score,281,0.643,1.67
22,all,linearRegression,-w-el-vdw,Affinity_Data_Value,0.00 + 2.52 * Score,280,0.605,1.73
23,all,linearRegression,-w-el-vdw,pKd_pKi_pIC50,0.06 + 2.23 * Score,280,0.619,1.71
24,all,linearRegression,final,delta_G,0.01 + 2.26 * Score,284,0.655,1.64
25,all,linearRegression,final,Affinity_Data_Value,0.00 + 2.40 * Score,284,0.647,1.66
26,all,linearRegression,final,pKd_pKi_pIC50,0.04 + 2.19 * Score,284,0.655,1.64
27,all,Ridge,basic,delta_G,0.01 + 4.17 * Score,283,0.541,1.83
28,all,Ridge,basic,Affinity_Data_Value,0.00 + 4.21 * Score,283,0.552,1.81
29,all,Ridge,basic,pKd_pKi_pIC50,0.03 + 4.13 * Score,283,0.540,1.83
30,all,Ridge,-w,delta_G,0.03 + 2.99 * Score,283,0.561,1.80
31,all,Ridge,-w,Affinity_Data_Value,0.00 + 3.24 * Score,283,0.547,1.82
32,all,Ridge,-w,pKd_pKi_pIC50,0.13 + 2.85 * Score,283,0.557,1.80
33,all,Ridge,basic-el,delta_G,0.01 + 4.18 * Score,283,0.541,1.83
34,all,Ridge,basic-el,Affinity_Data_Value,0.00 + 4.20 * Score,283,0.553,1.81
35,all,Ridge,basic-el,pKd_pKi_pIC50,0.03 + 4.13 * Score,283,0.539,1.83
36,all,Ridge,-w-el,delta_G,0.03 + 2.99 * Score,283,0.561,1.80
37,all,Ridge,-w-el,Affinity_Data_Value,0.00 + 3.23 * Score,283,0.548,1.82
38,all,Ridge,-w-el,pKd_pKi_pIC50,0.13 + 2.85 * Score,283,0.557,1.80
39,all,Ridge,basic-vdw,delta_G,0.01 + 4.17 * Score,283,0.541,1.83
