,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,3zzf,Ki,400000000.0,0.40,-0.54,0.0
2,1w8l,Ki,320000000.0,0.49,-0.67,0.0
6,4obv,Ki,178000000.0,0.75,-1.02,0.0
7,1wkm,Ki,150000000.0,0.82,-1.12,0.0
9,4eu3,Ki,150000000.0,0.82,-1.12,0.0
11,1p0y,Ki,100800000.0,1.00,-1.36,0.0
12,2b1r,Ki,101000000.0,1.00,-1.36,0.0
13,2d2v,Ki,100000000.0,1.00,-1.36,0.0
14,1aw1,Ki,89000000.0,1.05,-1.43,0.0
18,4lh2,Ki,58000000.0,1.24,-1.69,0.0
20,4fci,Ki,55000000.0,1.26,-1.72,0.0
21,4fck,Ki,55000000.0,1.26,-1.72,0.0
23,1f9g,Ki,53000000.0,1.28,-1.74,0.0
25,1b74,Ki,50000000.0,1.30,-1.77,0.0
26,2fah,Ki,50000000.0,1.30,-1.77,0.0
32,2vl1,Ki,45000000.0,1.35,-1.84,0.0
40,2hdq,Ki,40000000.0,1.40,-1.91,0.0
42,3e81,Ki,37000000.0,1.43,-1.95,0.0
43,1ozv,Ki,36600000.0,1.44,-1.96,0.0
46,1tnk,Ki,32500000.0,1.49,-2.03,0.0
49,4lh3,Ki,30000000.0,1.52,-2.08,0.0
52,3mwe,Ki,29000000.0,1.54,-2.1,0.0
53,4amw,Ki,28300000.0,1.55,-2.11,0.0
54,1iig,Ki,27000000.0,1.57,-2.14,0.0
55,3rup,Ki,27000000.0,1.57,-2.14,0.0
58,2b1q,Ki,26000000.0,1.59,-2.16,0.0
59,1w8m,Ki,25000000.0,1.60,-2.18,0.0
60,3itc,Ki,25000000.0,1.60,-2.18,0.0
61,2it4,Ki,24100000.0,1.62,-2.21,0.0
63,1a7t,Ki,23000000.0,1.64,-2.23,0.0
66,1rdj,Ki,21700000.0,1.66,-2.27,0.0
67,2o9r,Ki,21000000.0,1.68,-2.29,0.0
69,2sfp,Ki,20000000.0,1.70,-2.32,0.0
75,3g6m,Ki,19700000.0,1.71,-2.33,0.0
76,2hdr,Ki,19000000.0,1.72,-2.35,0.0
81,1u2y,Ki,18000000.0,1.74,-2.38,0.0
89,2zgm,Ki,16399999.999999998,1.79,-2.43,0.0
90,1ga8,Ki,16000000.0,1.80,-2.45,0.0
93,1bra,Ki,15000000.0,1.82,-2.49,0.0
94,1d5r,Ki,15000000.0,1.82,-2.49,0.0
95,1y1m,Ki,15300000.0,1.82,-2.48,0.0
98,1rdn,Ki,14400000.0,1.84,-2.51,0.0
100,3khv,Ki,13990000.0,1.85,-2.53,0.0
102,1tnl,Ki,13300000.0,1.88,-2.56,0.0
104,4x8s,Ki,13000000.0,1.89,-2.57,0.0
105,1f2p,Ki,12700000.0,1.90,-2.59,0.0
107,1f2o,Ki,12400000.0,1.91,-2.6,0.0
115,1tnj,Ki,11000000.0,1.96,-2.67,0.0
