,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
148,3ao4,Kd,8500000.0,2.07,-2.82,0.0
162,3gv9,Ki,7500000.0,2.12,-2.9,0.0
228,1uto,Kd,5320000.0,2.27,-3.1,0.0
231,1ps3,Ki,5200000.0,2.28,-3.11,0.0
236,4ddk,Kd,5100000.0,2.29,-3.13,0.0
254,4jsz,Ki,5000000.0,2.30,-3.14,0.0
271,3g2z,Ki,4400000.0,2.36,-3.21,0.0
284,3dxg,Ki,4000000.0,2.40,-3.27,0.0
285,3l7b,Ki,4010000.0,2.40,-3.27,0.0
351,3gr2,Ki,3000000.0,2.52,-3.44,0.0
372,3kgp,Ki,2680000.0,2.57,-3.51,0.0
481,3fcq,Ki,1700000.0,2.77,-3.78,0.0
528,3lka,Kd,1500000.0,2.82,-3.85,0.0
541,3zt2,Kd,1435000.0,2.84,-3.88,0.0
549,3udh,Kd,1400000.0,2.85,-3.89,0.0
576,3g31,Ki,1300000.0,2.89,-3.93,0.0
581,4llx,Ki,1300000.0,2.89,-3.93,0.0
623,4u4s,Kd,1200000.0,2.92,-3.98,0.0
664,4owm,Ki,1090000.0,2.96,-4.04,0.0
675,5aba,Kd,1040000.0,2.98,-4.07,0.0
817,2xdl,Kd,790000.0,3.10,-4.23,0.0
824,4kz6,Ki,800000.0,3.10,-4.22,0.0
900,2ymd,Kd,693000.0,3.16,-4.31,0.0
975,3aru,Kd,600000.0,3.22,-4.39,0.0
1023,1bcu,Kd,530000.0,3.28,-4.47,0.0
1030,3zsx,Kd,519000.0,3.28,-4.48,0.0
1063,4ddh,Kd,500000.0,3.30,-4.5,0.0
1396,4eky,Ki,303000.0,3.52,-4.8,0.0
1478,4abg,Kd,271000.0,3.57,-4.86,0.0
1483,5a7b,Kd,271000.0,3.57,-4.86,0.0
1491,3dx1,Ki,265000.0,3.58,-4.88,0.0
1590,4bkt,Kd,240000.0,3.62,-4.94,0.0
1640,2v00,Kd,220000.0,3.66,-4.99,0.0
1667,4cig,Kd,214000.0,3.67,-5.0,0.0
1736,3n7a,Ki,200000.0,3.70,-5.04,1e-05
1833,3d6q,Ki,172000.0,3.76,-5.13,1e-05
1899,2hb1,Ki,160000.0,3.80,-5.18,1e-05
2128,3twp,Ki,119000.0,3.92,-5.35,1e-05
2220,4agn,Kd,107000.0,3.97,-5.41,1e-05
2324,1c5z,Ki,97000.0,4.01,-5.47,1e-05
2371,3nq9,Kd,92600.0,4.03,-5.5,1e-05
2410,2w66,Ki,89000.0,4.05,-5.52,1e-05
2476,3kwa,Ki,84000.0,4.08,-5.56,1e-05
2493,3g2n,Ki,81000.0,4.09,-5.58,1e-05
2527,4cr9,Ki,80000.0,4.10,-5.59,1e-05
2562,4ih5,Kd,78000.0,4.11,-5.6,1e-05
2589,4de2,Ki,76000.0,4.12,-5.62,1e-05
2603,3ozt,Ki,74900.0,4.13,-5.62,1e-05
2733,3f3a,Ki,64800.0,4.19,-5.71,2e-05
