,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,4llx,Ki,1300000,2.89,-3.93,0.0
1,5c28,Ki,2200,5.66,-7.71,0.00045
2,3uuo,Ki,11,7.96,-10.85,0.09091
3,3ui7,Ki,1,9.00,-12.27,1.0
4,5c2h,Ki,0.0082,11.09,-15.12,121.95122
6,3wz8,Ki,1500,5.82,-7.94,0.00067
7,3pww,Ki,48,7.32,-9.98,0.02083
8,3prs,Ki,15,7.82,-10.67,0.06667
9,3uri,Ki,1,9.00,-12.27,1.0
12,3qgy,Ki,16,7.80,-10.63,0.0625
13,4qd6,Ki,2.3,8.64,-11.78,0.43478
14,4rfm,Ki,0.09,10.05,-13.7,11.11111
15,4cr9,Ki,80000,4.10,-5.59,1e-05
16,4cra,Ki,60,7.22,-9.85,0.01667
17,4x6p,Ki,5,8.30,-11.32,0.2
18,4crc,Ki,1,8.72,-12.27,1.0
19,4ty7,Ki,0.3,9.52,-12.98,3.33333
25,3bgz,Ki,550,6.26,-8.53,0.00182
26,3jya,Ki,130,6.89,-9.39,0.00769
28,4k18,Ki,1.1,8.96,-12.21,0.90909
29,5dwr,Ki,0.006,11.22,-15.3,166.66667
34,4twp,Ki,0.1,10.00,-13.63,10.0
36,3zdg,Ki,79,7.10,-9.68,0.01266
37,3u8k,Ki,2.2,8.66,-11.8,0.45455
39,3u8n,Ki,0.067,10.17,-13.87,14.92537
40,1a30,Ki,50000,4.30,-5.86,2e-05
41,2qnq,Ki,770,6.11,-8.34,0.0013
42,1g2k,Ki,11,7.96,-10.85,0.09091
43,1eby,Ki,0.20,9.70,-13.22,5.0
44,3o9i,Ki,0.0015,11.82,-16.12,666.66667
50,1ps3,Ki,5200000,2.28,-3.11,0.0
51,3dx1,Ki,265000,3.58,-4.88,0.0
52,3d4z,Ki,13000,4.89,-6.66,8e-05
53,3dx2,Ki,150,6.82,-9.3,0.00667
54,3ejr,Ki,2.7,8.57,-11.68,0.37037
55,3l7b,Ki,4010000,2.40,-3.27,0.0
56,4eky,Ki,303000,3.52,-4.8,0.0
57,3g2n,Ki,81000,4.09,-5.58,1e-05
58,3syr,Ki,7900,5.10,-6.96,0.00013
59,3ebp,Ki,1240,5.91,-8.05,0.00081
60,2w66,Ki,89000,4.05,-5.52,1e-05
62,2wca,Ki,2500,5.60,-7.64,0.0004
63,2xj7,Ki,220,6.66,-9.08,0.00455
75,1gpk,Ki,4300,5.37,-7.32,0.00023
76,1gpn,Ki,334,6.48,-8.83,0.00299
77,1h23,Ki,4.5,8.35,-11.38,0.22222
78,1h22,Ki,0.8,9.10,-12.4,1.25
79,1e66,Ki,0.13,9.89,-13.48,7.69231
80,3f3a,Ki,64800,4.19,-5.71,2e-05
81,3f3c,Ki,950,6.02,-8.21,0.00105
85,2wbg,Ki,35200,4.45,-6.07,3e-05
92,4djv,Ki,190,6.72,-9.16,0.00526
93,2vkm,Ki,1.8,8.74,-11.92,0.55556
94,4gid,Ki,0.017,10.77,-14.68,58.82353
95,4jfs,Ki,5400,5.27,-7.18,0.00019
96,4j28,Ki,2000,5.70,-7.77,0.0005
99,4pcs,Ki,14,7.85,-10.71,0.07143
100,3rr4,Ki,28050,4.55,-6.21,4e-05
101,1s38,Ki,7000,5.15,-7.03,0.00014
102,1r5y,Ki,350,6.46,-8.8,0.00286
103,3gc5,Ki,55,7.26,-9.9,0.01818
104,3ge7,Ki,2,8.70,-11.86,0.5
107,4f9w,Ki,114,6.94,-9.47,0.00877
108,3e92,Ki,10,8.00,-10.91,0.1
109,3e93,Ki,1.4,8.85,-12.07,0.71429
110,4owm,Ki,1090000,2.96,-4.04,0.0
111,3twp,Ki,119000,3.92,-5.35,1e-05
112,3r88,Ki,15000,4.82,-6.58,7e-05
113,4gkm,Ki,6800,5.17,-7.05,0.00015
114,3qqs,Ki,1500,5.82,-7.94,0.00067
115,3gv9,Ki,7500000,2.12,-2.9,0.0
116,3gr2,Ki,3000000,2.52,-3.44,0.0
117,4kz6,Ki,800000,3.10,-4.22,0.0
118,4jxs,Ki,18000,4.74,-6.47,6e-05
119,2r9w,Ki,8000,5.10,-6.95,0.00013
120,2hb1,Ki,160000,3.80,-5.18,1e-05
121,1bzc,Ki,12000,4.92,-6.71,8e-05
122,2qbr,Ki,470,6.33,-8.63,0.00213
123,2qbq,Ki,36,7.44,-10.15,0.02778
124,2qbp,Ki,4,8.40,-11.45,0.25
126,1ydr,Ki,3000,5.52,-7.53,0.00033
128,1ydt,Ki,48,7.32,-9.98,0.02083
129,3ag9,Ki,9,8.05,-10.97,0.11111
