,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
148,3ao4,Kd,8500000.0,2.07,-2.82,0.0
228,1uto,Kd,5320000.0,2.27,-3.1,0.0
236,4ddk,Kd,5100000.0,2.29,-3.13,0.0
528,3lka,Kd,1500000.0,2.82,-3.85,0.0
541,3zt2,Kd,1435000.0,2.84,-3.88,0.0
549,3udh,Kd,1400000.0,2.85,-3.89,0.0
623,4u4s,Kd,1200000.0,2.92,-3.98,0.0
675,5aba,Kd,1040000.0,2.98,-4.07,0.0
817,2xdl,Kd,790000.0,3.10,-4.23,0.0
900,2ymd,Kd,693000.0,3.16,-4.31,0.0
975,3aru,Kd,600000.0,3.22,-4.39,0.0
1023,1bcu,Kd,530000.0,3.28,-4.47,0.0
1030,3zsx,Kd,519000.0,3.28,-4.48,0.0
1063,4ddh,Kd,500000.0,3.30,-4.5,0.0
1478,4abg,Kd,271000.0,3.57,-4.86,0.0
1483,5a7b,Kd,271000.0,3.57,-4.86,0.0
1590,4bkt,Kd,240000.0,3.62,-4.94,0.0
1640,2v00,Kd,220000.0,3.66,-4.99,0.0
1667,4cig,Kd,214000.0,3.67,-5.0,0.0
2220,4agn,Kd,107000.0,3.97,-5.41,1e-05
2371,3nq9,Kd,92600.0,4.03,-5.5,1e-05
2562,4ih5,Kd,78000.0,4.11,-5.6,1e-05
2996,3ivg,Kd,50000.0,4.30,-5.86,2e-05
3281,3rsx,Kd,38800.0,4.41,-6.01,3e-05
3339,3pxf,Kd,37000.0,4.43,-6.04,3e-05
4010,4w9c,Kd,22200.0,4.65,-6.34,5e-05
4037,3mss,Kd,22000.0,4.66,-6.35,5e-05
4132,4agp,Kd,20600.0,4.69,-6.39,5e-05
4134,4mgd,Kd,20190.0,4.69,-6.4,5e-05
4373,1q8t,Kd,17500.0,4.76,-6.49,6e-05
4513,4lzs,Kd,16000.0,4.80,-6.54,6e-05
4673,2w4x,Kd,14000.0,4.85,-6.62,7e-05
4775,1p1q,Kd,12800.0,4.89,-6.67,8e-05
5225,4agq,Kd,9700.0,5.01,-6.84,0.0001
5262,4w9l,Kd,9520.0,5.02,-6.85,0.00011
5398,2yge,Kd,8620.0,5.06,-6.91,0.00012
5544,3gy4,Kd,8000.0,5.10,-6.95,0.00013
5642,3zso,Kd,7600.0,5.12,-6.98,0.00013
5808,3b27,Kd,6900.0,5.16,-7.04,0.00014
5909,4m0z,Kd,6400.0,5.19,-7.08,0.00016
6111,3ueu,Kd,5810.0,5.24,-7.14,0.00017
6119,4ih7,Kd,5800.0,5.24,-7.14,0.00017
7019,2cbv,Kd,3300.0,5.48,-7.47,0.0003
7358,3coz,Kd,2700.0,5.57,-7.59,0.00037
7490,3u5j,Kd,2460.0,5.61,-7.65,0.00041
7518,4dli,Kd,2400.0,5.62,-7.66,0.00042
7581,3arv,Kd,2300.0,5.64,-7.69,0.00043
8628,3uev,Kd,1290.0,5.89,-8.03,0.00078
8889,1q8u,Kd,1100.0,5.96,-8.12,0.00091
8934,4w9i,Kd,1100.0,5.96,-8.12,0.00091
9082,3ary,Kd,1000.0,6.00,-8.18,0.001
9201,3coy,Kd,960.0,6.02,-8.2,0.00104
9361,2fxs,Kd,870.0,6.06,-8.26,0.00115
9568,4kzq,Kd,788,6.10,-8.32,0.00127
9658,2wvt,Kd,755,6.12,-8.35,0.00132
9855,1yc1,Kd,680,6.17,-8.41,0.00147
