,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
5,2v00,Kd,220000,3.66,-4.99,0.0
10,4m0z,Kd,6400,5.19,-7.08,0.00016
11,4m0y,Kd,350,6.46,-8.8,0.00286
20,5aba,Kd,1040000,2.98,-4.07,0.0
21,5a7b,Kd,271000,3.57,-4.86,0.0
22,4agn,Kd,107000,3.97,-5.41,1e-05
23,4agp,Kd,20600,4.69,-6.39,5e-05
24,4agq,Kd,9700,5.01,-6.84,0.0001
27,2c3i,Kd,25,7.60,-10.36,0.04
30,3mss,Kd,22000,4.66,-6.35,5e-05
31,3k5v,Kd,500,6.30,-8.59,0.002
32,3pyy,Kd,137,6.86,-9.36,0.0073
33,2v7a,Kd,5,8.30,-11.32,0.2
35,3wtj,Kd,297,6.53,-8.9,0.00337
38,4qac,Kd,0.4,9.40,-12.81,2.5
45,4lzs,Kd,16000,4.80,-6.54,6e-05
46,3u5j,Kd,2460,5.61,-7.65,0.00041
47,4wiv,Kd,550,6.26,-8.53,0.00182
48,4ogj,Kd,164,6.79,-9.25,0.0061
49,3p5o,Kd,50.5,7.30,-9.95,0.0198
61,2w4x,Kd,14000,4.85,-6.62,7e-05
64,2vvn,Kd,50,7.30,-9.95,0.02
65,3aru,Kd,600000,3.22,-4.39,0.0
66,3arv,Kd,2300,5.64,-7.69,0.00043
67,3ary,Kd,1000,6.00,-8.18,0.001
68,3arq,Kd,400,6.40,-8.72,0.0025
69,3arp,Kd,70,7.15,-9.76,0.01429
70,4ih5,Kd,78000,4.11,-5.6,1e-05
71,4ih7,Kd,5800,5.24,-7.14,0.00017
72,3cj4,Kd,310,6.51,-8.87,0.00323
73,4eo8,Kd,7,8.15,-11.12,0.14286
74,3gnw,Kd,0.79,9.10,-12.41,1.26582
82,4mme,Kd,318,6.50,-8.86,0.00314
83,3f3d,Kd,69,7.16,-9.76,0.01449
84,3f3e,Kd,20,7.70,-10.5,0.05
86,2cbv,Kd,3300,5.48,-7.47,0.0003
87,2j78,Kd,384,6.42,-8.75,0.0026
88,2j7h,Kd,65,7.19,-9.8,0.01538
89,2cet,Kd,9.6,8.02,-10.93,0.10417
90,3udh,Kd,1400000,2.85,-3.89,0.0
91,3rsx,Kd,38800,4.41,-6.01,3e-05
97,2wvt,Kd,755,6.12,-8.35,0.00132
98,2xii,Kd,63.3,7.20,-9.81,0.0158
105,4dli,Kd,2400,5.62,-7.66,0.00042
106,2zb1,Kd,480,6.32,-8.62,0.00208
125,1q8t,Kd,17500,4.76,-6.49,6e-05
127,1q8u,Kd,1100,5.96,-8.12,0.00091
135,4ddk,Kd,5130000,2.29,-3.12,0.0
136,4ddh,Kd,480000,3.32,-4.52,0.0
137,3ivg,Kd,50000,4.30,-5.86,2e-05
138,3coz,Kd,2700,5.57,-7.59,0.00037
139,3coy,Kd,960,6.02,-8.2,0.00104
140,3pxf,Kd,37000,4.43,-6.04,3e-05
158,3jvs,Kd,290,6.54,-8.91,0.00345
165,1bcu,Kd,530000,3.28,-4.47,0.0
175,3uo4,Kd,299,6.52,-8.9,0.00334
176,3up2,Kd,40,7.40,-10.09,0.025
179,3myg,Kd,0.02,10.70,-14.59,50.0
187,2weg,Kd,314,6.50,-8.87,0.00318
188,3ryj,Kd,16,7.80,-10.63,0.0625
190,2xdl,Kd,790000,3.10,-4.23,0.0
191,3b27,Kd,6900,5.16,-7.04,0.00014
192,1yc1,Kd,680,6.17,-8.41,0.00147
194,2yki,Kd,0.35,9.46,-12.89,2.85714
200,4u4s,Kd,1200000,2.92,-3.98,0.0
201,1p1q,Kd,12800,4.89,-6.67,8e-05
203,1p1n,Kd,160,6.80,-9.27,0.00625
215,4mgd,Kd,20190,4.69,-6.4,5e-05
217,1qkt,Kd,0.92,9.04,-12.32,1.08696
219,2p15,Kd,0.05,10.30,-14.04,20.0
