,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,3zzf,Ki,400000000.0,0.40,-0.54,0.0
6,4obv,Ki,178000000.0,0.75,-1.02,0.0
9,4eu3,Ki,150000000.0,0.82,-1.12,0.0
19,4lh2,Ki,58000000.0,1.24,-1.69,0.0
21,4fci,Ki,55000000.0,1.26,-1.72,0.0
22,4fck,Ki,55000000.0,1.26,-1.72,0.0
31,6t26,Ki,45300000.0,1.34,-1.83,0.0
45,4lh3,Ki,30000000.0,1.52,-2.08,0.0
48,4amw,Ki,28300000.0,1.55,-2.11,0.0
50,3rup,Ki,27000000.0,1.57,-2.14,0.0
99,4x8s,Ki,13000000.0,1.89,-2.57,0.0
131,4kz5,Ki,10000000.0,2.00,-2.73,0.0
158,3uf9,Ki,7780000.0,2.11,-2.88,0.0
166,6abx,Ki,7190000.0,2.14,-2.92,0.0
172,4q90,Ki,7000000.0,2.15,-2.94,0.0
184,5z5f,Ki,6800000.0,2.17,-2.96,0.0
192,4amx,Ki,6500000.0,2.19,-2.98,0.0
226,5v6u,Ki,5470000.0,2.26,-3.08,0.0
230,4mfe,Ki,5400000.0,2.27,-3.09,0.0
246,2xlc,Ki,5000000.0,2.30,-3.14,0.0
251,3rv4,Ki,5000000.0,2.30,-3.14,0.0
254,4jsz,Ki,5000000.0,2.30,-3.14,0.0
259,4y0a,Ki,4950000.0,2.31,-3.14,0.0
264,4iie,Ki,4600000.0,2.34,-3.19,0.0
273,6r5n,Ki,4400000.0,2.36,-3.21,0.0
274,3t0d,Ki,4300000.0,2.37,-3.23,0.0
279,6md8,Ki,4200000.0,2.38,-3.24,0.0
297,4jwl,Ki,3720000.0,2.43,-3.31,0.0
298,4jxh,Ki,3720000.0,2.43,-3.31,0.0
299,4l5m,Ki,3720000.0,2.43,-3.31,0.0
318,4x8u,Ki,3500000.0,2.46,-3.35,0.0
339,4ej2,Ki,3204000.0,2.49,-3.4,0.0
340,4kz7,Ki,3200000.0,2.49,-3.4,0.0
353,3vdb,Ki,3030000.0,2.52,-3.43,0.0
373,5v4q,Ki,2700000.0,2.57,-3.5,0.0
378,4o3a,Ki,2570000.0,2.59,-3.53,0.0
379,4o3c,Ki,2570000.0,2.59,-3.53,0.0
380,4wef,Ki,2577000.0,2.59,-3.53,0.0
389,6mia,Ki,2540000.0,2.60,-3.54,0.0
399,5foo,Ki,2400000.0,2.62,-3.57,0.0
406,4q7w,Ki,2300000.0,2.64,-3.6,0.0
407,4q8y,Ki,2300000.0,2.64,-3.6,0.0
408,4ufl,Ki,2300000.0,2.64,-3.6,0.0
411,6xoz,Ki,2249000.0,2.65,-3.61,0.0
449,3sl0,Ki,2000000.0,2.70,-3.68,0.0
450,4h4b,Ki,2000000.0,2.70,-3.68,0.0
451,4okp,Ki,2000000.0,2.70,-3.68,0.0
452,4wks,Ki,2000000.0,2.70,-3.68,0.0
453,6nmb,Ki,2009999.9999999998,2.70,-3.68,0.0
469,4m6u,Ki,1800000.0,2.74,-3.74,0.0
477,4bt5,Ki,1720000.0,2.76,-3.77,0.0
485,4kz3,Ki,1700000.0,2.77,-3.78,0.0
487,4ykk,Ki,1700000.0,2.77,-3.78,0.0
494,2yiv,Ki,1660000.0,2.78,-3.79,0.0
498,4jmo,Ki,1610000.0,2.79,-3.81,0.0
504,4kz8,Ki,1600000.0,2.80,-3.81,0.0
517,4oyt,Ki,1550000.0,2.81,-3.83,0.0
551,4mlt,Ki,1400000.0,2.85,-3.89,0.0
555,5th4,Ki,1420000.0,2.85,-3.88,0.0
561,5z1c,Ki,1380000.0,2.86,-3.9,0.0
563,5thj,Ki,1350000.0,2.87,-3.91,0.0
578,4cd8,Ki,1300000.0,2.89,-3.93,0.0
579,4gqq,Ki,1300000.0,2.89,-3.93,0.0
580,4kzb,Ki,1300000.0,2.89,-3.93,0.0
581,4llx,Ki,1300000.0,2.89,-3.93,0.0
591,6mvu,Ki,1290000.0,2.89,-3.94,0.0
617,4b7e,Ki,1200000.0,2.92,-3.98,0.0
618,4b7k,Ki,1200000.0,2.92,-3.98,0.0
620,4jaa,Ki,1200000.0,2.92,-3.98,0.0
621,4lm3,Ki,1200000.0,2.92,-3.98,0.0
622,4nr1,Ki,1200000.0,2.92,-3.98,0.0
626,4z1v,Ki,1200000.0,2.92,-3.98,0.0
632,6h9j,Ki,1200000.0,2.92,-3.98,0.0
633,6ha6,Ki,1200000.0,2.92,-3.98,0.0
634,6hc8,Ki,1200000.0,2.92,-3.98,0.0
635,6hkp,Ki,1200000.0,2.92,-3.98,0.0
