,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
4,1zsb,Kd,250000000.0,0.60,-0.82,0.0
5,6h9v,Kd,220000000.0,0.66,-0.9,0.0
8,3k41,Kd,150000000.0,0.82,-1.12,0.0
10,2w97,Kd,110000000.0,0.96,-1.31,0.0
15,1maw,Kd,80000000.0,1.10,-1.5,0.0
17,5eb2,Kd,76900000.0,1.11,-1.52,0.0
22,4clp,Kd,54200000.0,1.27,-1.73,0.0
24,1a0t,Kd,50000000.0,1.30,-1.77,0.0
27,5oxm,Kd,50000000.0,1.30,-1.77,0.0
28,2igw,Kd,49000000.0,1.31,-1.79,0.0
29,5mnc,Kd,48500000.0,1.31,-1.79,0.0
30,5mny,Kd,48500000.0,1.31,-1.79,0.0
31,5moo,Kd,48500000.0,1.31,-1.79,0.0
33,3nm6,Kd,45000000.0,1.35,-1.84,0.0
34,1qpb,Kd,44000000.0,1.36,-1.85,0.0
35,6k2n,Kd,43400000.0,1.36,-1.86,0.0
41,3eor,Kd,40000000.0,1.40,-1.91,0.0
44,1utp,Kd,36000000.0,1.44,-1.97,0.0
45,5eb3,Kd,35200000.0,1.45,-1.98,0.0
47,4bh4,Kd,32000000.0,1.49,-2.04,0.0
48,5vqe,Kd,32000000.0,1.49,-2.04,0.0
50,5ct1,Kd,30200000.0,1.52,-2.07,0.0
51,5ele,Kd,30000000.0,1.52,-2.08,0.0
56,5cs5,Kd,26600000.0,1.58,-2.15,0.0
57,5ofv,Kd,26200000.0,1.58,-2.16,0.0
64,4d63,Kd,23000000.0,1.64,-2.23,0.0
65,1hgj,Kd,22000000.0,1.66,-2.26,0.0
68,4qsw,Kd,21000000.0,1.68,-2.29,0.0
70,3gf2,Kd,20000000.0,1.70,-2.32,0.0
72,4tyb,Kd,19990000.0,1.70,-2.32,0.0
73,6cex,Kd,20000000.0,1.70,-2.32,0.0
74,6cf5,Kd,20000000.0,1.70,-2.32,0.0
77,3ern,Kd,18910000.0,1.72,-2.35,0.0
78,3vzg,Kd,19000000.0,1.72,-2.35,0.0
80,5y61,Kd,19100000.0,1.72,-2.34,0.0
82,4qsx,Kd,18000000.0,1.74,-2.38,0.0
83,5y62,Kd,18400000.0,1.74,-2.37,0.0
84,5ggj,Kd,17780000.0,1.75,-2.39,0.0
86,4bgx,Kd,17000000.0,1.77,-2.41,0.0
87,3f39,Kd,16500000.0,1.78,-2.43,0.0
88,5ggl,Kd,16520000.0,1.78,-2.43,0.0
92,1af6,Kd,15000000.0,1.82,-2.49,0.0
