,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
162,3gv9,Ki,7500000.0,2.12,-2.9,0.0
231,1ps3,Ki,5200000.0,2.28,-3.11,0.0
254,4jsz,Ki,5000000.0,2.30,-3.14,0.0
271,3g2z,Ki,4400000.0,2.36,-3.21,0.0
284,3dxg,Ki,4000000.0,2.40,-3.27,0.0
285,3l7b,Ki,4010000.0,2.40,-3.27,0.0
351,3gr2,Ki,3000000.0,2.52,-3.44,0.0
372,3kgp,Ki,2680000.0,2.57,-3.51,0.0
481,3fcq,Ki,1700000.0,2.77,-3.78,0.0
576,3g31,Ki,1300000.0,2.89,-3.93,0.0
581,4llx,Ki,1300000.0,2.89,-3.93,0.0
664,4owm,Ki,1090000.0,2.96,-4.04,0.0
824,4kz6,Ki,800000.0,3.10,-4.22,0.0
1396,4eky,Ki,303000.0,3.52,-4.8,0.0
1491,3dx1,Ki,265000.0,3.58,-4.88,0.0
1736,3n7a,Ki,200000.0,3.70,-5.04,1e-05
1833,3d6q,Ki,172000.0,3.76,-5.13,1e-05
1899,2hb1,Ki,160000.0,3.80,-5.18,1e-05
2128,3twp,Ki,119000.0,3.92,-5.35,1e-05
2324,1c5z,Ki,97000.0,4.01,-5.47,1e-05
2410,2w66,Ki,89000.0,4.05,-5.52,1e-05
2476,3kwa,Ki,84000.0,4.08,-5.56,1e-05
2493,3g2n,Ki,81000.0,4.09,-5.58,1e-05
2527,4cr9,Ki,80000.0,4.10,-5.59,1e-05
2589,4de2,Ki,76000.0,4.12,-5.62,1e-05
2603,3ozt,Ki,74900.0,4.13,-5.62,1e-05
2733,3f3a,Ki,64800.0,4.19,-5.71,2e-05
2979,1a30,Ki,50000.0,4.30,-5.86,2e-05
3197,3u9q,Ki,41700.0,4.38,-5.97,2e-05
3396,2wbg,Ki,35200.0,4.45,-6.07,3e-05
3709,3rr4,Ki,28050.0,4.55,-6.21,4e-05
4257,1vso,Ki,18980.0,4.72,-6.44,5e-05
4339,4jxs,Ki,18000.0,4.74,-6.47,6e-05
4375,3acw,Ki,17500.0,4.76,-6.49,6e-05
4582,3r88,Ki,15000.0,4.82,-6.58,7e-05
