,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,3zzf,Ki,400000000.0,0.40,-0.54,0.0
1,3gww,IC50,355000000.0,0.45,-0.61,0.0
2,1w8l,Ki,320000000.0,0.49,-0.67,0.0
3,3fqa,IC50,320000000.0,0.49,-0.67,0.0
4,1zsb,Kd,250000000.0,0.60,-0.82,0.0
5,6h9v,Kd,220000000.0,0.66,-0.9,0.0
6,4obv,Ki,178000000.0,0.75,-1.02,0.0
7,1wkm,Ki,150000000.0,0.82,-1.12,0.0
8,3k41,Kd,150000000.0,0.82,-1.12,0.0
9,4eu3,Ki,150000000.0,0.82,-1.12,0.0
10,2w97,Kd,110000000.0,0.96,-1.31,0.0
11,1p0y,Ki,100800000.0,1.00,-1.36,0.0
12,2b1r,Ki,101000000.0,1.00,-1.36,0.0
13,2d2v,Ki,100000000.0,1.00,-1.36,0.0
14,1aw1,Ki,89000000.0,1.05,-1.43,0.0
15,1maw,Kd,80000000.0,1.10,-1.5,0.0
16,3fl9,IC50,77200000.0,1.11,-1.52,0.0
17,5eb2,Kd,76900000.0,1.11,-1.52,0.0
18,6lgv,Kd,62000000.0,1.21,-1.65,0.0
19,4lh2,Ki,58000000.0,1.24,-1.69,0.0
20,4to8,IC50,56900000.0,1.24,-1.7,0.0
21,4fci,Ki,55000000.0,1.26,-1.72,0.0
22,4fck,Ki,55000000.0,1.26,-1.72,0.0
23,4clp,Kd,54200000.0,1.27,-1.73,0.0
24,1f9g,Ki,53000000.0,1.28,-1.74,0.0
25,1a0t,Kd,50000000.0,1.30,-1.77,0.0
26,1b74,Ki,50000000.0,1.30,-1.77,0.0
27,2igw,Kd,49000000.0,1.31,-1.79,0.0
28,5mnc,Kd,48500000.0,1.31,-1.79,0.0
29,5mny,Kd,48500000.0,1.31,-1.79,0.0
30,5moo,Kd,48500000.0,1.31,-1.79,0.0
31,6t26,Ki,45300000.0,1.34,-1.83,0.0
32,2vl1,Ki,45000000.0,1.35,-1.84,0.0
33,3nm6,Kd,45000000.0,1.35,-1.84,0.0
34,1qpb,Kd,44000000.0,1.36,-1.85,0.0
35,6k2n,Kd,43400000.0,1.36,-1.86,0.0
36,1hty,IC50,40000000.0,1.40,-1.91,0.0
37,2hdq,Ki,40000000.0,1.40,-1.91,0.0
38,3eor,Kd,40000000.0,1.40,-1.91,0.0
39,1ozv,Ki,36600000.0,1.44,-1.96,0.0
40,1utp,Kd,36000000.0,1.44,-1.97,0.0
41,5eb3,Kd,35200000.0,1.45,-1.98,0.0
42,1tnk,Ki,32500000.0,1.49,-2.03,0.0
43,4bh4,Kd,32000000.0,1.49,-2.04,0.0
44,5vqe,Kd,32000000.0,1.49,-2.04,0.0
45,4lh3,Ki,30000000.0,1.52,-2.08,0.0
46,5ct1,Kd,30200000.0,1.52,-2.07,0.0
47,3mwe,Ki,29000000.0,1.54,-2.1,0.0
48,4amw,Ki,28300000.0,1.55,-2.11,0.0
49,1iig,Ki,27000000.0,1.57,-2.14,0.0
50,3rup,Ki,27000000.0,1.57,-2.14,0.0
51,5cs5,Kd,26600000.0,1.58,-2.15,0.0
52,5ofv,Kd,26200000.0,1.58,-2.16,0.0
53,2b1q,Ki,26000000.0,1.59,-2.16,0.0
54,1w8m,Ki,25000000.0,1.60,-2.18,0.0
55,3itc,Ki,25000000.0,1.60,-2.18,0.0
56,2it4,Ki,24100000.0,1.62,-2.21,0.0
57,5k5c,IC50,24000000.0,1.62,-2.21,0.0
58,1a7t,Ki,23000000.0,1.64,-2.23,0.0
59,4d63,Kd,23000000.0,1.64,-2.23,0.0
60,1hgj,Kd,22000000.0,1.66,-2.26,0.0
61,1rdj,Ki,21700000.0,1.66,-2.27,0.0
62,2o9r,Ki,21000000.0,1.68,-2.29,0.0
63,4qsw,Kd,21000000.0,1.68,-2.29,0.0
64,2sfp,Ki,20000000.0,1.70,-2.32,0.0
65,3gf2,Kd,20000000.0,1.70,-2.32,0.0
66,3oay,IC50,20000000.0,1.70,-2.32,0.0
67,4tyb,Kd,19990000.0,1.70,-2.32,0.0
68,3g6m,Ki,19700000.0,1.71,-2.33,0.0
69,2hdr,Ki,19000000.0,1.72,-2.35,0.0
70,2jjc,Kd,19000000.0,1.72,-2.35,0.0
71,3ern,Kd,18910000.0,1.72,-2.35,0.0
72,3vzg,Kd,19000000.0,1.72,-2.35,0.0
73,3zst,IC50,19000000.0,1.72,-2.35,0.0
74,5y61,Kd,19100000.0,1.72,-2.34,0.0
75,1u2y,Ki,18000000.0,1.74,-2.38,0.0
76,4qsx,Kd,18000000.0,1.74,-2.38,0.0
77,5y62,Kd,18400000.0,1.74,-2.37,0.0
78,5ggj,Kd,17780000.0,1.75,-2.39,0.0
79,5zef,IC50,17900000.0,1.75,-2.38,0.0
80,4bgx,Kd,17000000.0,1.77,-2.41,0.0
81,3f39,Kd,16500000.0,1.78,-2.43,0.0
82,5ggl,Kd,16520000.0,1.78,-2.43,0.0
83,2zgm,Ki,16399999.999999998,1.79,-2.43,0.0
84,1ga8,Ki,16000000.0,1.80,-2.45,0.0
85,3rxh,IC50,15700000.0,1.80,-2.46,0.0
86,1af6,Kd,15000000.0,1.82,-2.49,0.0
87,1bra,Ki,15000000.0,1.82,-2.49,0.0
88,1d5r,Ki,15000000.0,1.82,-2.49,0.0
89,1y1m,Ki,15300000.0,1.82,-2.48,0.0
90,3eqb,IC50,15000000.0,1.82,-2.49,0.0
91,4ahv,Kd,15000000.0,1.82,-2.49,0.0
92,1rdn,Ki,14400000.0,1.84,-2.51,0.0
93,1fd7,IC50,14000000.0,1.85,-2.53,0.0
94,3khv,Ki,13990000.0,1.85,-2.53,0.0
95,6rgu,Kd,14100000.0,1.85,-2.52,0.0
96,1mwt,Kd,13300000.0,1.88,-2.56,0.0
97,1tnl,Ki,13300000.0,1.88,-2.56,0.0
98,2ay2,Kd,13100000.0,1.88,-2.57,0.0
99,4x8s,Ki,13000000.0,1.89,-2.57,0.0
100,1f2p,Ki,12700000.0,1.90,-2.59,0.0
101,4mrh,Kd,12600000.0,1.90,-2.59,0.0
102,1f2o,Ki,12400000.0,1.91,-2.6,0.0
103,1ms1,Ki,12300000.0,1.91,-2.6,0.0
104,1ms8,Ki,12300000.0,1.91,-2.6,0.0
105,1efi,IC50,12000000.0,1.92,-2.62,0.0
106,3ehn,Kd,12000000.0,1.92,-2.62,0.0
107,4bh3,Kd,12000000.0,1.92,-2.62,0.0
108,2rjr,IC50,11600000.0,1.94,-2.64,0.0
109,5nn4,Kd,11570000.0,1.94,-2.64,0.0
110,4mrf,Kd,11200000.0,1.95,-2.66,0.0
111,6abk,Kd,11300000.0,1.95,-2.65,0.0
112,6rg2,Kd,11200000.0,1.95,-2.66,0.0
113,1tnj,Ki,11000000.0,1.96,-2.67,0.0
114,2gga,IC50,11000000.0,1.96,-2.67,0.0
115,5oxn,Kd,10950000.0,1.96,-2.67,0.0
116,6lgy,Kd,11000000.0,1.96,-2.67,0.0
117,1wdq,Kd,10450000.0,1.98,-2.7,0.0
118,6h7u,IC50,10400000.0,1.98,-2.7,0.0
119,6hzp,IC50,10400000.0,1.98,-2.7,0.0
120,6ifb,Kd,10400000.0,1.98,-2.7,0.0
121,3i3d,Ki,10300000.0,1.99,-2.71,0.0
122,1gbt,Ki,10000000.0,2.00,-2.73,0.0
123,2bmv,Kd,10000000.0,2.00,-2.73,0.0
124,2hds,Ki,10000000.0,2.00,-2.73,0.0
125,2r58,Kd,10000000.0,2.00,-2.73,0.0
126,3c2f,Kd,10100000.0,2.00,-2.72,0.0
127,3g2y,Ki,10000000.0,2.00,-2.73,0.0
128,3pce,Ki,10000000.0,2.00,-2.73,0.0
129,3rv3,IC50,10000000.0,2.00,-2.73,0.0
130,4awj,Kd,10000000.0,2.00,-2.73,0.0
131,4kz5,Ki,10000000.0,2.00,-2.73,0.0
132,4qsu,Kd,10000000.0,2.00,-2.73,0.0
133,4qsv,Kd,10000000.0,2.00,-2.73,0.0
134,6evq,Kd,10000000.0,2.00,-2.73,0.0
135,4ty8,Kd,9310000.0,2.03,-2.77,0.0
136,5ekx,IC50,9300000.0,2.03,-2.77,0.0
137,5nzq,Kd,9300000.0,2.03,-2.77,0.0
138,2ks9,Ki,9020000.0,2.04,-2.79,0.0
139,1jfh,Ki,9000000.0,2.05,-2.79,0.0
140,4e4a,IC50,9000000.0,2.05,-2.79,0.0
