,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,3zzf,Ki,400000000.0,0.40,-0.54,0.0
5,6h9v,Kd,220000000.0,0.66,-0.9,0.0
6,4obv,Ki,178000000.0,0.75,-1.02,0.0
9,4eu3,Ki,150000000.0,0.82,-1.12,0.0
17,5eb2,Kd,76900000.0,1.11,-1.52,0.0
18,6lgv,Kd,62000000.0,1.21,-1.65,0.0
19,4lh2,Ki,58000000.0,1.24,-1.69,0.0
20,4to8,IC50,56900000.0,1.24,-1.7,0.0
21,4fci,Ki,55000000.0,1.26,-1.72,0.0
22,4fck,Ki,55000000.0,1.26,-1.72,0.0
23,4clp,Kd,54200000.0,1.27,-1.73,0.0
28,5mnc,Kd,48500000.0,1.31,-1.79,0.0
29,5mny,Kd,48500000.0,1.31,-1.79,0.0
30,5moo,Kd,48500000.0,1.31,-1.79,0.0
31,6t26,Ki,45300000.0,1.34,-1.83,0.0
35,6k2n,Kd,43400000.0,1.36,-1.86,0.0
41,5eb3,Kd,35200000.0,1.45,-1.98,0.0
43,4bh4,Kd,32000000.0,1.49,-2.04,0.0
44,5vqe,Kd,32000000.0,1.49,-2.04,0.0
45,4lh3,Ki,30000000.0,1.52,-2.08,0.0
46,5ct1,Kd,30200000.0,1.52,-2.07,0.0
48,4amw,Ki,28300000.0,1.55,-2.11,0.0
50,3rup,Ki,27000000.0,1.57,-2.14,0.0
51,5cs5,Kd,26600000.0,1.58,-2.15,0.0
52,5ofv,Kd,26200000.0,1.58,-2.16,0.0
57,5k5c,IC50,24000000.0,1.62,-2.21,0.0
59,4d63,Kd,23000000.0,1.64,-2.23,0.0
63,4qsw,Kd,21000000.0,1.68,-2.29,0.0
66,3oay,IC50,20000000.0,1.70,-2.32,0.0
67,4tyb,Kd,19990000.0,1.70,-2.32,0.0
72,3vzg,Kd,19000000.0,1.72,-2.35,0.0
73,3zst,IC50,19000000.0,1.72,-2.35,0.0
74,5y61,Kd,19100000.0,1.72,-2.34,0.0
76,4qsx,Kd,18000000.0,1.74,-2.38,0.0
77,5y62,Kd,18400000.0,1.74,-2.37,0.0
78,5ggj,Kd,17780000.0,1.75,-2.39,0.0
79,5zef,IC50,17900000.0,1.75,-2.38,0.0
80,4bgx,Kd,17000000.0,1.77,-2.41,0.0
82,5ggl,Kd,16520000.0,1.78,-2.43,0.0
85,3rxh,IC50,15700000.0,1.80,-2.46,0.0
91,4ahv,Kd,15000000.0,1.82,-2.49,0.0
95,6rgu,Kd,14100000.0,1.85,-2.52,0.0
99,4x8s,Ki,13000000.0,1.89,-2.57,0.0
101,4mrh,Kd,12600000.0,1.90,-2.59,0.0
107,4bh3,Kd,12000000.0,1.92,-2.62,0.0
109,5nn4,Kd,11570000.0,1.94,-2.64,0.0
110,4mrf,Kd,11200000.0,1.95,-2.66,0.0
111,6abk,Kd,11300000.0,1.95,-2.65,0.0
112,6rg2,Kd,11200000.0,1.95,-2.66,0.0
115,5oxn,Kd,10950000.0,1.96,-2.67,0.0
116,6lgy,Kd,11000000.0,1.96,-2.67,0.0
118,6h7u,IC50,10400000.0,1.98,-2.7,0.0
119,6hzp,IC50,10400000.0,1.98,-2.7,0.0
120,6ifb,Kd,10400000.0,1.98,-2.7,0.0
129,3rv3,IC50,10000000.0,2.00,-2.73,0.0
130,4awj,Kd,10000000.0,2.00,-2.73,0.0
131,4kz5,Ki,10000000.0,2.00,-2.73,0.0
132,4qsu,Kd,10000000.0,2.00,-2.73,0.0
133,4qsv,Kd,10000000.0,2.00,-2.73,0.0
134,6evq,Kd,10000000.0,2.00,-2.73,0.0
135,4ty8,Kd,9310000.0,2.03,-2.77,0.0
136,5ekx,IC50,9300000.0,2.03,-2.77,0.0
137,5nzq,Kd,9300000.0,2.03,-2.77,0.0
140,4e4a,IC50,9000000.0,2.05,-2.79,0.0
141,4ty9,Kd,8960000.0,2.05,-2.79,0.0
142,4x8t,Kd,8900000.0,2.05,-2.8,0.0
143,5eiw,IC50,9000000.0,2.05,-2.79,0.0
147,4u54,Kd,8700000.0,2.06,-2.81,0.0
148,3ao4,Kd,8500000.0,2.07,-2.82,0.0
149,4b0c,Kd,8500000.0,2.07,-2.82,0.0
150,3rxp,IC50,8300000.000000001,2.08,-2.84,0.0
151,5tyh,IC50,8400000.0,2.08,-2.83,0.0
154,4aml,IC50,8000000.0,2.10,-2.86,0.0
155,4cs9,Kd,8000000.0,2.10,-2.86,0.0
156,6pnx,Kd,8000000.0,2.10,-2.86,0.0
157,6r49,IC50,8000000.0,2.10,-2.86,0.0
158,3uf9,Ki,7780000.0,2.11,-2.88,0.0
159,6aao,Kd,7800000.0,2.11,-2.87,0.0
163,6r9u,Kd,7500000.0,2.12,-2.9,0.0
165,6gz9,IC50,7400000.0,2.13,-2.91,0.0
166,6abx,Ki,7190000.0,2.14,-2.92,0.0
167,6dim,IC50,7200000.0,2.14,-2.92,0.0
168,6djd,IC50,7200000.0,2.14,-2.92,0.0
170,3rxg,IC50,7100000.0,2.15,-2.93,0.0
171,4b0j,Kd,7100000.0,2.15,-2.93,0.0
172,4q90,Ki,7000000.0,2.15,-2.94,0.0
173,5cs3,Kd,7000000.0,2.15,-2.94,0.0
174,6fap,Kd,7100000.0,2.15,-2.93,0.0
175,6fi1,Kd,7100000.0,2.15,-2.93,0.0
176,6r9s,Kd,7100000.0,2.15,-2.93,0.0
179,5fe6,Kd,6910000.0,2.16,-2.95,0.0
180,6ghj,Kd,6890000.0,2.16,-2.95,0.0
182,4y3j,Kd,6800000.0,2.17,-2.96,0.0
183,5oxk,Kd,6820000.0,2.17,-2.95,0.0
184,5z5f,Ki,6800000.0,2.17,-2.96,0.0
185,6gmx,Kd,6700000.0,2.17,-2.96,0.0
186,6tuz,Kd,6800000.0,2.17,-2.96,0.0
188,6g47,Kd,6600000.0,2.18,-2.97,0.0
189,6ux1,IC50,6600000.0,2.18,-2.97,0.0
190,4ahr,Kd,6500000.0,2.19,-2.98,0.0
191,4ahs,Kd,6400000.0,2.19,-2.99,0.0
192,4amx,Ki,6500000.0,2.19,-2.98,0.0
193,4jdf,Kd,6400000.0,2.19,-2.99,0.0
194,4mre,Kd,6400000.0,2.19,-2.99,0.0
195,5nzp,Kd,6500000.0,2.19,-2.98,0.0
198,4eh8,IC50,6247000.0,2.20,-3.01,0.0
200,4g0z,Kd,6130000.0,2.21,-3.02,0.0
204,4aci,Kd,6000000.0,2.22,-3.03,0.0
205,4uru,Kd,6000000.0,2.22,-3.03,0.0
206,4ury,Kd,6000000.0,2.22,-3.03,0.0
207,4x11,Kd,6000000.0,2.22,-3.03,0.0
208,5fsb,Kd,6000000.0,2.22,-3.03,0.0
209,5hcl,IC50,6000000.0,2.22,-3.03,0.0
210,5jqb,Kd,6000000.0,2.22,-3.03,0.0
211,6kcx,IC50,6000000.0,2.22,-3.03,0.0
214,3ao5,Kd,5900000.0,2.23,-3.04,0.0
219,5f6v,IC50,5800000.0,2.24,-3.05,0.0
220,5m9w,Kd,5700000.0,2.24,-3.06,0.0
221,5nzo,Kd,5800000.0,2.24,-3.05,0.0
223,3ao1,Kd,5500000.0,2.26,-3.08,0.0
224,4eh9,IC50,5453000.0,2.26,-3.09,0.0
225,4np2,Kd,5500000.0,2.26,-3.08,0.0
226,5v6u,Ki,5470000.0,2.26,-3.08,0.0
229,4ahu,Kd,5400000.0,2.27,-3.09,0.0
230,4mfe,Ki,5400000.0,2.27,-3.09,0.0
236,4ddk,Kd,5100000.0,2.29,-3.13,0.0
237,4ehv,IC50,5103000.0,2.29,-3.13,0.0
238,5fnj,Kd,5150000.0,2.29,-3.12,0.0
246,2xlc,Ki,5000000.0,2.30,-3.14,0.0
251,3rv4,Ki,5000000.0,2.30,-3.14,0.0
252,4e3d,IC50,5000000.0,2.30,-3.14,0.0
253,4g0y,Kd,4990000.0,2.30,-3.14,0.0
254,4jsz,Ki,5000000.0,2.30,-3.14,0.0
255,4led,Kd,5000000.0,2.30,-3.14,0.0
256,6au2,Kd,5000000.0,2.30,-3.14,0.0
257,6gmq,Kd,5000000.0,2.30,-3.14,0.0
259,4y0a,Ki,4950000.0,2.31,-3.14,0.0
260,5mz8,Kd,4900000.0,2.31,-3.15,0.0
262,5aol,Kd,4800000.0,2.32,-3.16,0.0
