,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
4,1zsb,Kd,250000000.0,0.60,-0.82,0.0
8,3k41,Kd,150000000.0,0.82,-1.12,0.0
10,2w97,Kd,110000000.0,0.96,-1.31,0.0
15,1maw,Kd,80000000.0,1.10,-1.5,0.0
25,1a0t,Kd,50000000.0,1.30,-1.77,0.0
27,2igw,Kd,49000000.0,1.31,-1.79,0.0
33,3nm6,Kd,45000000.0,1.35,-1.84,0.0
34,1qpb,Kd,44000000.0,1.36,-1.85,0.0
38,3eor,Kd,40000000.0,1.40,-1.91,0.0
40,1utp,Kd,36000000.0,1.44,-1.97,0.0
60,1hgj,Kd,22000000.0,1.66,-2.26,0.0
65,3gf2,Kd,20000000.0,1.70,-2.32,0.0
70,2jjc,Kd,19000000.0,1.72,-2.35,0.0
71,3ern,Kd,18910000.0,1.72,-2.35,0.0
81,3f39,Kd,16500000.0,1.78,-2.43,0.0
86,1af6,Kd,15000000.0,1.82,-2.49,0.0
96,1mwt,Kd,13300000.0,1.88,-2.56,0.0
98,2ay2,Kd,13100000.0,1.88,-2.57,0.0
106,3ehn,Kd,12000000.0,1.92,-2.62,0.0
117,1wdq,Kd,10450000.0,1.98,-2.7,0.0
123,2bmv,Kd,10000000.0,2.00,-2.73,0.0
125,2r58,Kd,10000000.0,2.00,-2.73,0.0
126,3c2f,Kd,10100000.0,2.00,-2.72,0.0
146,2zg3,Kd,8700000.0,2.06,-2.81,0.0
153,2zg1,Kd,8000000.0,2.10,-2.86,0.0
161,2w8w,Kd,7500000.0,2.12,-2.9,0.0
169,1uxb,Kd,7000000.0,2.15,-2.94,0.0
177,2ay9,Kd,6900000.0,2.16,-2.95,0.0
199,1x8d,Kd,6160000.0,2.21,-3.01,0.0
203,2aac,Kd,6000000.0,2.22,-3.03,0.0
213,2igv,Kd,5900000.0,2.23,-3.04,0.0
217,2ay8,Kd,5800000.0,2.24,-3.05,0.0
227,1hge,Kd,5400000.0,2.27,-3.09,0.0
228,1uto,Kd,5320000.0,2.27,-3.1,0.0
235,2ay1,Kd,5140000.0,2.29,-3.12,0.0
242,1uxa,Kd,5000000.0,2.30,-3.14,0.0
244,2ay7,Kd,5000000.0,2.30,-3.14,0.0
276,6rnt,Kd,4300000.0,2.37,-3.23,0.0
277,3f6e,Kd,4139999.9999999995,2.38,-3.25,0.0
292,2wsx,Kd,3900000.0,2.41,-3.28,0.0
303,1oba,Kd,3600000.0,2.44,-3.33,0.0
311,1gbq,Kd,3500000.0,2.46,-3.35,0.0
321,1tok,Kd,3400000.0,2.47,-3.37,0.0
322,1utl,Kd,3410000.0,2.47,-3.36,0.0
347,1wdr,Kd,3050000.0,2.52,-3.43,0.0
348,3ad7,Kd,3010000.0,2.52,-3.44,0.0
349,3bf1,Kd,3000000.0,2.52,-3.44,0.0
362,1kf0,Kd,2800000.0,2.55,-3.48,0.0
369,1gwv,Kd,2680000.0,2.57,-3.51,0.0
371,2wq4,Kd,2700000.0,2.57,-3.5,0.0
375,2ay5,Kd,2600000.0,2.59,-3.52,0.0
376,2jst,Kd,2600000.0,2.59,-3.52,0.0
384,2r5a,Kd,2500000.0,2.60,-3.55,0.0
390,1cze,Kd,2400000.0,2.62,-3.57,0.0
392,2kfh,Kd,2400000.0,2.62,-3.57,0.0
393,3f37,Kd,2400000.0,2.62,-3.57,0.0
394,3f38,Kd,2400000.0,2.62,-3.57,0.0
413,3a1e,Kd,2200000.0,2.66,-3.62,0.0
419,1hgi,Kd,2100000.0,2.68,-3.65,0.0
427,3elc,Kd,2020000.0,2.69,-3.67,0.0
436,2ha4,Kd,2000000.0,2.70,-3.68,0.0
437,2krd,Kd,2000000.0,2.70,-3.68,0.0
440,2uyn,Kd,2000000.0,2.70,-3.68,0.0
441,3bra,Kd,2000000.0,2.70,-3.68,0.0
445,3gk2,Kd,2000000.0,2.70,-3.68,0.0
457,1pfu,Kd,1900000.0,2.72,-3.71,0.0
468,2vyt,Kd,1840000.0,2.74,-3.73,0.0
520,1czc,Kd,1500000.0,2.82,-3.85,0.0
521,1p17,Kd,1500000.0,2.82,-3.85,0.0
528,3lka,Kd,1500000.0,2.82,-3.85,0.0
544,2a29,Kd,1400000.0,2.85,-3.89,0.0
572,2k2r,Kd,1300000.0,2.89,-3.93,0.0
575,3f36,Kd,1300000.0,2.89,-3.93,0.0
597,2ay4,Kd,1240000.0,2.91,-3.96,0.0
608,2fkf,Kd,1200000.0,2.92,-3.98,0.0
609,2fw6,Kd,1200000.0,2.92,-3.98,0.0
610,2fwp,Kd,1200000.0,2.92,-3.98,0.0
611,2kfg,Kd,1200000.0,2.92,-3.98,0.0
645,2vmc,Kd,1150000.0,2.94,-4.01,0.0
653,1ykp,Kd,1100000.0,2.96,-4.03,0.0
655,2kdh,Kd,1100000.0,2.96,-4.03,0.0
656,2w8j,Kd,1100000.0,2.96,-4.03,0.0
658,3imc,Kd,1100000.0,2.96,-4.03,0.0
659,3img,Kd,1100000.0,2.96,-4.03,0.0
671,2rnw,Kd,1051000.0,2.98,-4.06,0.0
672,3ckb,Kd,1040000.0,2.98,-4.07,0.0
683,1ux7,Kd,1000000.0,3.00,-4.09,0.0
685,1ws4,Kd,1000000.0,3.00,-4.09,0.0
689,2q8h,Kd,1000000.0,3.00,-4.09,0.0
691,2v3u,Kd,1000000.0,3.00,-4.09,0.0
695,2xgm,Kd,1000000.0,3.00,-4.09,0.0
696,2xgo,Kd,1000000.0,3.00,-4.09,0.0
699,3d9o,Kd,1000000.0,3.00,-4.09,0.0
702,3ime,Kd,1000000.0,3.00,-4.09,0.0
734,1utm,Kd,972000.0,3.01,-4.11,0.0
738,2vmd,Kd,950000.0,3.02,-4.12,0.0
747,1ogd,Kd,930000.0,3.03,-4.13,0.0
748,1ws5,Kd,926000.0,3.03,-4.14,0.0
750,2ha3,Kd,930000.0,3.03,-4.13,0.0
751,3adv,Kd,933000.0,3.03,-4.13,0.0
752,3esj,Kd,925000.0,3.03,-4.14,0.0
773,2ohl,Kd,900000.0,3.05,-4.15,0.0
800,1hiy,Kd,830000.0,3.08,-4.2,0.0
808,1ugw,Kd,820000.0,3.09,-4.21,0.0
816,1swi,Kd,800000.0,3.10,-4.22,0.0
817,2xdl,Kd,790000.0,3.10,-4.23,0.0
818,3buf,Kd,800000.0,3.10,-4.22,0.0
819,3f78,Kd,800000.0,3.10,-4.22,0.0
820,3mo8,Kd,800000.0,3.10,-4.22,0.0
839,1uod,Kd,780000.0,3.11,-4.24,0.0
841,2ay6,Kd,780000.0,3.11,-4.24,0.0
844,3c2r,Kd,780000.0,3.11,-4.24,0.0
862,1ax0,Kd,746000.0,3.13,-4.26,0.0
877,1k9q,Kd,700000.0,3.15,-4.3,0.0
881,1rin,Kd,700000.0,3.15,-4.3,0.0
882,2fr8,Kd,700000.0,3.15,-4.3,0.0
883,2p8n,Kd,700000.0,3.15,-4.3,0.0
884,3cgy,Kd,715000.0,3.15,-4.29,0.0
885,3e73,Kd,700000.0,3.15,-4.3,0.0
901,3ad8,Kd,690000.0,3.16,-4.31,0.0
903,3f34,Kd,690000.0,3.16,-4.31,0.0
904,3f35,Kd,690000.0,3.16,-4.31,0.0
905,3kpu,Kd,690000.0,3.16,-4.31,0.0
906,3lk0,Kd,696900.0,3.16,-4.3,0.0
919,1lbk,Kd,668000.0,3.18,-4.33,0.0
921,2wik,Kd,660000.0,3.18,-4.34,0.0
923,3bug,Kd,660000.0,3.18,-4.34,0.0
943,1axz,Kd,637000.0,3.20,-4.36,0.0
946,2wij,Kd,630000.0,3.20,-4.36,0.0
