,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
1,184l,Kd,19000.0,4.72,-10.214813632166988,5.2631578947368424e-05
2,185l,Kd,290000.0,3.54,-3.190423092697209,3.4482758620689654e-06
3,186l,Kd,14000.0,4.85,-11.001885972821231,7.142857142857143e-05
4,187l,Kd,422000.0,3.37,-2.223599994654247,2.3696682464454976e-06
5,188l,Kd,470000.0,3.33,-1.9459499073631452,2.1276595744680853e-06
6,1a1e,Kd,1000.0,6.0,-17.80363399073182,0.001
9,1a4k,Kd,10.0,8.0,-29.672723317886373,0.1
10,1a4r,Kd,220.0,6.66,-21.70605596114785,0.004545454545454545
14,1a99,Kd,2000.0,5.7,-16.01715803638745,0.0005
16,1a9q,Kd,680.0,6.17,-18.797617329027783,0.0014705882352941176
19,1adl,Kd,4400.0,5.36,-13.985035343226205,0.00022727272727272727
20,1ado,Kd,1000.0,6.0,-17.80363399073182,0.001
27,1aj7,Kd,135000.0,3.87,-5.16107309327132,7.4074074074074075e-06
35,1amw,Kd,29000.0,4.54,-9.124967756274483,3.4482758620689657e-05
38,1atr,Kd,110.0,6.96,-23.49253191549222,0.00909090909090909
39,1avn,Kd,110.0,3.9,-23.49253191549222,0.00909090909090909
40,1ax0,Kd,110.0,3.13,-23.49253191549222,0.00909090909090909
42,1b05,Kd,75.0,7.12,-24.479633166921968,0.013333333333333334
43,1b0h,Kd,200.0,6.7,-21.951702699964727,0.005
44,1b1h,Kd,93.0,7.03,-23.925218003780028,0.010752688172043012
45,1b2h,Kd,29000.0,4.54,-9.124967756274483,3.4482758620689657e-05
46,1b32,Kd,79.0,7.1,-24.34571525338629,0.012658227848101266
47,1b38,Kd,254.0,6.6,-21.335674881706087,0.003937007874015748
48,1b3f,Kd,130.0,6.89,-23.061976740926454,0.007692307692307693
49,1b3g,Kd,200.0,6.7,-21.951702699964727,0.005
50,1b3h,Kd,620.0,6.21,-19.035694781934254,0.0016129032258064516
51,1b3l,Kd,1300.0,5.89,-17.127432077349177,0.0007692307692307692
52,1b40,Kd,53.0,7.28,-25.374475820989222,0.018867924528301886
53,1b46,Kd,5200.0,5.28,-13.55448016866044,0.0001923076923076923
54,1b4h,Kd,3440.0,5.46,-14.619403948671616,0.00029069767441860465
55,1b4z,Kd,5900.0,5.23,-13.228978298633129,0.00016949152542372882
56,1b51,Kd,43.0,7.37,-25.913376475282,0.023255813953488372
57,1b52,Kd,76.0,7.12,-24.445495714210068,0.013157894736842105
58,1b55,Kd,40.0,7.4,-26.09977140919763,0.025
60,1b58,Kd,260.0,6.59,-21.275500786582086,0.0038461538461538464
61,1b5h,Kd,970.0,6.01,-17.882137724550464,0.0010309278350515464
62,1b5i,Kd,90.0,7.05,-24.009728525734637,0.011111111111111112
63,1b5j,Kd,37.0,7.43,-26.30070480848918,0.02702702702702703
64,1b6h,Kd,15.0,7.82,-28.627701876154877,0.06666666666666667
68,1b7h,Kd,9.5,8.02,-29.80492357724318,0.10526315789473684
72,1b9j,Kd,1100.0,5.96,-17.557987251914945,0.0009090909090909091
75,1bcu,Kd,2.0,3.28,-33.82079202711927,0.5
77,1bgq,Kd,2.7,8.57,-33.047320456813324,0.37037037037037035
78,1bhf,Kd,42000.0,4.38,-8.170388576745365,2.380952380952381e-05
82,1bm7,Kd,30.0,7.52,-26.841225921810505,0.03333333333333333
84,1bn1,Kd,0.46,9.34,-37.60864669179099,2.1739130434782608
85,1bn3,Kd,0.13,9.89,-40.86561073165828,7.692307692307692
86,1bn4,Kd,0.49,9.31,-37.44581318148575,2.0408163265306123
87,1bnn,Kd,0.1,10.0,-41.54181264504092,10.0
88,1bnq,Kd,0.32,9.49,-38.54397753689634,3.125
89,1bnt,Kd,0.16,9.8,-40.33045349124071,6.25
90,1bnu,Kd,0.2,9.7,-39.75533669069655,5.0
91,1bnv,Kd,1.7,8.77,-34.23965856487107,0.5882352941176471
92,1bnw,Kd,0.83,9.08,-36.0875026565197,1.2048192771084338
93,1bp0,Kd,4000.0,5.4,-14.230682082043081,0.00025
106,1bzy,Kd,4.6,8.34,-31.674102028213714,0.2173913043478261
112,1c5c,Kd,110.0,6.96,-23.49253191549222,0.00909090909090909
128,1ceb,Kd,1000.0,6.0,-17.80363399073182,0.001
132,1cnw,Kd,19.0,7.72,-28.018447622898808,0.05263157894736842
133,1cnx,Kd,43.0,7.37,-25.913376475282,0.023255813953488372
134,1cny,Kd,14.0,7.85,-28.805519963553053,0.07142857142857142
139,1d2e,Kd,1000.0,6.0,-17.80363399073182,0.001
140,1d3d,Kd,0.81,9.09,-36.150367724314734,1.2345679012345678
141,1d3p,Kd,41.0,7.39,-26.036130151063965,0.024390243902439025
147,1d4p,Kd,500.0,6.3,-19.59010994507619,0.002
149,1d6v,Kd,670.0,6.17,-18.835800842225257,0.0014925373134328358
151,1d7i,Kd,250000.0,3.6,-3.572951908688739,4e-06
152,1d7j,Kd,500000.0,3.3,-1.7864759543443696,2e-06
154,1dar,Kd,11000.0,4.96,-11.623442588337667,9.09090909090909e-05
155,1det,Kd,50000.0,4.3,-7.721020617921645,2e-05
156,1df8,Kd,0.2,9.7,-39.75533669069655,5.0
158,1dhi,Kd,55.0,7.26,-25.279007869836587,0.01818181818181818
159,1dhj,Kd,281.0,6.55,-21.07531095800301,0.0035587188612099642
161,1dl7,Kd,320.0,6.49,-20.74034354616452,0.003125
164,1drj,Kd,40.0,7.4,-26.09977140919763,0.025
165,1drk,Kd,150.0,6.82,-22.6931572125776,0.006666666666666667
166,1drv,Kd,290.0,6.54,-20.99405708342903,0.0034482758620689655
168,1duv,Kd,15000.0,11.8,-10.824067885423052,6.666666666666667e-05
170,1dzk,Kd,800.0,6.1,-18.378750791275987,0.00125
175,1e3g,Kd,0.99,9.0,-35.633171114072304,1.0101010101010102
176,1e3v,Kd,45740.0,4.34,-7.950532272839324,2.1862702229995627e-05
177,1e4h,Kd,3.9,8.41,-32.099568672005134,0.25641025641025644
