,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
2,1w8l,Ki,320000000.0,0.49,-0.67,0.0
7,1wkm,Ki,150000000.0,0.82,-1.12,0.0
11,1p0y,Ki,100800000.0,1.00,-1.36,0.0
12,2b1r,Ki,101000000.0,1.00,-1.36,0.0
13,2d2v,Ki,100000000.0,1.00,-1.36,0.0
14,1aw1,Ki,89000000.0,1.05,-1.43,0.0
24,1f9g,Ki,53000000.0,1.28,-1.74,0.0
26,1b74,Ki,50000000.0,1.30,-1.77,0.0
32,2vl1,Ki,45000000.0,1.35,-1.84,0.0
37,2hdq,Ki,40000000.0,1.40,-1.91,0.0
39,1ozv,Ki,36600000.0,1.44,-1.96,0.0
42,1tnk,Ki,32500000.0,1.49,-2.03,0.0
47,3mwe,Ki,29000000.0,1.54,-2.1,0.0
49,1iig,Ki,27000000.0,1.57,-2.14,0.0
53,2b1q,Ki,26000000.0,1.59,-2.16,0.0
54,1w8m,Ki,25000000.0,1.60,-2.18,0.0
55,3itc,Ki,25000000.0,1.60,-2.18,0.0
56,2it4,Ki,24100000.0,1.62,-2.21,0.0
58,1a7t,Ki,23000000.0,1.64,-2.23,0.0
61,1rdj,Ki,21700000.0,1.66,-2.27,0.0
62,2o9r,Ki,21000000.0,1.68,-2.29,0.0
64,2sfp,Ki,20000000.0,1.70,-2.32,0.0
68,3g6m,Ki,19700000.0,1.71,-2.33,0.0
69,2hdr,Ki,19000000.0,1.72,-2.35,0.0
75,1u2y,Ki,18000000.0,1.74,-2.38,0.0
83,2zgm,Ki,16399999.999999998,1.79,-2.43,0.0
84,1ga8,Ki,16000000.0,1.80,-2.45,0.0
87,1bra,Ki,15000000.0,1.82,-2.49,0.0
88,1d5r,Ki,15000000.0,1.82,-2.49,0.0
89,1y1m,Ki,15300000.0,1.82,-2.48,0.0
92,1rdn,Ki,14400000.0,1.84,-2.51,0.0
94,3khv,Ki,13990000.0,1.85,-2.53,0.0
97,1tnl,Ki,13300000.0,1.88,-2.56,0.0
100,1f2p,Ki,12700000.0,1.90,-2.59,0.0
102,1f2o,Ki,12400000.0,1.91,-2.6,0.0
103,1ms1,Ki,12300000.0,1.91,-2.6,0.0
104,1ms8,Ki,12300000.0,1.91,-2.6,0.0
113,1tnj,Ki,11000000.0,1.96,-2.67,0.0
121,3i3d,Ki,10300000.0,1.99,-2.71,0.0
122,1gbt,Ki,10000000.0,2.00,-2.73,0.0
124,2hds,Ki,10000000.0,2.00,-2.73,0.0
127,3g2y,Ki,10000000.0,2.00,-2.73,0.0
128,3pce,Ki,10000000.0,2.00,-2.73,0.0
138,2ks9,Ki,9020000.0,2.04,-2.79,0.0
139,1jfh,Ki,9000000.0,2.05,-2.79,0.0
144,1qq9,Ki,8700000.0,2.06,-2.81,0.0
145,1rdi,Ki,8800000.0,2.06,-2.8,0.0
152,1njj,Ki,8000000.0,2.10,-2.86,0.0
160,1qx1,Ki,7500000.0,2.12,-2.9,0.0
162,3gv9,Ki,7500000.0,2.12,-2.9,0.0
164,1p2g,Ki,7400000.0,2.13,-2.91,0.0
178,4tim,Ki,6900000.0,2.16,-2.95,0.0
181,3gqz,Ki,6700000.0,2.17,-2.96,0.0
187,3l7d,Ki,6550000.0,2.18,-2.98,0.0
201,1icj,Ki,6000000.0,2.22,-3.03,0.0
202,1m0n,Ki,6000000.0,2.22,-3.03,0.0
212,1ajp,Ki,5850000.0,2.23,-3.04,0.0
215,3i3b,Ki,5900000.0,2.23,-3.04,0.0
216,1rdl,Ki,5700000.0,2.24,-3.06,0.0
222,1ew8,Ki,5500000.0,2.26,-3.08,0.0
231,1ps3,Ki,5200000.0,2.28,-3.11,0.0
234,3ip8,Ki,5200000.0,2.28,-3.11,0.0
245,2hdu,Ki,5000000.0,2.30,-3.14,0.0
247,3dyo,Ki,5000000.0,2.30,-3.14,0.0
248,3kgq,Ki,5000000.0,2.30,-3.14,0.0
