,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
1,3gww,IC50,355000000.0,0.45,-0.61,0.0
2,1w8l,Ki,320000000.0,0.49,-0.67,0.0
3,3fqa,IC50,320000000.0,0.49,-0.67,0.0
4,1zsb,Kd,250000000.0,0.60,-0.82,0.0
7,1wkm,Ki,150000000.0,0.82,-1.12,0.0
8,3k41,Kd,150000000.0,0.82,-1.12,0.0
10,2w97,Kd,110000000.0,0.96,-1.31,0.0
11,1p0y,Ki,100800000.0,1.00,-1.36,0.0
12,2b1r,Ki,101000000.0,1.00,-1.36,0.0
13,2d2v,Ki,100000000.0,1.00,-1.36,0.0
14,1aw1,Ki,89000000.0,1.05,-1.43,0.0
15,1maw,Kd,80000000.0,1.10,-1.5,0.0
16,3fl9,IC50,77200000.0,1.11,-1.52,0.0
24,1f9g,Ki,53000000.0,1.28,-1.74,0.0
25,1a0t,Kd,50000000.0,1.30,-1.77,0.0
26,1b74,Ki,50000000.0,1.30,-1.77,0.0
27,2igw,Kd,49000000.0,1.31,-1.79,0.0
32,2vl1,Ki,45000000.0,1.35,-1.84,0.0
33,3nm6,Kd,45000000.0,1.35,-1.84,0.0
34,1qpb,Kd,44000000.0,1.36,-1.85,0.0
36,1hty,IC50,40000000.0,1.40,-1.91,0.0
37,2hdq,Ki,40000000.0,1.40,-1.91,0.0
38,3eor,Kd,40000000.0,1.40,-1.91,0.0
39,1ozv,Ki,36600000.0,1.44,-1.96,0.0
40,1utp,Kd,36000000.0,1.44,-1.97,0.0
42,1tnk,Ki,32500000.0,1.49,-2.03,0.0
47,3mwe,Ki,29000000.0,1.54,-2.1,0.0
49,1iig,Ki,27000000.0,1.57,-2.14,0.0
53,2b1q,Ki,26000000.0,1.59,-2.16,0.0
54,1w8m,Ki,25000000.0,1.60,-2.18,0.0
55,3itc,Ki,25000000.0,1.60,-2.18,0.0
56,2it4,Ki,24100000.0,1.62,-2.21,0.0
58,1a7t,Ki,23000000.0,1.64,-2.23,0.0
60,1hgj,Kd,22000000.0,1.66,-2.26,0.0
61,1rdj,Ki,21700000.0,1.66,-2.27,0.0
62,2o9r,Ki,21000000.0,1.68,-2.29,0.0
64,2sfp,Ki,20000000.0,1.70,-2.32,0.0
65,3gf2,Kd,20000000.0,1.70,-2.32,0.0
68,3g6m,Ki,19700000.0,1.71,-2.33,0.0
69,2hdr,Ki,19000000.0,1.72,-2.35,0.0
70,2jjc,Kd,19000000.0,1.72,-2.35,0.0
71,3ern,Kd,18910000.0,1.72,-2.35,0.0
75,1u2y,Ki,18000000.0,1.74,-2.38,0.0
81,3f39,Kd,16500000.0,1.78,-2.43,0.0
83,2zgm,Ki,16399999.999999998,1.79,-2.43,0.0
84,1ga8,Ki,16000000.0,1.80,-2.45,0.0
