,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,10gs,Ki,400.0,6.4,-20.165226745620355,0.0025
7,1a28,Ki,5.1,8.29,-31.408161168795207,0.19607843137254904
8,1a30,Ki,50000.0,4.3,-7.721020617921645,2e-05
11,1a4w,Ki,1200.0,5.92,-17.333729349544495,0.0008333333333333334
12,1a69,Ki,5000.0,5.3,-13.655565281498918,0.0002
13,1a94,Ki,14.0,7.85,-28.805519963553053,0.07142857142857142
15,1a9m,Ki,119.0,6.92,-23.289841837727575,0.008403361344537815
17,1aaq,Ki,4.0,8.4,-32.0343160727749,0.25
18,1add,Ki,180.0,6.74,-22.22325257139027,0.005555555555555556
21,1afk,Ki,240.0,6.62,-21.481798058777397,0.004166666666666667
22,1afl,Ki,520.0,6.28,-19.489024832237714,0.0019230769230769232
23,1ai4,Ki,520.0,2.5,-19.489024832237714,0.0019230769230769232
24,1ai5,Ki,520.0,3.72,-19.489024832237714,0.0019230769230769232
25,1ai7,Ki,520.0,4.09,-19.489024832237714,0.0019230769230769232
26,1aid,Ki,15000.0,4.82,-10.824067885423052,6.666666666666667e-05
28,1ajn,Ki,135000.0,2.63,-5.16107309327132,7.4074074074074075e-06
29,1ajp,Ki,135000.0,2.23,-5.16107309327132,7.4074074074074075e-06
30,1ajq,Ki,135000.0,4.31,-5.16107309327132,7.4074074074074075e-06
31,1ajv,Ki,19.1,7.72,-28.00491824799922,0.05235602094240837
32,1ajx,Ki,12.2,7.91,-29.160217045608103,0.0819672131147541
33,1alw,Ki,300.0,6.52,-20.906681258233228,0.0033333333333333335
34,1amk,Ki,50000.0,4.3,-7.721020617921645,2e-05
36,1apv,Ki,1.0,9.0,-35.60726798146364,1.0
37,1atl,Ki,520.0,6.28,-19.489024832237714,0.0019230769230769232
41,1azm,Ki,800.0,6.1,-18.378750791275987,0.00125
59,1b57,Ki,10.0,8.0,-29.672723317886373,0.1
65,1b6j,Ki,12.0,7.92,-29.20281867669904,0.08333333333333333
66,1b6k,Ki,1.8,8.74,-34.09234189854482,0.5555555555555556
67,1b6l,Ki,5.0,8.3,-31.45919927223074,0.2
69,1b8n,Ki,9.5,10.52,-29.80492357724318,0.10526315789473684
70,1b8o,Ki,9.5,10.64,-29.80492357724318,0.10526315789473684
71,1b8y,Ki,14.0,7.85,-28.805519963553053,0.07142857142857142
73,1bai,Ki,20.0,7.7,-27.886247363542,0.05
74,1bcd,Ki,2.0,8.7,-33.82079202711927,0.5
76,1bdq,Ki,460.0,6.34,-19.805012701059162,0.002173913043478261
