,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,4llx,Ki,1300000,2.89,-3.93,0.0
1,5c28,Ki,2200,5.66,-7.71,0.00045
2,3uuo,Ki,11,7.96,-10.85,0.09091
3,3ui7,Ki,1,9.00,-12.27,1.0
4,5c2h,Ki,0.0082,11.09,-15.12,121.95122
5,2v00,Kd,220000,3.66,-4.99,0.0
6,3wz8,Ki,1500,5.82,-7.94,0.00067
7,3pww,Ki,48,7.32,-9.98,0.02083
8,3prs,Ki,15,7.82,-10.67,0.06667
9,3uri,Ki,1,9.00,-12.27,1.0
10,4m0z,Kd,6400,5.19,-7.08,0.00016
11,4m0y,Kd,350,6.46,-8.8,0.00286
12,3qgy,Ki,16,7.80,-10.63,0.0625
13,4qd6,Ki,2.3,8.64,-11.78,0.43478
14,4rfm,Ki,0.09,10.05,-13.7,11.11111
15,4cr9,Ki,80000,4.10,-5.59,1e-05
16,4cra,Ki,60,7.22,-9.85,0.01667
17,4x6p,Ki,5,8.30,-11.32,0.2
18,4crc,Ki,1,8.72,-12.27,1.0
19,4ty7,Ki,0.3,9.52,-12.98,3.33333
20,5aba,Kd,1040000,2.98,-4.07,0.0
21,5a7b,Kd,271000,3.57,-4.86,0.0
22,4agn,Kd,107000,3.97,-5.41,1e-05
23,4agp,Kd,20600,4.69,-6.39,5e-05
24,4agq,Kd,9700,5.01,-6.84,0.0001
25,3bgz,Ki,550,6.26,-8.53,0.00182
26,3jya,Ki,130,6.89,-9.39,0.00769
27,2c3i,Kd,25,7.60,-10.36,0.04
28,4k18,Ki,1.1,8.96,-12.21,0.90909
29,5dwr,Ki,0.006,11.22,-15.3,166.66667
30,3mss,Kd,22000,4.66,-6.35,5e-05
31,3k5v,Kd,500,6.30,-8.59,0.002
32,3pyy,Kd,137,6.86,-9.36,0.0073
33,2v7a,Kd,5,8.30,-11.32,0.2
34,4twp,Ki,0.1,10.00,-13.63,10.0
35,3wtj,Kd,297,6.53,-8.9,0.00337
36,3zdg,Ki,79,7.10,-9.68,0.01266
37,3u8k,Ki,2.2,8.66,-11.8,0.45455
38,4qac,Kd,0.4,9.40,-12.81,2.5
39,3u8n,Ki,0.067,10.17,-13.87,14.92537
40,1a30,Ki,50000,4.30,-5.86,2e-05
41,2qnq,Ki,770,6.11,-8.34,0.0013
42,1g2k,Ki,11,7.96,-10.85,0.09091
43,1eby,Ki,0.20,9.70,-13.22,5.0
44,3o9i,Ki,0.0015,11.82,-16.12,666.66667
45,4lzs,Kd,16000,4.80,-6.54,6e-05
46,3u5j,Kd,2460,5.61,-7.65,0.00041
47,4wiv,Kd,550,6.26,-8.53,0.00182
48,4ogj,Kd,164,6.79,-9.25,0.0061
49,3p5o,Kd,50.5,7.30,-9.95,0.0198
50,1ps3,Ki,5200000,2.28,-3.11,0.0
51,3dx1,Ki,265000,3.58,-4.88,0.0
52,3d4z,Ki,13000,4.89,-6.66,8e-05
53,3dx2,Ki,150,6.82,-9.3,0.00667
54,3ejr,Ki,2.7,8.57,-11.68,0.37037
55,3l7b,Ki,4010000,2.40,-3.27,0.0
56,4eky,Ki,303000,3.52,-4.8,0.0
57,3g2n,Ki,81000,4.09,-5.58,1e-05
58,3syr,Ki,7900,5.10,-6.96,0.00013
59,3ebp,Ki,1240,5.91,-8.05,0.00081
60,2w66,Ki,89000,4.05,-5.52,1e-05
61,2w4x,Kd,14000,4.85,-6.62,7e-05
62,2wca,Ki,2500,5.60,-7.64,0.0004
63,2xj7,Ki,220,6.66,-9.08,0.00455
64,2vvn,Kd,50,7.30,-9.95,0.02
65,3aru,Kd,600000,3.22,-4.39,0.0
66,3arv,Kd,2300,5.64,-7.69,0.00043
67,3ary,Kd,1000,6.00,-8.18,0.001
68,3arq,Kd,400,6.40,-8.72,0.0025
69,3arp,Kd,70,7.15,-9.76,0.01429
70,4ih5,Kd,78000,4.11,-5.6,1e-05
71,4ih7,Kd,5800,5.24,-7.14,0.00017
72,3cj4,Kd,310,6.51,-8.87,0.00323
73,4eo8,Kd,7,8.15,-11.12,0.14286
74,3gnw,Kd,0.79,9.10,-12.41,1.26582
75,1gpk,Ki,4300,5.37,-7.32,0.00023
76,1gpn,Ki,334,6.48,-8.83,0.00299
77,1h23,Ki,4.5,8.35,-11.38,0.22222
78,1h22,Ki,0.8,9.10,-12.4,1.25
79,1e66,Ki,0.13,9.89,-13.48,7.69231
80,3f3a,Ki,64800,4.19,-5.71,2e-05
81,3f3c,Ki,950,6.02,-8.21,0.00105
82,4mme,Kd,318,6.50,-8.86,0.00314
