4llx 1300000 2.89
5c28 2200 5.66
3uuo 11 7.96
3ui7 1 9.00
5c2h 0.0082 11.09
2v00 220000 3.66
3wz8 1500 5.82
3pww 48 7.32
3prs 15 7.82
3uri 1 9.00
4m0z 6400 5.19
4m0y 350 6.46
3qgy 16 7.80
4qd6 2.3 8.64
4rfm 0.09 10.05
4cr9 80000 4.10
4cra 60 7.22
4x6p 5 8.30
4crc 1 8.72
4ty7 0.3 9.52
5aba 1040000 2.98
5a7b 271000 3.57
4agn 107000 3.97
4agp 20600 4.69
4agq 9700 5.01
3bgz 550 6.26
3jya 130 6.89
2c3i 25 7.60
4k18 1.1 8.96
5dwr 0.006 11.22
3mss 22000 4.66
3k5v 500 6.30
3pyy 137 6.86
2v7a 5 8.30
4twp 0.1 10.00
3wtj 297 6.53
3zdg 79 7.10
3u8k 2.2 8.66
4qac 0.4 9.40
3u8n 0.067 10.17
1a30 50000 4.30
2qnq 770 6.11
1g2k 11 7.96
1eby 0.20 9.70
3o9i 0.0015 11.82
4lzs 16000 4.80
3u5j 2460 5.61
4wiv 550 6.26
4ogj 164 6.79
3p5o 50.5 7.30
1ps3 5200000 2.28
3dx1 265000 3.58
3d4z 13000 4.89
3dx2 150 6.82
3ejr 2.7 8.57
3l7b 4010000 2.40
4eky 303000 3.52
3g2n 81000 4.09
3syr 7900 5.10
3ebp 1240 5.91
2w66 89000 4.05
2w4x 14000 4.85
2wca 2500 5.60
2xj7 220 6.66
2vvn 50 7.30
3aru 600000 3.22
3arv 2300 5.64
3ary 1000 6.00
3arq 400 6.40
3arp 70 7.15
4ih5 78000 4.11
4ih7 5800 5.24
3cj4 310 6.51
4eo8 7 8.15
3gnw 0.79 9.10
1gpk 4300 5.37
1gpn 334 6.48
1h23 4.5 8.35
1h22 0.8 9.10
1e66 0.13 9.89
3f3a 64800 4.19
3f3c 950 6.02
4mme 318 6.50
3f3d 69 7.16
3f3e 20 7.70
2wbg 35200 4.45
2cbv 3300 5.48
2j78 384 6.42
2j7h 65 7.19
