,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,4llx,Ki,1300000,2.89,2735.22,0.0
1,5c28,Ki,2200,5.66,4467.62,0.00045
2,3uuo,Ki,11,7.96,5346.51,0.09091
3,3ui7,Ki,1,9.00,5662.99,1.0
4,5c2h,Ki,0.0082,11.09,6201.19,121.95122
5,2v00,Kd,220000,3.66,3344.0,0.0
6,3wz8,Ki,1500,5.82,4539.47,0.00067
7,3pww,Ki,48,7.32,5130.48,0.02083
8,3prs,Ki,15,7.82,5300.78,0.06667
9,3uri,Ki,1,9.00,5662.99,1.0
10,4m0z,Kd,6400,5.19,4244.19,0.00016
11,4m0y,Kd,350,6.46,4808.36,0.00286
12,3qgy,Ki,16,7.80,5294.18,0.0625
13,4qd6,Ki,2.3,8.64,5557.78,0.43478
14,4rfm,Ki,0.09,10.05,5947.4,11.11111
15,4cr9,Ki,80000,4.10,3636.59,1e-05
16,4cra,Ki,60,7.22,5095.03,0.01667
17,4x6p,Ki,5,8.30,5454.31,0.2
18,4crc,Ki,1,8.72,5581.54,1.0
19,4ty7,Ki,0.3,9.52,5807.76,3.33333
20,5aba,Kd,1040000,2.98,2814.26,0.0
21,5a7b,Kd,271000,3.57,3279.83,0.0
22,4agn,Kd,107000,3.97,3553.55,1e-05
23,4agp,Kd,20600,4.69,3983.11,5e-05
24,4agq,Kd,9700,5.01,4153.22,0.0001
25,3bgz,Ki,550,6.26,4727.31,0.00182
26,3jya,Ki,130,6.89,4974.45,0.00769
27,2c3i,Kd,25,7.60,5227.23,0.04
28,4k18,Ki,1.1,8.96,5651.51,0.90909
29,5dwr,Ki,0.006,11.22,6231.23,166.66667
30,3mss,Kd,22000,4.66,3966.57,5e-05
31,3k5v,Kd,500,6.30,4743.72,0.002
32,3pyy,Kd,137,6.86,4963.2,0.0073
33,2v7a,Kd,5,8.30,5454.31,0.2
34,4twp,Ki,0.1,10.00,5934.54,10.0
35,3wtj,Kd,297,6.53,4836.14,0.00337
36,3zdg,Ki,79,7.10,5051.83,0.01266
37,3u8k,Ki,2.2,8.66,5563.74,0.45455
38,4qac,Kd,0.4,9.40,5775.07,2.5
39,3u8n,Ki,0.067,10.17,5977.99,14.92537
40,1a30,Ki,50000,4.30,3759.35,2e-05
41,2qnq,Ki,770,6.11,4664.8,0.0013
42,1g2k,Ki,11,7.96,5346.51,0.09091
43,1eby,Ki,0.20,9.70,5856.04,5.0
44,3o9i,Ki,0.0015,11.82,6365.5,666.66667
45,4lzs,Kd,16000,4.80,4042.86,6e-05
46,3u5j,Kd,2460,5.61,4444.75,0.00041
47,4wiv,Kd,550,6.26,4727.31,0.00182
48,4ogj,Kd,164,6.79,4936.77,0.0061
49,3p5o,Kd,50.5,7.30,5123.43,0.0198
50,1ps3,Ki,5200000,2.28,2124.18,0.0
51,3dx1,Ki,265000,3.58,3287.04,0.0
52,3d4z,Ki,13000,4.89,4090.73,8e-05
53,3dx2,Ki,150,6.82,4948.13,0.00667
54,3ejr,Ki,2.7,8.57,5536.82,0.37037
55,3l7b,Ki,4010000,2.40,2256.38,0.0
56,4eky,Ki,303000,3.52,3243.48,0.0
57,3g2n,Ki,81000,4.09,3630.3,1e-05
58,3syr,Ki,7900,5.10,4199.11,0.00013
59,3ebp,Ki,1240,5.91,4579.02,0.00081
60,2w66,Ki,89000,4.05,3604.97,1e-05
61,2w4x,Kd,14000,4.85,4069.56,7e-05
62,2wca,Ki,2500,5.60,4440.16,0.0004
63,2xj7,Ki,220,6.66,4886.94,0.00455
64,2vvn,Kd,50,7.30,5123.43,0.02
65,3aru,Kd,600000,3.22,3013.89,0.0
66,3arv,Kd,2300,5.64,4458.5,0.00043
67,3ary,Kd,1000,6.00,4617.97,0.001
68,3arq,Kd,400,6.40,4784.31,0.0025
69,3arp,Kd,70,7.15,5069.92,0.01429
70,4ih5,Kd,78000,4.11,3642.87,1e-05
71,4ih7,Kd,5800,5.24,4268.9,0.00017
72,3cj4,Kd,310,6.51,4828.23,0.00323
73,4eo8,Kd,7,8.15,5407.31,0.14286
74,3gnw,Kd,0.79,9.10,5691.47,1.26582
75,1gpk,Ki,4300,5.37,4332.07,0.00023
76,1gpn,Ki,334,6.48,4816.33,0.00299
77,1h23,Ki,4.5,8.35,5469.79,0.22222
78,1h22,Ki,0.8,9.10,5691.47,1.25
79,1e66,Ki,0.13,9.89,5906.04,7.69231
80,3f3a,Ki,64800,4.19,3692.56,2e-05
81,3f3c,Ki,950,6.02,4626.55,0.00105
82,4mme,Kd,318,6.50,4824.27,0.00314
83,3f3d,Kd,69,7.16,5073.52,0.01449
84,3f3e,Kd,20,7.70,5260.92,0.05
85,2wbg,Ki,35200,4.45,3847.72,3e-05
86,2cbv,Kd,3300,5.48,4384.33,0.0003
87,2j78,Kd,384,6.42,4792.35,0.0026
88,2j7h,Kd,65,7.19,5084.3,0.01538
89,2cet,Kd,9.6,8.02,5365.86,0.10417
90,3udh,Kd,1400000,2.85,2699.3,0.0
91,3rsx,Kd,38800,4.41,3824.45,3e-05
92,4djv,Ki,190,6.72,4910.06,0.00526
93,2vkm,Ki,1.8,8.74,5587.44,0.55556
94,4gid,Ki,0.017,10.77,6125.73,58.82353
95,4jfs,Ki,5400,5.27,4283.62,0.00019
96,4j28,Ki,2000,5.70,4485.77,0.0005
97,2wvt,Kd,755,6.12,4669.01,0.00132
98,2xii,Kd,63.3,7.20,5087.88,0.0158
99,4pcs,Ki,14,7.85,5310.64,0.07143
100,3rr4,Ki,28050,4.55,3905.0,4e-05
101,1s38,Ki,7000,5.15,4224.25,0.00014
102,1r5y,Ki,350,6.46,4808.36,0.00286
103,3gc5,Ki,55,7.26,5109.27,0.01818
104,3ge7,Ki,2,8.70,5575.62,0.5
105,4dli,Kd,2400,5.62,4449.34,0.00042
106,2zb1,Kd,480,6.32,4751.89,0.00208
107,4f9w,Ki,114,6.94,4993.09,0.00877
108,3e92,Ki,10,8.00,5359.43,0.1
109,3e93,Ki,1.4,8.85,5619.68,0.71429
110,4owm,Ki,1090000,2.96,2796.9,0.0
111,3twp,Ki,119000,3.92,3520.88,1e-05
112,3r88,Ki,15000,4.82,4053.57,7e-05
113,4gkm,Ki,6800,5.17,4234.24,0.00015
114,3qqs,Ki,1500,5.82,4539.47,0.00067
