Unnamed: 0,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
10,4m0z,Kd,6400.0,5.19,4244.19,0.00016
11,4m0y,Kd,350.0,6.46,4808.36,0.00286
12,3qgy,Ki,16.0,7.8,5294.18,0.0625
13,4qd6,Ki,2.3,8.64,5557.78,0.43478
14,4rfm,Ki,0.09,10.05,5947.4,11.11111
26,3jya,Ki,130.0,6.89,4974.45,0.00769
27,2c3i,Kd,25.0,7.6,5227.23,0.04
28,4k18,Ki,1.1,8.96,5651.51,0.90909
29,5dwr,Ki,0.006,11.22,6231.23,166.66667
30,3mss,Kd,22000.0,4.66,3966.57,5e-05
31,3k5v,Kd,500.0,6.3,4743.72,0.002
32,3pyy,Kd,137.0,6.86,4963.2,0.0073
33,2v7a,Kd,5.0,8.3,5454.31,0.2
34,4twp,Ki,0.1,10.0,5934.54,10.0
55,3l7b,Ki,4010000.0,2.4,2256.38,0.0
56,4eky,Ki,303000.0,3.52,3243.48,0.0
57,3g2n,Ki,81000.0,4.09,3630.3,1e-05
58,3syr,Ki,7900.0,5.1,4199.11,0.00013
59,3ebp,Ki,1240.0,5.91,4579.02,0.00081
70,4ih5,Kd,78000.0,4.11,3642.87,1e-05
71,4ih7,Kd,5800.0,5.24,4268.9,0.00017
72,3cj4,Kd,310.0,6.51,4828.23,0.00323
73,4eo8,Kd,7.0,8.15,5407.31,0.14286
74,3gnw,Kd,0.79,9.1,5691.47,1.26582
100,3rr4,Ki,28050.0,4.55,3905.0,4e-05
101,1s38,Ki,7000.0,5.15,4224.25,0.00014
102,1r5y,Ki,350.0,6.46,4808.36,0.00286
103,3gc5,Ki,55.0,7.26,5109.27,0.01818
104,3ge7,Ki,2.0,8.7,5575.62,0.5
105,4dli,Kd,2400.0,5.62,4449.34,0.00042
107,4f9w,Ki,114.0,6.94,4993.09,0.00877
108,3e92,Ki,10.0,8.0,5359.43,0.1
109,3e93,Ki,1.4,8.85,5619.68,0.71429
110,4owm,Ki,1090000.0,2.96,2796.9,0.0
111,3twp,Ki,119000.0,3.92,3520.88,1e-05
112,3r88,Ki,15000.0,4.82,4053.57,7e-05
113,4gkm,Ki,6800.0,5.17,4234.24,0.00015
114,3qqs,Ki,1500.0,5.82,4539.47,0.00067
125,1q8t,Kd,17500.0,4.76,4021.29,6e-05
126,1ydr,Ki,3000.0,5.52,4403.07,0.00033
127,1q8u,Kd,1100.0,5.96,4600.73,0.00091
128,1ydt,Ki,48.0,7.32,5130.48,0.02083
129,3ag9,Ki,9.0,8.05,5375.49,0.11111
140,3pxf,Kd,37000.0,4.43,3836.11,3e-05
141,4eor,Ki,500.0,6.3,4743.72,0.002
142,2xnb,Ki,149.0,6.83,4951.91,0.00671
143,1pxn,Ki,70.0,7.15,5069.92,0.01429
144,2fvd,Ki,3.0,8.52,5521.74,0.33333
145,4k77,Ki,235.0,6.63,4875.31,0.00426
146,4e5w,Ki,22.0,7.66,5247.5,0.04545
147,4ivb,Ki,1.9,8.72,5581.54,0.52632
148,4ivd,Ki,0.3,9.52,5807.76,3.33333
149,4ivc,Ki,0.1,10.0,5934.54,10.0
150,4f09,Ki,200.0,6.7,4902.38,0.005
151,4gfm,Ki,60.0,7.22,5095.03,0.01667
152,4hge,Ki,11.9,7.92,5333.52,0.08403
153,4e6q,Ki,4.4,8.36,5472.87,0.22727
154,4jia,Ki,0.6,9.22,5725.24,1.66667
155,2brb,Ki,13700.0,4.86,4074.87,7e-05
156,2br1,Ki,7200.0,5.14,4219.24,0.00014
157,3jvr,Ki,1890.0,5.72,4494.8,0.00053
158,3jvs,Kd,290.0,6.54,4840.08,0.00345
159,1nvq,Ki,5.6,8.25,5438.74,0.17857
160,3acw,Ki,17500.0,4.76,4021.29,6e-05
161,4ea2,Ki,360.0,6.44,4800.37,0.00278
163,2zy1,Ki,40.0,7.4,5158.49,0.025
175,3uo4,Kd,299.0,6.52,4832.19,0.00334
176,3up2,Kd,40.0,7.4,5158.49,0.025
177,3e5a,Ki,5.9,8.23,5432.48,0.16949
178,2wtv,Ki,1.8,8.74,5587.44,0.55556
179,3myg,Kd,0.02,10.7,6108.92,50.0
240,4kzq,Kd,788.0,6.1,4660.57,0.00127
241,4kzu,Ki,313.0,6.5,4824.27,0.00319
242,4j21,Kd,39.0,7.41,5161.98,0.02564
243,4j3l,Kd,16.0,7.8,5294.18,0.0625
244,3kr8,Kd,8.0,8.1,5391.44,0.125
250,3ozt,Ki,74900.0,4.13,3655.38,1e-05
251,3ozs,Ki,4645.0,5.33,4312.8,0.00022
252,3oe5,Ki,132.0,6.88,4970.71,0.00758
253,3oe4,Ki,34.0,7.47,5182.76,0.02941
254,3nw9,Ki,1.0,9.0,5662.99,1.0
256,3zt2,Kd,1435000.0,2.84,2690.24,0.0
257,3zsx,Kd,519000.0,3.28,3061.48,0.0
258,4cig,Kd,214000.0,3.67,3351.04,0.0
259,3zso,Kd,7600.0,5.12,4209.19,0.00013
