Unnamed: 0,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,4llx,Ki,1300000.0,2.89,2735.22,0.0
1,5c28,Ki,2200.0,5.66,4467.62,0.00045
3,3ui7,Ki,1.0,9.0,5662.99,1.0
4,5c2h,Ki,0.0082,11.09,6201.19,121.95122
5,2v00,Kd,220000.0,3.66,3344.0,0.0
6,3wz8,Ki,1500.0,5.82,4539.47,0.00067
7,3pww,Ki,48.0,7.32,5130.48,0.02083
8,3prs,Ki,15.0,7.82,5300.78,0.06667
9,3uri,Ki,1.0,9.0,5662.99,1.0
15,4cr9,Ki,80000.0,4.1,3636.59,1e-05
16,4cra,Ki,60.0,7.22,5095.03,0.01667
17,4x6p,Ki,5.0,8.3,5454.31,0.2
18,4crc,Ki,1.0,8.72,5581.54,1.0
19,4ty7,Ki,0.3,9.52,5807.76,3.33333
40,1a30,Ki,50000.0,4.3,3759.35,2e-05
42,1g2k,Ki,11.0,7.96,5346.51,0.09091
43,1eby,Ki,0.2,9.7,5856.04,5.0
44,3o9i,Ki,0.0015,11.82,6365.5,666.66667
50,1ps3,Ki,5200000.0,2.28,2124.18,0.0
51,3dx1,Ki,265000.0,3.58,3287.04,0.0
52,3d4z,Ki,13000.0,4.89,4090.73,8e-05
53,3dx2,Ki,150.0,6.82,4948.13,0.00667
54,3ejr,Ki,2.7,8.57,5536.82,0.37037
60,2w66,Ki,89000.0,4.05,3604.97,1e-05
61,2w4x,Kd,14000.0,4.85,4069.56,7e-05
62,2wca,Ki,2500.0,5.6,4440.16,0.0004
63,2xj7,Ki,220.0,6.66,4886.94,0.00455
64,2vvn,Kd,50.0,7.3,5123.43,0.02
65,3aru,Kd,600000.0,3.22,3013.89,0.0
66,3arv,Kd,2300.0,5.64,4458.5,0.00043
67,3ary,Kd,1000.0,6.0,4617.97,0.001
68,3arq,Kd,400.0,6.4,4784.31,0.0025
69,3arp,Kd,70.0,7.15,5069.92,0.01429
75,1gpk,Ki,4300.0,5.37,4332.07,0.00023
76,1gpn,Ki,334.0,6.48,4816.33,0.00299
77,1h23,Ki,4.5,8.35,5469.79,0.22222
78,1h22,Ki,0.8,9.1,5691.47,1.25
79,1e66,Ki,0.13,9.89,5906.04,7.69231
