,PDB code,EC number,Class,Subclass,Subsubclass
158,1bq3,E.C.5.4.2.1,5,4,2
159,1bq4,E.C.5.4.2.1,5,4,2
532,1gsz,E.C.5.4.99.0,5,4,99
571,1h35,E.C.5.4.99.0,5,4,99
572,1h36,E.C.5.4.99.0,5,4,99
573,1h37,E.C.5.4.99.0,5,4,99
574,1h39,E.C.5.4.99.0,5,4,99
575,1h3a,E.C.5.4.99.0,5,4,99
576,1h3b,E.C.5.4.99.0,5,4,99
577,1h3c,E.C.5.4.99.0,5,4,99
900,1m1b,E.C.5.4.2.9,5,4,2
1133,1o6h,E.C.5.4.99.0,5,4,99
1135,1o6q,E.C.5.4.99.0,5,4,99
1136,1o6r,E.C.5.4.99.0,5,4,99
1137,1o79,E.C.5.4.99.0,5,4,99
1472,1sqc,E.C.5.4.99.0,5,4,99
1717,1w6j,E.C.5.4.99.7,5,4,99
1918,1z4n,E.C.5.4.2.6,5,4,2
1919,1z4o,E.C.5.4.2.6,5,4,2
2205,2cht,E.C.5.4.99.5,5,4,99
2233,2csm,E.C.5.4.99.5,5,4,99
2348,2fkf,E.C.5.4.2.8,5,4,2
2446,2gtv,E.C.5.4.99.5,5,4,99
2475,2h5a,E.C.5.4.2.8,5,4,2
2911,2pwd,E.C.5.4.99.11,5,4,99
2912,2pwg,E.C.5.4.99.11,5,4,99
3014,2qve,E.C.5.4.3.6,5,4,3
3066,2rjr,E.C.5.4.3.6,5,4,3
3067,2rjs,E.C.5.4.3.6,5,4,3
3293,2wf5,E.C.5.4.2.6,5,4,2
4290,3fq7,E.C.5.4.3.8,5,4,3
4291,3fqa,E.C.5.4.3.8,5,4,3
4393,3gbe,E.C.5.4.99.11,5,4,99
4614,3if7,E.C.5.4.4.2,5,4,4
