,PDB code,EC number,Class,Subclass,Subsubclass
67,1amk,E.C.5.3.1.1,5,3,1
85,1aw1,E.C.5.3.1.1,5,3,1
482,1g98,E.C.5.3.1.9,5,3,1
549,1gzv,E.C.5.3.1.9,5,3,1
629,1hti,E.C.5.3.1.1,5,3,1
688,1iig,E.C.5.3.1.1,5,3,1
689,1iih,E.C.5.3.1.1,5,3,1
819,1koj,E.C.5.3.1.9,5,3,1
831,1kv5,E.C.5.3.1.1,5,3,1
893,1lyx,E.C.5.3.1.1,5,3,1
894,1lzo,E.C.5.3.1.1,5,3,1
928,1ml1,E.C.5.3.1.1,5,3,1
1140,1o8b,E.C.5.3.1.6,5,3,1
1546,1tpw,E.C.5.3.1.1,5,3,1
1548,1trd,E.C.5.3.1.1,5,3,1
1549,1tsi,E.C.5.3.1.1,5,3,1
1566,1u0g,E.C.5.3.1.9,5,3,1
1587,1uj5,E.C.5.3.1.6,5,3,1
1588,1uj6,E.C.5.3.1.6,5,3,1
2099,2bes,E.C.5.3.1.6,5,3,1
2100,2bet,E.C.5.3.1.6,5,3,1
2608,2j27,E.C.5.3.1.1,5,3,1
3117,2v2c,E.C.5.3.1.1,5,3,1
3201,2vvo,E.C.5.3.1.6,5,3,1
3220,2vxn,E.C.5.3.1.1,5,3,1
3614,2ypi,E.C.5.3.1.1,5,3,1
4739,3k8c,E.C.5.3.1.6,5,3,1
5800,3tao,E.C.5.3.1.1,5,3,1
6469,4bi6,E.C.5.3.1.1,5,3,1
6470,4bi7,E.C.5.3.1.1,5,3,1
8447,4tim,E.C.5.3.1.1,5,3,1
10261,5nw7,E.C.5.3.1.8,5,3,1
10806,6tim,E.C.5.3.1.1,5,3,1
