,PDB code,EC number,Class,Subclass,Subsubclass
0,10gs,E.C.2.5.1.18,2,5,1
1,11gs,E.C.2.5.1.18,2,5,1
2,13gs,E.C.2.5.1.18,2,5,1
3,16pk,E.C.2.7.2.3,2,7,2
9,1a07,E.C.2.7.1.112,2,7,1
10,1a08,E.C.2.7.1.112,2,7,1
11,1a09,E.C.2.7.1.112,2,7,1
12,1a1b,E.C.2.7.1.112,2,7,1
13,1a1c,E.C.2.7.1.112,2,7,1
14,1a1e,E.C.2.7.1.112,2,7,1
27,1a5v,E.C.2.7.7.49,2,7,7
29,1a69,E.C.2.4.2.1,2,4,2
34,1a8i,E.C.2.4.1.1,2,4,1
38,1a9q,E.C.2.4.2.1,2,4,2
39,1a9u,E.C.2.7.1.0,2,7,1
49,1agw,E.C.2.7.1.112,2,7,1
51,1ahx,E.C.2.6.1.1,2,6,1
52,1ahy,E.C.2.6.1.1,2,6,1
69,1ao0,E.C.2.4.2.14,2,4,2
73,1aq1,E.C.2.7.1.37,2,7,1
75,1aqi,E.C.2.1.1.72,2,1,1
76,1aqj,E.C.2.1.1.72,2,1,1
88,1axr,E.C.2.4.1.1,2,4,1
91,1azg,E.C.2.7.1.112,2,7,1
97,1b38,E.C.2.7.1.37,2,7,1
98,1b39,E.C.2.7.1.37,2,7,1
99,1b42,E.C.2.7.7.19,2,7,7
100,1b4d,E.C.2.4.1.1,2,4,1
101,1b55,E.C.2.7.1.112,2,7,1
110,1b8n,E.C.2.4.2.1,2,4,2
111,1b8o,E.C.2.4.2.1,2,4,2
124,1bhf,E.C.2.7.1.112,2,7,1
135,1bkm,E.C.2.7.1.112,2,7,1
136,1bky,E.C.2.7.7.19,2,7,7
138,1bl6,E.C.2.7.1.0,2,7,1
139,1bl7,E.C.2.7.1.0,2,7,1
142,1bmk,E.C.2.7.1.0,2,7,1
156,1bo5,E.C.2.7.1.30,2,7,1
157,1bp0,E.C.2.1.1.45,2,1,1
160,1bqm,E.C.2.7.7.49,2,7,7
161,1bqn,E.C.2.7.7.49,2,7,7
169,1bux,E.C.2.7.4.6,2,7,4
174,1bwn,E.C.2.7.1.112,2,7,1
183,1bzy,E.C.2.4.2.8,2,4,2
188,1c2t,E.C.2.1.2.2,2,1,2
190,1c3e,E.C.2.1.2.2,2,1,2
195,1c50,E.C.2.4.1.1,2,4,1
214,1c8k,E.C.2.4.1.1,2,4,1
215,1c8l,E.C.2.4.1.1,2,4,1
228,1ci7,E.C.2.1.1.45,2,1,1
249,1czc,E.C.2.6.1.1,2,6,1
250,1cze,E.C.2.6.1.1,2,6,1
251,1d09,E.C.2.1.3.2,2,1,3
267,1d6n,E.C.2.4.2.8,2,4,2
273,1d8e,E.C.2.5.1.21,2,5,1
280,1dfo,E.C.2.1.2.1,2,1,2
282,1dgm,E.C.2.7.1.20,2,7,1
285,1di8,E.C.2.7.1.37,2,7,1
286,1di9,E.C.2.7.1.0,2,7,1
289,1dm2,E.C.2.7.1.37,2,7,1
293,1dqn,E.C.2.4.2.8,2,4,2
297,1dtq,E.C.2.7.7.49,2,7,7
298,1dtt,E.C.2.7.7.49,2,7,7
301,1duv,E.C.2.1.3.3,2,1,3
308,1e1v,E.C.2.7.1.37,2,7,1
309,1e1x,E.C.2.7.1.37,2,7,1
310,1e1y,E.C.2.4.1.1,2,4,1
311,1e2k,E.C.2.7.1.21,2,7,1
312,1e2l,E.C.2.7.1.21,2,7,1
324,1e9h,E.C.2.7.1.37,2,7,1
341,1efy,E.C.2.4.2.30,2,4,2
354,1em6,E.C.2.4.1.1,2,4,1
356,1enu,E.C.2.4.2.29,2,4,2
372,1ex8,E.C.2.7.6.3,2,7,6
373,1exv,E.C.2.4.1.1,2,4,1
375,1ezf,E.C.2.5.1.21,2,5,1
377,1f0q,E.C.2.7.1.37,2,7,1
383,1f28,E.C.2.1.1.45,2,1,1
386,1f3e,E.C.2.4.2.29,2,4,2
389,1f4e,E.C.2.1.1.45,2,1,1
390,1f4f,E.C.2.1.1.45,2,1,1
391,1f4g,E.C.2.1.1.45,2,1,1
407,1fgi,E.C.2.7.1.112,2,7,1
412,1fhr,E.C.2.7.1.0,2,7,1
414,1fj4,E.C.2.3.1.41,2,3,1
429,1fpp,E.C.2.5.1.0,2,5,1
436,1fsg,E.C.2.4.2.8,2,4,2
443,1fvt,E.C.2.7.1.37,2,7,1
444,1fvv,E.C.2.7.1.37,2,7,1
453,1g2o,E.C.2.4.2.1,2,4,2
463,1g3m,E.C.2.8.2.4,2,8,2
476,1g5s,E.C.2.7.1.37,2,7,1
477,1g6g,E.C.2.7.11.1,2,7,11
478,1g6s,E.C.2.5.1.19,2,5,1
487,1g9r,E.C.2.4.1.0,2,4,1
488,1g9s,E.C.2.4.2.8,2,4,2
489,1g9t,E.C.2.4.2.8,2,4,2
490,1ga8,E.C.2.4.1.44,2,4,1
492,1gag,E.C.2.7.1.112,2,7,1
495,1gar,E.C.2.1.2.2,2,1,2
499,1gfz,E.C.2.4.1.1,2,4,1
501,1ggn,E.C.2.4.1.1,2,4,1
528,1gpy,E.C.2.4.1.1,2,4,1
531,1gsf,E.C.2.5.1.18,2,5,1
539,1gwv,E.C.2.4.1.151,2,4,1
540,1gww,E.C.2.4.1.151,2,4,1
541,1gx0,E.C.2.4.1.151,2,4,1
542,1gx4,E.C.2.4.1.151,2,4,1
550,1h00,E.C.2.7.1.37,2,7,1
551,1h01,E.C.2.7.1.37,2,7,1
552,1h07,E.C.2.7.1.37,2,7,1
553,1h08,E.C.2.7.1.37,2,7,1
555,1h0w,E.C.2.7.1.37,2,7,1
557,1h1d,E.C.2.1.1.6,2,1,1
559,1h1p,E.C.2.7.1.37,2,7,1
560,1h1q,E.C.2.7.1.37,2,7,1
561,1h1r,E.C.2.7.1.37,2,7,1
562,1h1s,E.C.2.7.1.37,2,7,1
565,1h24,E.C.2.7.1.37,2,7,1
566,1h25,E.C.2.7.1.-,2,7,1
567,1h26,E.C.2.7.1.-,2,7,1
568,1h27,E.C.2.7.1.-,2,7,1
569,1h28,E.C.2.7.1.-,2,7,1
581,1h5u,E.C.2.4.1.1,2,4,1
603,1hiy,E.C.2.7.4.6,2,7,4
607,1hlf,E.C.2.4.1.1,2,4,1
610,1hnn,E.C.2.1.1.28,2,1,1
639,1hvy,E.C.2.1.1.45,2,1,1
647,1hyv,E.C.2.7.7.49,2,7,7
648,1hyz,E.C.2.7.7.49,2,7,7
649,1i00,E.C.2.1.1.45,2,1,1
657,1i5d,E.C.2.7.3.0,2,7,3
659,1i6v,E.C.2.7.7.6,2,7,7
663,1i80,E.C.2.4.2.1,2,4,2
681,1iep,E.C.2.7.1.112,2,7,1
691,1ijr,E.C.2.7.1.112,2,7,1
694,1ikv,E.C.2.7.7.49,2,7,7
695,1ikw,E.C.2.7.7.49,2,7,7
696,1ikx,E.C.2.7.7.49,2,7,7
697,1iky,E.C.2.7.7.49,2,7,7
706,1is0,E.C.2.7.1.112,2,7,1
711,1iyl,E.C.2.3.1.97,2,3,1
723,1j4k,E.C.2.7.1.0,2,7,1
724,1j4p,E.C.2.7.1.0,2,7,1
725,1j4q,E.C.2.7.1.0,2,7,1
737,1jg0,E.C.2.1.1.45,2,1,1
750,1jlq,E.C.2.7.7.49,2,7,7
751,1jlr,E.C.2.4.2.9,2,4,2
752,1jm4,E.C.2.3.1.48,2,3,1
753,1jmf,E.C.2.1.1.45,2,1,1
754,1jmg,E.C.2.1.1.45,2,1,1
755,1jmi,E.C.2.1.1.45,2,1,1
758,1jq3,E.C.2.5.1.16,2,5,1
761,1jqd,E.C.2.1.1.8,2,1,1
762,1jqe,E.C.2.1.1.8,2,1,1
765,1jsv,E.C.2.7.1.37,2,7,1
767,1jtq,E.C.2.1.1.45,2,1,1
768,1juj,E.C.2.1.1.45,2,1,1
769,1jut,E.C.2.1.1.45,2,1,1
771,1jvp,E.C.2.7.1.37,2,7,1
777,1k06,E.C.2.4.1.1,2,4,1
778,1k08,E.C.2.4.1.1,2,4,1
786,1k1y,E.C.2.4.1.25,2,4,1
789,1k27,E.C.2.4.2.28,2,4,2
791,1k3n,E.C.2.7.11.1,2,7,11
792,1k3q,E.C.2.7.11.1,2,7,11
794,1k4g,E.C.2.4.2.29,2,4,2
795,1k4h,E.C.2.4.2.29,2,4,2
800,1k9s,E.C.2.4.2.1,2,4,2
803,1kc7,E.C.2.7.9.1,2,7,9
808,1ke5,E.C.2.7.1.37,2,7,1
809,1ke6,E.C.2.7.1.37,2,7,1
810,1ke7,E.C.2.7.1.37,2,7,1
811,1ke8,E.C.2.7.1.37,2,7,1
812,1ke9,E.C.2.7.1.37,2,7,1
813,1kf0,E.C.2.7.2.3,2,7,2
824,1kti,E.C.2.4.1.1,2,4,1
829,1kv1,E.C.2.7.1.37,2,7,1
830,1kv2,E.C.2.7.1.0,2,7,1
836,1kyv,E.C.2.5.1.9,2,5,1
841,1l5q,E.C.2.4.1.1,2,4,1
842,1l5r,E.C.2.4.1.1,2,4,1
843,1l5s,E.C.2.4.1.1,2,4,1
846,1l7x,E.C.2.4.1.1,2,4,1
851,1lbk,E.C.2.5.1.18,2,5,1
852,1lcj,E.C.2.7.1.112,2,7,1
854,1ld7,E.C.2.5.1.0,2,5,1
855,1ld8,E.C.2.5.1.0,2,5,1
871,1lkk,E.C.2.7.1.112,2,7,1
872,1lkl,E.C.2.7.1.112,2,7,1
889,1lv8,E.C.2.4.2.1,2,4,2
891,1lvu,E.C.2.4.2.1,2,4,2
902,1m2p,E.C.2.7.1.37,2,7,1
903,1m2q,E.C.2.7.1.37,2,7,1
904,1m2r,E.C.2.7.1.37,2,7,1
908,1m7q,E.C.2.7.1.37,2,7,1
911,1m9n,E.C.2.1.2.3,2,1,2
932,1mn9,E.C.2.7.4.6,2,7,4
935,1moq,E.C.2.6.1.16,2,6,1
939,1mrn,E.C.2.7.4.9,2,7,4
940,1mrs,E.C.2.7.4.9,2,7,4
947,1mto,E.C.2.7.1.11,2,7,1
953,1mwt,E.C.2.4.1.129,2,4,1
957,1mzc,E.C.2.5.1.0,2,5,1
958,1mzs,E.C.2.3.1.41,2,3,1
963,1n2v,E.C.2.4.2.29,2,4,2
964,1n3i,E.C.2.4.2.1,2,4,2
968,1n7i,E.C.2.1.1.28,2,1,1
969,1n7j,E.C.2.1.1.28,2,1,1
970,1n94,E.C.2.5.1.0,2,5,1
971,1n95,E.C.2.5.1.0,2,5,1
972,1n9a,E.C.2.5.1.0,2,5,1
989,1nhu,E.C.2.7.7.48,2,7,7
990,1nhv,E.C.2.7.7.48,2,7,7
993,1ni1,E.C.2.5.1.0,2,5,1
996,1nja,E.C.2.1.1.45,2,1,1
997,1njb,E.C.2.1.1.45,2,1,1
998,1njc,E.C.2.1.1.45,2,1,1
999,1njd,E.C.2.1.1.45,2,1,1
1000,1nje,E.C.2.1.1.45,2,1,1
1001,1njf,E.C.2.7.7.7,2,7,7
1003,1njs,E.C.2.1.2.2,2,1,2
1006,1nki,E.C.2.5.1.18,2,5,1
1008,1nl4,E.C.2.5.1.0,2,5,1
1013,1nlo,E.C.2.7.1.112,2,7,1
1014,1nlp,E.C.2.7.1.112,2,7,1
1023,1noi,E.C.2.4.1.1,2,4,1
1024,1noj,E.C.2.4.1.1,2,4,1
1025,1nok,E.C.2.4.1.1,2,4,1
1038,1nvq,E.C.2.7.1.37,2,7,1
1039,1nvr,E.C.2.7.1.37,2,7,1
1040,1nvs,E.C.2.7.1.37,2,7,1
1041,1nw4,E.C.2.4.2.1,2,4,2
1042,1nw5,E.C.2.1.1.72,2,1,1
1043,1nw7,E.C.2.1.1.72,2,1,1
1051,1nzl,E.C.2.7.1.112,2,7,1
1053,1nzv,E.C.2.7.1.112,2,7,1
1060,1o1s,E.C.2.5.1.0,2,5,1
1099,1o41,E.C.2.7.1.112,2,7,1
1100,1o42,E.C.2.7.1.112,2,7,1
1101,1o43,E.C.2.7.1.112,2,7,1
1102,1o44,E.C.2.7.1.112,2,7,1
1103,1o45,E.C.2.7.1.112,2,7,1
1104,1o46,E.C.2.7.1.112,2,7,1
1105,1o47,E.C.2.7.1.112,2,7,1
1106,1o48,E.C.2.7.1.112,2,7,1
1107,1o49,E.C.2.7.1.112,2,7,1
1108,1o4a,E.C.2.7.1.112,2,7,1
1109,1o4b,E.C.2.7.1.112,2,7,1
1110,1o4d,E.C.2.7.1.112,2,7,1
1111,1o4e,E.C.2.7.1.112,2,7,1
1112,1o4f,E.C.2.7.1.112,2,7,1
1113,1o4g,E.C.2.7.1.112,2,7,1
1114,1o4h,E.C.2.7.1.112,2,7,1
1115,1o4i,E.C.2.7.1.112,2,7,1
1116,1o4j,E.C.2.7.1.112,2,7,1
1117,1o4k,E.C.2.7.1.112,2,7,1
1118,1o4l,E.C.2.7.1.112,2,7,1
1119,1o4m,E.C.2.7.1.112,2,7,1
1120,1o4n,E.C.2.7.1.112,2,7,1
1121,1o4o,E.C.2.7.1.112,2,7,1
1122,1o4p,E.C.2.7.1.112,2,7,1
1123,1o4q,E.C.2.7.1.112,2,7,1
1124,1o4r,E.C.2.7.1.112,2,7,1
1131,1o5m,E.C.2.5.1.0,2,5,1
1138,1o7o,E.C.2.4.1.151,2,4,1
1145,1odi,E.C.2.4.2.28,2,4,2
1146,1odj,E.C.2.4.2.28,2,4,2
1148,1oe0,E.C.2.7.1.145,2,7,1
1149,1oe7,E.C.2.5.1.18,2,5,1
1150,1oe8,E.C.2.5.1.18,2,5,1
1152,1ogu,E.C.2.7.1.37,2,7,1
