,PDB code,EC number,Class,Subclass,Subsubclass
34,1a8i,E.C.2.4.1.1,2,4,1
88,1axr,E.C.2.4.1.1,2,4,1
100,1b4d,E.C.2.4.1.1,2,4,1
195,1c50,E.C.2.4.1.1,2,4,1
214,1c8k,E.C.2.4.1.1,2,4,1
215,1c8l,E.C.2.4.1.1,2,4,1
310,1e1y,E.C.2.4.1.1,2,4,1
354,1em6,E.C.2.4.1.1,2,4,1
373,1exv,E.C.2.4.1.1,2,4,1
487,1g9r,E.C.2.4.1.0,2,4,1
490,1ga8,E.C.2.4.1.44,2,4,1
499,1gfz,E.C.2.4.1.1,2,4,1
501,1ggn,E.C.2.4.1.1,2,4,1
528,1gpy,E.C.2.4.1.1,2,4,1
539,1gwv,E.C.2.4.1.151,2,4,1
540,1gww,E.C.2.4.1.151,2,4,1
541,1gx0,E.C.2.4.1.151,2,4,1
542,1gx4,E.C.2.4.1.151,2,4,1
581,1h5u,E.C.2.4.1.1,2,4,1
607,1hlf,E.C.2.4.1.1,2,4,1
777,1k06,E.C.2.4.1.1,2,4,1
778,1k08,E.C.2.4.1.1,2,4,1
786,1k1y,E.C.2.4.1.25,2,4,1
824,1kti,E.C.2.4.1.1,2,4,1
841,1l5q,E.C.2.4.1.1,2,4,1
842,1l5r,E.C.2.4.1.1,2,4,1
843,1l5s,E.C.2.4.1.1,2,4,1
846,1l7x,E.C.2.4.1.1,2,4,1
953,1mwt,E.C.2.4.1.129,2,4,1
1023,1noi,E.C.2.4.1.1,2,4,1
1024,1noj,E.C.2.4.1.1,2,4,1
1025,1nok,E.C.2.4.1.1,2,4,1
1138,1o7o,E.C.2.4.1.151,2,4,1
1219,1p2g,E.C.2.4.1.1,2,4,1
1287,1pyg,E.C.2.4.1.1,2,4,1
1356,1qm5,E.C.2.4.1.1,2,4,1
1592,1ukt,E.C.2.4.1.19,2,4,1
1926,1z6p,E.C.2.4.1.1,2,4,1
1927,1z6q,E.C.2.4.1.1,2,4,1
2020,2am4,E.C.2.4.1.101,2,4,1
2022,2amv,E.C.2.4.1.1,2,4,1
2110,2bo4,E.C.2.4.1.0,2,4,1
2399,2g9q,E.C.2.4.1.1,2,4,1
2400,2g9r,E.C.2.4.1.1,2,4,1
2401,2g9u,E.C.2.4.1.1,2,4,1
2402,2g9v,E.C.2.4.1.1,2,4,1
2426,2gj4,E.C.2.4.1.1,2,4,1
2431,2gm9,E.C.2.4.1.1,2,4,1
2606,2iyf,E.C.2.4.1.-,2,4,1
2762,2off,E.C.2.4.1.1,2,4,1
2896,2pri,E.C.2.4.1.1,2,4,1
2897,2prj,E.C.2.4.1.1,2,4,1
2914,2pyi,E.C.2.4.1.1,2,4,1
2976,2qlm,E.C.2.4.1.1,2,4,1
2977,2qln,E.C.2.4.1.1,2,4,1
2981,2qn1,E.C.2.4.1.1,2,4,1
2982,2qn2,E.C.2.4.1.1,2,4,1
2983,2qn3,E.C.2.4.1.1,2,4,1
2984,2qnb,E.C.2.4.1.1,2,4,1
2996,2qrg,E.C.2.4.1.1,2,4,1
2997,2qrh,E.C.2.4.1.1,2,4,1
3000,2qrm,E.C.2.4.1.1,2,4,1
3001,2qrp,E.C.2.4.1.1,2,4,1
3002,2qrq,E.C.2.4.1.1,2,4,1
3145,2vfz,E.C.2.4.1.151,2,4,1
3338,2wtx,E.C.2.4.1.15,2,4,1
3515,2y2h,E.C.2.4.1.129,2,4,1
3516,2y2i,E.C.2.4.1.129,2,4,1
3517,2y2j,E.C.2.4.1.129,2,4,1
3518,2y2k,E.C.2.4.1.129,2,4,1
3519,2y2n,E.C.2.4.1.129,2,4,1
3520,2y2p,E.C.2.4.1.129,2,4,1
3524,2y4k,E.C.2.4.1.217,2,4,1
3525,2y4l,E.C.2.4.1.217,2,4,1
3526,2y4m,E.C.2.4.1.217,2,4,1
3729,3amv,E.C.2.4.1.1,2,4,1
3805,3bcs,E.C.2.4.1.1,2,4,1
4131,3ebo,E.C.2.4.1.1,2,4,1
4132,3ebp,E.C.2.4.1.1,2,4,1
4352,3g2h,E.C.2.4.1.1,2,4,1
4353,3g2i,E.C.2.4.1.1,2,4,1
4354,3g2j,E.C.2.4.1.1,2,4,1
4355,3g2k,E.C.2.4.1.1,2,4,1
4356,3g2l,E.C.2.4.1.1,2,4,1
4357,3g2n,E.C.2.4.1.1,2,4,1
4650,3ioi,E.C.2.4.1.40,2,4,1
4864,3l79,E.C.2.4.1.1,2,4,1
