,PDB code,EC number,Class,Subclass,Subsubclass
936,1mpl,E.C.3.4.16.4,3,4,16
1752,1wht,E.C.3.4.16.6,3,4,16
1924,1z6f,E.C.3.4.16.4,3,4,16
3418,2xdm,E.C.3.4.16.4,3,4,16
3442,2xk1,E.C.3.4.16.4,3,4,16
3454,2xln,E.C.3.4.16.4,3,4,16
3523,2y4a,E.C.3.4.16.4,3,4,16
3527,2y55,E.C.3.4.16.4,3,4,16
3528,2y59,E.C.3.4.16.4,3,4,16
6161,3zcz,E.C.3.4.16.4,3,4,16
6221,3zvt,E.C.3.4.16.4,3,4,16
6223,3zvw,E.C.3.4.16.4,3,4,16
6362,4az0,E.C.3.4.16.5,3,4,16
6364,4az3,E.C.3.4.16.5,3,4,16
6598,4cjn,E.C.3.4.16.4,3,4,16
9879,5j8x,E.C.3.4.16.4,3,4,16
11100,6g9s,E.C.3.4.16.4,3,4,16
11101,6g9f,E.C.3.4.16.4,3,4,16
11399,6un1,E.C.3.4.16.4,3,4,16
11400,6un3,E.C.3.4.16.4,3,4,16
