,PDB code,EC number,Class,Subclass,Subsubclass
239,1cr6,E.C.3.3.2.3,3,3,2
345,1ek1,E.C.3.3.2.3,3,3,2
346,1ek2,E.C.3.3.2.3,3,3,2
623,1hs6,E.C.3.3.2.6,3,3,2
981,1nf8,E.C.3.3.2.1,3,3,2
1036,1nu3,E.C.3.3.2.8,3,3,2
1668,1vj5,E.C.3.3.2.3,3,3,2
1935,1zd2,E.C.3.3.2.3,3,3,2
1936,1zd3,E.C.3.3.2.3,3,3,2
1937,1zd4,E.C.3.3.2.3,3,3,2
1938,1zd5,E.C.3.3.2.3,3,3,2
3038,2r59,E.C.3.3.2.6,3,3,2
3161,2vj8,E.C.3.3.2.6,3,3,2
3662,2zjf,E.C.3.3.2.10,3,3,2
3732,3ans,E.C.3.3.2.10,3,3,2
3733,3ant,E.C.3.3.2.10,3,3,2
3788,3b7r,E.C.3.3.2.6,3,3,2
3789,3b7u,E.C.3.3.2.6,3,3,2
3915,3cho,E.C.3.3.2.6,3,3,2
3916,3chp,E.C.3.3.2.6,3,3,2
3917,3chq,E.C.3.3.2.6,3,3,2
3918,3chr,E.C.3.3.2.6,3,3,2
3919,3chs,E.C.3.3.2.6,3,3,2
4270,3fh5,E.C.3.3.2.6,3,3,2
4271,3fh7,E.C.3.3.2.6,3,3,2
4272,3fh8,E.C.3.3.2.6,3,3,2
4274,3fhe,E.C.3.3.2.6,3,3,2
4301,3fts,E.C.3.3.2.6,3,3,2
4302,3ftu,E.C.3.3.2.6,3,3,2
4303,3ftv,E.C.3.3.2.6,3,3,2
4304,3ftw,E.C.3.3.2.6,3,3,2
4305,3fty,E.C.3.3.2.6,3,3,2
4306,3ftz,E.C.3.3.2.6,3,3,2
4307,3fu0,E.C.3.3.2.6,3,3,2
4308,3fu3,E.C.3.3.2.6,3,3,2
4309,3fu5,E.C.3.3.2.6,3,3,2
4310,3fu6,E.C.3.3.2.6,3,3,2
4312,3fud,E.C.3.3.2.6,3,3,2
4313,3fue,E.C.3.3.2.6,3,3,2
4314,3fuf,E.C.3.3.2.6,3,3,2
4315,3fuh,E.C.3.3.2.6,3,3,2
4316,3fui,E.C.3.3.2.6,3,3,2
4317,3fuj,E.C.3.3.2.6,3,3,2
4318,3fuk,E.C.3.3.2.6,3,3,2
4319,3ful,E.C.3.3.2.6,3,3,2
4320,3fum,E.C.3.3.2.6,3,3,2
4321,3fun,E.C.3.3.2.6,3,3,2
4348,3g0i,E.C.3.3.2.9,3,3,2
4577,3i1y,E.C.3.3.2.10,3,3,2
4579,3i28,E.C.3.3.2.10,3,3,2
4791,3koo,E.C.3.3.2.10,3,3,2
5251,3otq,E.C.3.3.2.10,3,3,2
5324,3pdc,E.C.3.3.2.10,3,3,2
5546,3rg2,E.C.3.3.2.1,3,3,2
7583,4l2l,E.C.3.3.2.6,3,3,2
7967,4ocz,E.C.3.3.2.10,3,3,2
7968,4od0,E.C.3.3.2.10,3,3,2
8759,4x6x,E.C.3.3.2.10,3,3,2
8760,4x6y,E.C.3.3.2.10,3,3,2
8836,4y2j,E.C.3.3.2.10,3,3,2
8837,4y2p,E.C.3.3.2.10,3,3,2
8838,4y2q,E.C.3.3.2.10,3,3,2
8839,4y2s,E.C.3.3.2.10,3,3,2
8840,4y2t,E.C.3.3.2.10,3,3,2
8841,4y2u,E.C.3.3.2.10,3,3,2
8842,4y2v,E.C.3.3.2.10,3,3,2
8843,4y2x,E.C.3.3.2.10,3,3,2
8844,4y2y,E.C.3.3.2.10,3,3,2
9157,5aen,E.C.3.3.2.6,3,3,2
9289,5bpp,E.C.3.3.2.6,3,3,2
10171,5n3w,E.C.3.3.2.6,3,3,2
10771,6exi,E.C.3.3.1.1,3,3,1
