,PDB code,EC number,Class,Subclass,Subsubclass
1983,2a29,E.C.3.6.3.12,3,6,3
2007,2agv,E.C.3.6.3.8,3,6,3
2681,2kmx,E.C.3.6.3.4,3,6,3
2749,2o9j,E.C.3.6.3.8,3,6,3
2751,2oa0,E.C.3.6.3.8,3,6,3
3702,3a1c,E.C.3.6.3.-,3,6,3
3703,3a1d,E.C.3.6.3.-,3,6,3
3704,3a1e,E.C.3.6.3.-,3,6,3
3775,3b2q,E.C.3.6.3.14,3,6,3
4593,3i73,E.C.3.6.3.14,3,6,3
5074,3n23,E.C.3.6.3.9,3,6,3
5092,3n5k,E.C.3.6.3.8,3,6,3
5105,3nal,E.C.3.6.3.8,3,6,3
5106,3nam,E.C.3.6.3.8,3,6,3
5107,3nan,E.C.3.6.3.8,3,6,3
7324,4j2t,E.C.3.6.3.8,3,6,3
7820,4myh,E.C.3.6.3.44,3,6,3
8368,4res,E.C.3.6.3.9,3,6,3
8369,4ret,E.C.3.6.3.9,3,6,3
8628,4v1f,E.C.3.6.3.14,3,6,3
8730,4wz6,E.C.3.6.3.49,3,6,3
8826,4xwk,E.C.3.6.3.44,3,6,3
8890,4ycl,E.C.3.6.3.8,3,6,3
8891,4ycm,E.C.3.6.3.8,3,6,3
8892,4ycn,E.C.3.6.3.8,3,6,3
9102,5a3q,E.C.3.6.3.8,3,6,3
9103,5a3r,E.C.3.6.3.8,3,6,3
9104,5a3s,E.C.3.6.3.8,3,6,3
9255,5aqz,E.C.3.6.3.51,3,6,3
9256,5ar0,E.C.3.6.3.51,3,6,3
9989,5ks7,E.C.3.6.3.32 ,3,6,3
11007,6o2p,E.C.3.6.3.49,3,6,3
