,PDB code,EC number,Class,Subclass,Subsubclass
67,1amk,E.C.5.3.1.1,5,3,1
85,1aw1,E.C.5.3.1.1,5,3,1
315,1e3v,E.C.5.3.3.1,5,3,3
482,1g98,E.C.5.3.1.9,5,3,1
544,1gyx,E.C.5.3.2.1,5,3,2
545,1gyy,E.C.5.3.2.1,5,3,2
549,1gzv,E.C.5.3.1.9,5,3,1
629,1hti,E.C.5.3.1.1,5,3,1
688,1iig,E.C.5.3.1.1,5,3,1
689,1iih,E.C.5.3.1.1,5,3,1
819,1koj,E.C.5.3.1.9,5,3,1
831,1kv5,E.C.5.3.1.1,5,3,1
893,1lyx,E.C.5.3.1.1,5,3,1
894,1lzo,E.C.5.3.1.1,5,3,1
928,1ml1,E.C.5.3.1.1,5,3,1
982,1nfs,E.C.5.3.3.2,5,3,3
1140,1o8b,E.C.5.3.1.6,5,3,1
1153,1ogx,E.C.5.3.3.1,5,3,3
1154,1ogz,E.C.5.3.3.1,5,3,3
1256,1ppw,E.C.5.3.3.2,5,3,3
1300,1q54,E.C.5.3.3.2,5,3,3
1546,1tpw,E.C.5.3.1.1,5,3,1
1548,1trd,E.C.5.3.1.1,5,3,1
1549,1tsi,E.C.5.3.1.1,5,3,1
1566,1u0g,E.C.5.3.1.9,5,3,1
1587,1uj5,E.C.5.3.1.6,5,3,1
1588,1uj6,E.C.5.3.1.6,5,3,1
1719,1w6y,E.C.5.3.3.1,5,3,3
1931,1z9h,E.C.5.3.99.3,5,3,99
2099,2bes,E.C.5.3.1.6,5,3,1
2100,2bet,E.C.5.3.1.6,5,3,1
2608,2j27,E.C.5.3.1.1,5,3,1
2798,2ooh,E.C.5.3.2.1,5,3,2
2799,2ooz,E.C.5.3.2.1,5,3,2
3117,2v2c,E.C.5.3.1.1,5,3,1
3140,2vcq,E.C.5.3.99.2,5,3,99
3170,2vnp,E.C.5.3.3.2,5,3,3
3201,2vvo,E.C.5.3.1.6,5,3,1
3220,2vxn,E.C.5.3.1.1,5,3,1
3614,2ypi,E.C.5.3.1.1,5,3,1
4135,3ee2,E.C.5.3.99.2,5,3,99
4624,3ijg,E.C.5.3.2.1,5,3,2
4739,3k8c,E.C.5.3.1.6,5,3,1
4863,3l5r,E.C.5.3.2.1,5,3,2
5800,3tao,E.C.5.3.1.1,5,3,1
5877,3u18,E.C.5.3.2.1,5,3,2
6129,3wnr,E.C.5.3.2.1,5,3,2
6130,3wns,E.C.5.3.2.1,5,3,2
6131,3wnt,E.C.5.3.2.1,5,3,2
6469,4bi6,E.C.5.3.1.1,5,3,1
6470,4bi7,E.C.5.3.1.1,5,3,1
7480,4k9g,E.C.5.3.2.1,5,3,2
7993,4oru,E.C.5.3.99.2,5,3,99
7994,4orx,E.C.5.3.99.2,5,3,99
7995,4ory,E.C.5.3.99.2,5,3,99
8002,4osf,E.C.5.3.2.1,5,3,2
8447,4tim,E.C.5.3.1.1,5,3,1
8700,4wr8,E.C.5.3.2.1,5,3,2
8701,4wrb,E.C.5.3.2.1,5,3,2
8908,4yk5,E.C.5.3.99.3,5,3,99
8910,4yl0,E.C.5.3.99.3,5,3,99
8911,4yl1,E.C.5.3.99.3,5,3,99
8912,4yl3,E.C.5.3.99.3,5,3,99
9170,5ai1,E.C.5.3.3.1,5,3,3
9178,5ais,E.C.5.3.99.2,5,3,99
9179,5aiv,E.C.5.3.99.2,5,3,99
9180,5aix,E.C.5.3.99.2,5,3,99
9291,5bqg,E.C.5.3.99.3,5,3,99
9292,5bqh,E.C.5.3.99.3,5,3,99
9293,5bqi,E.C.5.3.99.3,5,3,99
9705,5g2g,E.C.5.3.3.1,5,3,3
9779,5hvs,E.C.5.3.2.1 ,5,3,2
9780,5hvt,E.C.5.3.2.1 ,5,3,2
9876,5j7p,E.C.5.3.2.1,5,3,2
9877,5j7q,E.C.5.3.2.1,5,3,2
9944,5k0i,E.C.5.3.99.3 ,5,3,99
10261,5nw7,E.C.5.3.1.8,5,3,1
10483,5t36,E.C.5.3.99.3,5,3,99
10484,5t37,E.C.5.3.99.3,5,3,99
10496,5tig,E.C.5.3.2.6,5,3,2
10500,5tl9,E.C.5.3.99.3,5,3,99
10634,6cb5,E.C.5.3.2.1,5,3,2
10635,6cbf,E.C.5.3.2.1,5,3,2
10636,6cbg,E.C.5.3.2.1,5,3,2
10637,6cbh,E.C.5.3.2.1,5,3,2
10806,6tim,E.C.5.3.1.1,5,3,1
10981,6ohu,E.C.5.3.3.5,5,3,3
10982,6oht,E.C.5.3.3.5,5,3,3
