,PDB code,EC number,Class,Subclass,Subsubclass
29,1a69,E.C.2.4.2.1,2,4,2
34,1a8i,E.C.2.4.1.1,2,4,1
38,1a9q,E.C.2.4.2.1,2,4,2
69,1ao0,E.C.2.4.2.14,2,4,2
88,1axr,E.C.2.4.1.1,2,4,1
100,1b4d,E.C.2.4.1.1,2,4,1
110,1b8n,E.C.2.4.2.1,2,4,2
111,1b8o,E.C.2.4.2.1,2,4,2
183,1bzy,E.C.2.4.2.8,2,4,2
195,1c50,E.C.2.4.1.1,2,4,1
214,1c8k,E.C.2.4.1.1,2,4,1
215,1c8l,E.C.2.4.1.1,2,4,1
267,1d6n,E.C.2.4.2.8,2,4,2
293,1dqn,E.C.2.4.2.8,2,4,2
310,1e1y,E.C.2.4.1.1,2,4,1
341,1efy,E.C.2.4.2.30,2,4,2
354,1em6,E.C.2.4.1.1,2,4,1
356,1enu,E.C.2.4.2.29,2,4,2
373,1exv,E.C.2.4.1.1,2,4,1
386,1f3e,E.C.2.4.2.29,2,4,2
436,1fsg,E.C.2.4.2.8,2,4,2
453,1g2o,E.C.2.4.2.1,2,4,2
487,1g9r,E.C.2.4.1.0,2,4,1
488,1g9s,E.C.2.4.2.8,2,4,2
489,1g9t,E.C.2.4.2.8,2,4,2
490,1ga8,E.C.2.4.1.44,2,4,1
499,1gfz,E.C.2.4.1.1,2,4,1
501,1ggn,E.C.2.4.1.1,2,4,1
528,1gpy,E.C.2.4.1.1,2,4,1
539,1gwv,E.C.2.4.1.151,2,4,1
540,1gww,E.C.2.4.1.151,2,4,1
541,1gx0,E.C.2.4.1.151,2,4,1
542,1gx4,E.C.2.4.1.151,2,4,1
581,1h5u,E.C.2.4.1.1,2,4,1
607,1hlf,E.C.2.4.1.1,2,4,1
663,1i80,E.C.2.4.2.1,2,4,2
751,1jlr,E.C.2.4.2.9,2,4,2
777,1k06,E.C.2.4.1.1,2,4,1
778,1k08,E.C.2.4.1.1,2,4,1
786,1k1y,E.C.2.4.1.25,2,4,1
789,1k27,E.C.2.4.2.28,2,4,2
794,1k4g,E.C.2.4.2.29,2,4,2
795,1k4h,E.C.2.4.2.29,2,4,2
800,1k9s,E.C.2.4.2.1,2,4,2
824,1kti,E.C.2.4.1.1,2,4,1
841,1l5q,E.C.2.4.1.1,2,4,1
842,1l5r,E.C.2.4.1.1,2,4,1
843,1l5s,E.C.2.4.1.1,2,4,1
846,1l7x,E.C.2.4.1.1,2,4,1
889,1lv8,E.C.2.4.2.1,2,4,2
891,1lvu,E.C.2.4.2.1,2,4,2
953,1mwt,E.C.2.4.1.129,2,4,1
963,1n2v,E.C.2.4.2.29,2,4,2
964,1n3i,E.C.2.4.2.1,2,4,2
1023,1noi,E.C.2.4.1.1,2,4,1
1024,1noj,E.C.2.4.1.1,2,4,1
1025,1nok,E.C.2.4.1.1,2,4,1
1041,1nw4,E.C.2.4.2.1,2,4,2
1138,1o7o,E.C.2.4.1.151,2,4,1
1145,1odi,E.C.2.4.2.28,2,4,2
1146,1odj,E.C.2.4.2.28,2,4,2
1216,1p17,E.C.2.4.2.8,2,4,2
1217,1p19,E.C.2.4.2.8,2,4,2
1219,1p2g,E.C.2.4.1.1,2,4,1
1230,1pf7,E.C.2.4.2.1,2,4,2
1259,1pr1,E.C.2.4.2.1,2,4,2
1260,1pr5,E.C.2.4.2.1,2,4,2
1273,1pwy,E.C.2.4.2.1,2,4,2
1287,1pyg,E.C.2.4.1.1,2,4,1
1291,1q1g,E.C.2.4.2.1,2,4,2
1299,1q4w,E.C.2.4.2.29,2,4,2
1302,1q63,E.C.2.4.2.29,2,4,2
1303,1q65,E.C.2.4.2.29,2,4,2
1304,1q66,E.C.2.4.2.29,2,4,2
1351,1qk3,E.C.2.4.2.8,2,4,2
1352,1qk4,E.C.2.4.2.8,2,4,2
1356,1qm5,E.C.2.4.1.1,2,4,1
1387,1r5y,E.C.2.4.2.29,2,4,2
1412,1ro7,E.C.2.4.99.0,2,4,99
1417,1rr6,E.C.2.4.2.1,2,4,2
1427,1rt9,E.C.2.4.2.1,2,4,2
1443,1s38,E.C.2.4.2.29,2,4,2
1444,1s39,E.C.2.4.2.29,2,4,2
1508,1tc1,E.C.2.4.2.8,2,4,2
1589,1uk0,E.C.2.4.2.30,2,4,2
1590,1uk1,E.C.2.4.2.30,2,4,2
1592,1ukt,E.C.2.4.1.19,2,4,1
1599,1uou,E.C.2.4.2.4,2,4,2
1600,1upf,E.C.2.4.2.9,2,4,2
1641,1v2h,E.C.2.4.2.1,2,4,2
1657,1v41,E.C.2.4.2.1,2,4,2
1658,1v48,E.C.2.4.2.1,2,4,2
1664,1vfn,E.C.2.4.2.1,2,4,2
1756,1wok,E.C.2.4.2.30,2,4,2
1800,1xk9,E.C.2.4.2.36,2,4,2
1836,1xz8,E.C.2.4.2.9,2,4,2
1871,1yfz,E.C.2.4.2.8,2,4,2
1913,1z34,E.C.2.4.2.1,2,4,2
1926,1z6p,E.C.2.4.1.1,2,4,1
1927,1z6q,E.C.2.4.1.1,2,4,1
2020,2am4,E.C.2.4.1.101,2,4,1
2022,2amv,E.C.2.4.1.1,2,4,1
2110,2bo4,E.C.2.4.1.0,2,4,1
2374,2fxv,E.C.2.4.2.22,2,4,2
2397,2g96,E.C.2.4.2.12,2,4,2
2398,2g97,E.C.2.4.2.12,2,4,2
2399,2g9q,E.C.2.4.1.1,2,4,1
2400,2g9r,E.C.2.4.1.1,2,4,1
2401,2g9u,E.C.2.4.1.1,2,4,1
2402,2g9v,E.C.2.4.1.1,2,4,1
2426,2gj4,E.C.2.4.1.1,2,4,1
2431,2gm9,E.C.2.4.1.1,2,4,1
2452,2gvj,E.C.2.4.2.12,2,4,2
2525,2hw2,E.C.2.4.2.30,2,4,2
2556,2i4t,E.C.2.4.2.1,2,4,2
2575,2ihj,E.C.2.4.99.4,2,4,99
2590,2isc,E.C.2.4.2.1,2,4,2
2606,2iyf,E.C.2.4.1.-,2,4,1
2758,2oc4,E.C.2.4.2.1,2,4,2
2759,2oc9,E.C.2.4.2.1,2,4,2
2762,2off,E.C.2.4.1.1,2,4,1
2792,2on6,E.C.2.4.2.1,2,4,2
2846,2p4s,E.C.2.4.2.1,2,4,2
2859,2pax,E.C.2.4.2.30,2,4,2
2896,2pri,E.C.2.4.1.1,2,4,1
2897,2prj,E.C.2.4.1.1,2,4,1
2914,2pyi,E.C.2.4.1.1,2,4,1
2932,2q7o,E.C.2.4.2.1,2,4,2
2976,2qlm,E.C.2.4.1.1,2,4,1
2977,2qln,E.C.2.4.1.1,2,4,1
2981,2qn1,E.C.2.4.1.1,2,4,1
2982,2qn2,E.C.2.4.1.1,2,4,1
2983,2qn3,E.C.2.4.1.1,2,4,1
2984,2qnb,E.C.2.4.1.1,2,4,1
2996,2qrg,E.C.2.4.1.1,2,4,1
2997,2qrh,E.C.2.4.1.1,2,4,1
3000,2qrm,E.C.2.4.1.1,2,4,1
3001,2qrp,E.C.2.4.1.1,2,4,1
3002,2qrq,E.C.2.4.1.1,2,4,1
3024,2qzr,E.C.2.4.2.29,2,4,2
3051,2rcw,E.C.2.4.2.30,2,4,2
3053,2rd6,E.C.2.4.2.30,2,4,2
3145,2vfz,E.C.2.4.1.151,2,4,1
3306,2wk6,E.C.2.4.2.4,2,4,2
3338,2wtx,E.C.2.4.1.15,2,4,1
3515,2y2h,E.C.2.4.1.129,2,4,1
3516,2y2i,E.C.2.4.1.129,2,4,1
3517,2y2j,E.C.2.4.1.129,2,4,1
3518,2y2k,E.C.2.4.1.129,2,4,1
3519,2y2n,E.C.2.4.1.129,2,4,1
3520,2y2p,E.C.2.4.1.129,2,4,1
3524,2y4k,E.C.2.4.1.217,2,4,1
3525,2y4l,E.C.2.4.1.217,2,4,1
3526,2y4m,E.C.2.4.1.217,2,4,1
3619,2z1w,E.C.2.4.2.29,2,4,2
3661,2zit,E.C.2.4.2.-,2,4,2
3729,3amv,E.C.2.4.1.1,2,4,1
3785,3b78,E.C.2.4.2.-,2,4,2
3790,3b82,E.C.2.4.2.36,2,4,2
3791,3b8h,E.C.2.4.2.36,2,4,2
3805,3bcs,E.C.2.4.1.1,2,4,1
3866,3c2f,E.C.2.4.2.19,2,4,2
3867,3c2o,E.C.2.4.2.19,2,4,2
3868,3c2r,E.C.2.4.2.19,2,4,2
3872,3c49,E.C.2.4.2.30,2,4,2
3876,3c4h,E.C.2.4.2.30,2,4,2
3906,3ce0,E.C.2.4.2.30,2,4,2
3969,3d1v,E.C.2.4.2.1,2,4,2
4044,3djf,E.C.2.4.2.1,2,4,2
4052,3dkj,E.C.2.4.2.12,2,4,2
4102,3e0q,E.C.2.4.2.1,2,4,2
4131,3ebo,E.C.2.4.1.1,2,4,1
4132,3ebp,E.C.2.4.1.1,2,4,1
4181,3eos,E.C.2.4.2.29,2,4,2
4182,3eou,E.C.2.4.2.29,2,4,2
4196,3ess,E.C.2.4.2.-,2,4,2
4247,3f8w,E.C.2.4.2.1,2,4,2
4273,3fhb,E.C.2.4.2.30,2,4,2
4311,3fuc,E.C.2.4.2.1,2,4,2
4352,3g2h,E.C.2.4.1.1,2,4,1
4353,3g2i,E.C.2.4.1.1,2,4,1
4354,3g2j,E.C.2.4.1.1,2,4,1
4355,3g2k,E.C.2.4.1.1,2,4,1
4356,3g2l,E.C.2.4.1.1,2,4,1
4357,3g2n,E.C.2.4.1.1,2,4,1
4386,3g8e,E.C.2.4.2.12,2,4,2
4394,3gc4,E.C.2.4.2.29,2,4,2
4395,3gc5,E.C.2.4.2.29,2,4,2
4404,3ge7,E.C.2.4.2.29,2,4,2
4406,3gep,E.C.2.4.2.8,2,4,2
4409,3ggc,E.C.2.4.2.8,2,4,2
4410,3ggj,E.C.2.4.2.8,2,4,2
4415,3gjw,E.C.2.4.2.30,2,4,2
4417,3gn7,E.C.2.4.2.30,2,4,2
4642,3iny,E.C.2.4.2.1,2,4,2
4650,3ioi,E.C.2.4.1.40,2,4,1
4741,3k8o,E.C.2.4.2.1,2,4,2
4742,3k8q,E.C.2.4.2.1,2,4,2
4812,3kr8,E.C.2.4.2.30,2,4,2
4845,3l3l,E.C.2.4.2.30,2,4,2
4846,3l3m,E.C.2.4.2.30,2,4,2
4864,3l79,E.C.2.4.1.1,2,4,1
