,PDB code,EC number,Class,Subclass,Subsubclass
177,1bxr,E.C.6.3.5.5,6,3,5
227,1ch8,E.C.6.3.4.4,6,3,4
430,1fpy,E.C.6.3.1.2,6,3,1
770,1juy,E.C.6.3.4.4,6,3,4
1340,1qf4,E.C.6.3.4.4,6,3,4
1341,1qf5,E.C.6.3.4.4,6,3,4
1433,1rv1,E.C.6.3.2.0,6,3,2
1492,1t3t,E.C.6.3.5.3,6,3,5
1496,1t4e,E.C.6.3.2.0,6,3,2
1555,1ttv,E.C.6.3.2.0,6,3,2
1899,1yvh,E.C.6.3.2.-,6,3,2
1982,2a25,E.C.6.3.2.-,6,3,2
1997,2ad5,E.C.6.3.4.2,6,3,4
2018,2am1,E.C.6.3.2.10,6,3,2
2019,2am2,E.C.6.3.2.10,6,3,2
2052,2axi,E.C.6.3.2.0,6,3,2
2297,2ez5,E.C.6.3.2.-,6,3,2
2448,2gv2,E.C.6.3.2.0,6,3,2
2564,2i80,E.C.6.3.2.4,6,3,2
2585,2ioa,E.C.6.3.1.8,6,3,1
2652,2jfh,E.C.6.3.2.9,6,3,2
2671,2jo9,E.C.6.3.2.-,6,3,2
2684,2l3r,E.C.6.3.2,6,3,2
2692,2ltx,E.C.6.3.2,6,3,2
2693,2lty,E.C.6.3.2,6,3,2
2694,2ltz,E.C.6.3.2,6,3,2
2695,2lzg,E.C.6.3.2,6,3,2
2696,2m3o,E.C.6.3.2,6,3,2
2700,2mps,E.C.6.3.2.-,6,3,2
2703,2n8t,E.C.6.3.2,6,3,2
3088,2uuo,E.C.6.3.2.9,6,3,2
3089,2uup,E.C.6.3.2.9,6,3,2
3123,2v58,E.C.6.3.4.14,6,3,4
3124,2v59,E.C.6.3.4.14,6,3,4
3125,2v5a,E.C.6.3.4.14,6,3,4
3182,2vtd,E.C.6.3.2.9,6,3,2
3183,2vte,E.C.6.3.2.9,6,3,2
3249,2w6m,E.C.6.3.4.14,6,3,4
3250,2w6n,E.C.6.3.4.14,6,3,4
3251,2w6o,E.C.6.3.4.14,6,3,4
3252,2w6p,E.C.6.3.4.14,6,3,4
3253,2w6q,E.C.6.3.4.14,6,3,4
3254,2w6z,E.C.6.3.4.14,6,3,4
3255,2w70,E.C.6.3.4.14,6,3,4
3256,2w71,E.C.6.3.4.14,6,3,4
3296,2wgs,E.C.6.3.1.2,6,3,1
3377,2x5o,E.C.6.3.2.9,6,3,2
3480,2xpc,E.C.6.3.2.9,6,3,2
3482,2xqq,E.C.6.3.2.9,6,3,2
3511,2y1n,E.C.6.3.2,6,3,2
3512,2y1o,E.C.6.3.2.9,6,3,2
3534,2y67,E.C.6.3.2.9,6,3,2
3535,2y68,E.C.6.3.2.9,6,3,2
3752,3ask,E.C.6.3.2,6,3,2
3753,3asl,E.C.6.3.2,6,3,2
3843,3bum,E.C.6.3.2.-,6,3,2
3844,3bun,E.C.6.3.2.-,6,3,2
3845,3buo,E.C.6.3.2.-,6,3,2
3846,3buw,E.C.6.3.2.-,6,3,2
3847,3bux,E.C.6.3.2.-,6,3,2
3935,3cm2,E.C.6.3.2.-,6,3,2
3936,3cm7,E.C.6.3.2.-,6,3,2
3939,3cow,E.C.6.3.2.1,6,3,2
3940,3coy,E.C.6.3.2.1,6,3,2
3941,3coz,E.C.6.3.2.1,6,3,2
4053,3dla,E.C.6.3.5.1,6,3,5
4138,3efr,E.C.6.3.4.15,6,3,4
4139,3efs,E.C.6.3.4.15,6,3,4
4190,3eqs,E.C.6.3.2.-,6,3,2
4217,3eyl,E.C.6.3.2.-,6,3,2
4384,3g76,E.C.6.3.2.-,6,3,2
4435,3guz,E.C.6.3.2.1,6,3,2
4448,3gzn,E.C.6.3.2.-,6,3,2
4523,3hl5,E.C.6.3.2.-,6,3,2
4633,3imc,E.C.6.3.2.1,6,3,2
4634,3ime,E.C.6.3.2.1,6,3,2
4635,3img,E.C.6.3.2.1,6,3,2
4644,3iob,E.C.6.3.2.1,6,3,2
4645,3ioc,E.C.6.3.2.1,6,3,2
4646,3iod,E.C.6.3.2.1,6,3,2
4647,3ioe,E.C.6.3.2.1,6,3,2
4663,3isj,E.C.6.3.2.1,6,3,2
4671,3iub,E.C.6.3.2.1,6,3,2
4672,3iue,E.C.6.3.2.1,6,3,2
4674,3iux,E.C.6.3.2.-,6,3,2
4675,3ivc,E.C.6.3.2.1,6,3,2
4676,3ivg,E.C.6.3.2.1,6,3,2
4679,3ivx,E.C.6.3.2.1,6,3,2
4686,3iwy,E.C.6.3.2.-,6,3,2
4712,3jzf,E.C.6.3.4.14,6,3,4
4713,3jzi,E.C.6.3.4.14,6,3,4
4714,3jzk,E.C.6.3.2.-,6,3,2
4715,3jzr,E.C.6.3.2.-,6,3,2
4716,3jzs,E.C.6.3.2.-,6,3,2
4877,3lbk,E.C.6.3.2.-,6,3,2
4878,3lbl,E.C.6.3.2.-,6,3,2
4885,3le8,E.C.6.3.2.1,6,3,2
4911,3lnj,E.C.6.3.2.-,6,3,2
4913,3lnz,E.C.6.3.2.-,6,3,2
4936,3lvw,E.C.6.3.2.2,6,3,2
5014,3mle,E.C.6.3.3.3,6,3,3
5158,3ny3,E.C.6.3.2.19,6,3,2
5198,3ob1,E.C.6.3.2.-,6,3,2
5199,3ob2,E.C.6.3.2.-,6,3,2
5273,3oz1,E.C.6.3.2.-,6,3,2
5378,3pxe,E.C.6.3.2,6,3,2
5504,3qxc,E.C.6.3.3.3,6,3,3
5505,3qxh,E.C.6.3.3.3,6,3,3
5588,3rup,E.C.6.3.4.14,6,3,4
5589,3rux,E.C.6.3.4.15,6,3,4
5590,3rv3,E.C.6.3.4.14,6,3,4
5591,3rv4,E.C.6.3.4.14,6,3,4
5621,3rz3,E.C.6.3.2.19,6,3,2
5691,3shb,E.C.6.3.2,6,3,2
5726,3sou,E.C.6.3.2.-,6,3,2
5727,3sow,E.C.6.3.2.-,6,3,2
5790,3t6r,E.C.6.3.2.-,6,3,2
5840,3tpx,E.C.6.3.2,6,3,2
5850,3tu1,E.C.6.3.2.-,6,3,2
5968,3uw4,E.C.6.3.2,6,3,2
5969,3uw5,E.C.6.3.2,6,3,2
5982,3v3b,E.C.6.3.2,6,3,2
5983,3v3l,E.C.6.3.2.-,6,3,2
6011,3vbg,E.C.6.3.2,6,3,2
6071,3vzv,E.C.6.3.2,6,3,2
6086,3w69,E.C.6.3.2,6,3,2
6184,3zm5,E.C.6.3.2.10,6,3,2
6185,3zm6,E.C.6.3.2.10,6,3,2
6224,3zvy,E.C.6.3.2.-,6,3,2
6227,3zxr,E.C.6.3.1.2,6,3,1
6228,3zxv,E.C.6.3.1.2,6,3,1
6276,4acf,E.C.6.3.1.2,6,3,1
6677,4ddh,E.C.6.3.2.1,6,3,2
6678,4ddk,E.C.6.3.2.1,6,3,2
6679,4ddm,E.C.6.3.2.1,6,3,2
6686,4de5,E.C.6.3.2.1,6,3,2
6709,4dij,E.C.6.3.2,6,3,2
6729,4dq2,E.C.6.3.4.15,6,3,4
6793,4eb9,E.C.6.3.2,6,3,2
6796,4ec4,E.C.6.3.2,6,3,2
6798,4ef6,E.C.6.3.2.1,6,3,2
6799,4efk,E.C.6.3.2.1,6,3,2
6864,4ere,E.C.6.3.2,6,3,2
6865,4erf,E.C.6.3.2,6,3,2
6968,4fzj,E.C.6.3.2.1,6,3,2
6987,4g5f,E.C.6.3.2.1,6,3,2
6988,4g5y,E.C.6.3.2.1,6,3,2
7041,4gpl,E.C.6.3.2,6,3,2
7067,4gy5,E.C.6.3.2,6,3,2
7099,4hbm,E.C.6.3.2,6,3,2
7114,4hfz,E.C.6.3.2,6,3,2
7115,4hg7,E.C.6.3.2,6,3,2
7172,4hy0,E.C.6.3.2,6,3,2
7174,4hy4,E.C.6.3.2,6,3,2
7175,4hy5,E.C.6.3.2,6,3,2
