,PDB code,EC number,Class,Subclass,Subsubclass
15,1a2c,E.C.3.4.21.5,3,4,21
16,1a30,E.C.3.4.23.16,3,4,23
17,1a3e,E.C.3.4.21.5,3,4,21
19,1a46,E.C.3.4.21.5,3,4,21
23,1a4w,E.C.3.4.21.5,3,4,21
25,1a5g,E.C.3.4.21.5,3,4,21
26,1a5h,E.C.3.4.21.68,3,4,21
28,1a61,E.C.3.4.21.5,3,4,21
32,1a85,E.C.3.4.24.34,3,4,24
33,1a86,E.C.3.4.24.34,3,4,24
36,1a94,E.C.3.4.23.16,3,4,23
37,1a9m,E.C.3.4.23.16,3,4,23
40,1aaq,E.C.3.4.23.16,3,4,23
42,1ad8,E.C.3.4.21.5,3,4,21
50,1aht,E.C.3.4.21.5,3,4,21
57,1aid,E.C.3.4.23.16,3,4,23
62,1ajv,E.C.3.4.23.16,3,4,23
63,1ajx,E.C.3.4.23.16,3,4,23
66,1alw,E.C.3.4.22.17,3,4,22
71,1apv,E.C.3.4.23.20,3,4,23
72,1apw,E.C.3.4.23.20,3,4,23
74,1aq7,E.C.3.4.21.4,3,4,21
79,1atl,E.C.3.4.24.42,3,4,24
81,1au0,E.C.3.4.22.38,3,4,22
82,1au2,E.C.3.4.22.38,3,4,22
83,1auj,E.C.3.4.21.4,3,4,21
86,1awf,E.C.3.4.21.5,3,4,21
87,1awh,E.C.3.4.21.5,3,4,21
89,1ayu,E.C.3.4.22.38,3,4,22
90,1ayv,E.C.3.4.22.38,3,4,22
93,1b0f,E.C.3.4.21.37,3,4,21
94,1b11,E.C.3.4.23.16,3,4,23
95,1b2i,E.C.3.4.21.7,3,4,21
103,1b5g,E.C.3.4.21.5,3,4,21
104,1b6j,E.C.3.4.23.16,3,4,23
105,1b6k,E.C.3.4.23.16,3,4,23
106,1b6l,E.C.3.4.23.16,3,4,23
107,1b6m,E.C.3.4.23.16,3,4,23
108,1b6p,E.C.3.4.23.16,3,4,23
112,1b8y,E.C.3.4.24.17,3,4,24
116,1ba8,E.C.3.4.21.5,3,4,21
117,1bb0,E.C.3.4.21.5,3,4,21
119,1bcu,E.C.3.4.21.5,3,4,21
120,1bdl,E.C.3.4.23.16,3,4,23
121,1bdq,E.C.3.4.23.16,3,4,23
122,1bdr,E.C.3.4.23.16,3,4,23
123,1bgo,E.C.3.4.22.38,3,4,22
125,1bhx,E.C.3.4.21.5,3,4,21
126,1bil,E.C.3.4.23.15,3,4,23
127,1bim,E.C.3.4.23.15,3,4,23
128,1bio,E.C.3.4.21.46,3,4,21
129,1biw,E.C.3.4.24.17,3,4,24
131,1bjr,E.C.3.4.21.64,3,4,21
132,1bju,E.C.3.4.21.4,3,4,21
133,1bjv,E.C.3.4.21.4,3,4,21
140,1bm6,E.C.3.4.24.17,3,4,24
141,1bma,E.C.3.4.21.36,3,4,21
143,1bmm,E.C.3.4.21.5,3,4,21
144,1bmn,E.C.3.4.21.5,3,4,21
145,1bmq,E.C.3.4.22.36,3,4,22
162,1bqo,E.C.3.4.24.17,3,4,24
165,1bra,E.C.3.4.21.4,3,4,21
167,1bty,E.C.3.4.21.4,3,4,21
170,1bv7,E.C.3.4.23.16,3,4,23
171,1bv9,E.C.3.4.23.16,3,4,23
172,1bwa,E.C.3.4.23.16,3,4,23
173,1bwb,E.C.3.4.23.16,3,4,23
175,1bxo,E.C.3.4.23.20,3,4,23
176,1bxq,E.C.3.4.23.20,3,4,23
182,1bzs,E.C.3.4.24.34,3,4,24
184,1c1r,E.C.3.4.21.4,3,4,21
185,1c1u,E.C.3.4.21.5,3,4,21
186,1c1v,E.C.3.4.21.5,3,4,21
191,1c3i,E.C.3.4.24.17,3,4,24
192,1c4u,E.C.3.4.21.5,3,4,21
193,1c4v,E.C.3.4.21.5,3,4,21
194,1c4y,E.C.3.4.21.5,3,4,21
197,1c5n,E.C.3.4.21.5,3,4,21
198,1c5o,E.C.3.4.21.5,3,4,21
199,1c5p,E.C.3.4.21.4,3,4,21
200,1c5q,E.C.3.4.21.4,3,4,21
201,1c5s,E.C.3.4.21.4,3,4,21
202,1c5t,E.C.3.4.21.4,3,4,21
203,1c5x,E.C.3.4.21.73,3,4,21
204,1c5y,E.C.3.4.21.73,3,4,21
205,1c5z,E.C.3.4.21.73,3,4,21
206,1c6y,E.C.3.4.23.46,3,4,23
207,1c70,E.C.3.4.23.16,3,4,23
218,1ca8,E.C.3.4.21.5,3,4,21
220,1caq,E.C.3.4.24.17,3,4,24
221,1cbx,E.C.3.4.17.1,3,4,17
222,1ce5,E.C.3.4.21.4,3,4,21
223,1cea,E.C.3.4.21.7,3,4,21
224,1ceb,E.C.3.4.21.7,3,4,21
232,1ciz,E.C.3.4.24.17,3,4,24
236,1cp6,E.C.3.4.11.10,3,4,11
237,1cpi,E.C.3.4.13.16,3,4,13
238,1cps,E.C.3.4.17.1,3,4,17
254,1d3d,E.C.3.4.21.5,3,4,21
255,1d3p,E.C.3.4.21.5,3,4,21
256,1d3q,E.C.3.4.21.5,3,4,21
258,1d4h,E.C.3.4.23.16,3,4,23
259,1d4i,E.C.3.4.23.16,3,4,23
260,1d4j,E.C.3.4.23.16,3,4,23
261,1d4k,E.C.3.4.23.16,3,4,23
262,1d4l,E.C.3.4.23.16,3,4,23
263,1d4p,E.C.3.4.21.5,3,4,21
