,PDB code,EC number,Class,Subclass,Subsubclass
64,1al7,E.C.1.1.3.15,1,1,3
65,1al8,E.C.1.1.3.15,1,1,3
70,1ao8,E.C.1.5.1.3,1,5,1
134,1bkj,E.C.1.6.8.1,1,6,8
168,1bug,E.C.1.10.3.1,1,10,3
179,1bzf,E.C.1.5.1.3,1,5,1
225,1cet,E.C.1.1.1.27,1,1,1
283,1dhi,E.C.1.5.1.3,1,5,1
284,1dhj,E.C.1.5.1.3,1,5,1
288,1dis,E.C.1.5.1.3,1,5,1
295,1drv,E.C.1.3.1.26,1,3,1
323,1e8h,E.C.1.1.3.7,1,1,3
357,1eoc,E.C.1.13.11.3,1,13,11
530,1grp,E.C.1.1.1.42,1,1,1
546,1gz3,E.C.1.1.1.38,1,1,1
547,1gz4,E.C.1.1.1.40,1,1,1
570,1h2k,E.C.1.14.11.30,1,14,11
583,1h79,E.C.1.17.4.2,1,17,4
584,1h7a,E.C.1.17.4.2,1,17,4
652,1i32,E.C.1.2.1.12,1,2,1
653,1i33,E.C.1.2.1.12,1,2,1
658,1i5r,E.C.1.1.1.62,1,1,1
687,1ihy,E.C.1.2.1.12,1,2,1
693,1ikt,E.C.1.1.1.62,1,1,1
735,1jdj,E.C.1.1.1.8,1,1,1
763,1jr1,E.C.1.1.1.205,1,1,1
776,1k03,E.C.1.6.99.1,1,6,99
793,1k3t,E.C.1.2.1.12,1,2,1
814,1kf6,E.C.1.3.99.1,1,3,99
815,1kfy,E.C.1.3.99.1,1,3,99
817,1kmv,E.C.1.5.1.3,1,5,1
818,1kmy,E.C.1.13.11.39,1,13,11
821,1kqb,E.C.1.6.6.0,1,6,6
861,1lgt,E.C.1.13.11.39,1,13,11
879,1lox,E.C.1.13.11.33,1,13,11
888,1lrt,E.C.1.1.1.205,1,1,1
919,1me7,E.C.1.1.1.205,1,1,1
920,1me8,E.C.1.1.1.205,1,1,1
959,1n1g,E.C.1.1.1.8,1,1,1
988,1nhg,E.C.1.3.1.9,1,3,1
991,1nhw,E.C.1.3.1.9,1,3,1
1019,1nnu,E.C.1.3.1.9,1,3,1
1026,1nox,E.C.1.6.99.3,1,6,99
1034,1ntk,E.C.1.10.2.2,1,10,2
1035,1nu1,E.C.1.10.2.2,1,10,2
1174,1ols,E.C.1.2.4.4,1,2,4
1175,1olu,E.C.1.2.4.4,1,2,4
1176,1olx,E.C.1.2.4.4,1,2,4
1180,1onp,E.C.1.1.1.267,1,1,1
1235,1pgp,E.C.1.1.1.44,1,1,1
1269,1pvn,E.C.1.1.1.205,1,1,1
1414,1rp7,E.C.1.2.4.1,1,2,4
1471,1sqb,E.C.1.10.2.2,1,10,2
1474,1sqp,E.C.1.10.2.2,1,10,2
1475,1sqq,E.C.1.10.2.2,1,10,2
1487,1t1r,E.C.1.1.1.267,1,1,1
1488,1t1s,E.C.1.1.1.267,1,1,1
1512,1tfz,E.C.1.13.11.27,1,13,11
1513,1tg5,E.C.1.13.11.27,1,13,11
1559,1tve,E.C.1.1.1.3,1,1,1
1575,1u71,E.C.1.5.1.3,1,5,1
1636,1v11,E.C.1.2.4.4,1,2,4
1637,1v16,E.C.1.2.4.4,1,2,4
1640,1v1m,E.C.1.2.4.4,1,2,4
1850,1y4z,E.C.1.7.99.4,1,7,99
1862,1yci,E.C.1.14.11.16,1,14,11
1877,1ykp,E.C.1.13.11.3,1,13,11
1887,1yon,E.C.1.1.1.169,1,1,1
2135,2buv,E.C.1.13.11.3,1,13,11
2198,2cfd,E.C.1.4.3.6,1,4,3
2199,2cfg,E.C.1.4.3.6,1,4,3
2238,2d0k,E.C.1.5.1.3,1,5,1
2248,2drc,E.C.1.5.1.3,1,5,1
2361,2fr8,E.C.1.6.1.2,1,6,1
2362,2frd,E.C.1.6.1.2,1,6,1
2365,2fsv,E.C.1.6.1.2,1,6,1
2383,2g19,E.C.1.14.11.29,1,14,11
2455,2gz2,E.C.1.2.1.11,1,2,1
2506,2hj4,E.C.1.4.99.4,1,4,99
2507,2hjb,E.C.1.4.99.4,1,4,99
2644,2jbv,E.C.1.1.3.17,1,1,3
2680,2kgi,E.C.1.14.11.-,1,14,11
2699,2mnz,E.C.1.14.11,1,14,11
2718,2np9,E.C.1.13.11.-,1,13,11
2737,2o48,E.C.1.3.1.20,1,3,1
2803,2oq6,E.C.1.14.11.-,1,14,11
2887,2pnc,E.C.1.4.3.6,1,4,3
2888,2poq,E.C.1.3.1.20,1,3,1
2898,2psj,E.C.1.13.12.5 ,1,13,12
2922,2q1l,E.C.1.1.1.34,1,1,1
2929,2q6b,E.C.1.1.1.34,1,1,1
2930,2q6c,E.C.1.1.1.34,1,1,1
2933,2q7q,E.C.1.4.99.4,1,4,99
2968,2qk8,E.C.1.5.1.3,1,5,1
2995,2qqs,E.C.1.4.11.-,1,4,11
2998,2qrk,E.C.1.5.1.7 ,1,5,1
2999,2qrl,E.C.1.5.1.7 ,1,5,1
3004,2qta,E.C.1.2.4.1,1,2,4
3037,2r4f,E.C.1.1.1.34,1,1,1
3082,2toh,E.C.1.14.16.2,1,14,16
3141,2vd7,E.C.1.14.11.-,1,14,11
