,PDB code,EC number,Class,Subclass,Subsubclass
75,1aqi,E.C.2.1.1.72,2,1,1
76,1aqj,E.C.2.1.1.72,2,1,1
157,1bp0,E.C.2.1.1.45,2,1,1
188,1c2t,E.C.2.1.2.2,2,1,2
190,1c3e,E.C.2.1.2.2,2,1,2
228,1ci7,E.C.2.1.1.45,2,1,1
251,1d09,E.C.2.1.3.2,2,1,3
280,1dfo,E.C.2.1.2.1,2,1,2
301,1duv,E.C.2.1.3.3,2,1,3
383,1f28,E.C.2.1.1.45,2,1,1
389,1f4e,E.C.2.1.1.45,2,1,1
390,1f4f,E.C.2.1.1.45,2,1,1
391,1f4g,E.C.2.1.1.45,2,1,1
495,1gar,E.C.2.1.2.2,2,1,2
557,1h1d,E.C.2.1.1.6,2,1,1
610,1hnn,E.C.2.1.1.28,2,1,1
639,1hvy,E.C.2.1.1.45,2,1,1
649,1i00,E.C.2.1.1.45,2,1,1
737,1jg0,E.C.2.1.1.45,2,1,1
753,1jmf,E.C.2.1.1.45,2,1,1
754,1jmg,E.C.2.1.1.45,2,1,1
755,1jmi,E.C.2.1.1.45,2,1,1
761,1jqd,E.C.2.1.1.8,2,1,1
762,1jqe,E.C.2.1.1.8,2,1,1
767,1jtq,E.C.2.1.1.45,2,1,1
768,1juj,E.C.2.1.1.45,2,1,1
769,1jut,E.C.2.1.1.45,2,1,1
911,1m9n,E.C.2.1.2.3,2,1,2
968,1n7i,E.C.2.1.1.28,2,1,1
969,1n7j,E.C.2.1.1.28,2,1,1
996,1nja,E.C.2.1.1.45,2,1,1
997,1njb,E.C.2.1.1.45,2,1,1
998,1njc,E.C.2.1.1.45,2,1,1
999,1njd,E.C.2.1.1.45,2,1,1
1000,1nje,E.C.2.1.1.45,2,1,1
1003,1njs,E.C.2.1.2.2,2,1,2
1042,1nw5,E.C.2.1.1.72,2,1,1
1043,1nw7,E.C.2.1.1.72,2,1,1
1188,1oth,E.C.2.1.3.3,2,1,3
1206,1oz0,E.C.2.1.2.3,2,1,2
1207,1ozv,E.C.2.1.1.127,2,1,1
1214,1p0y,E.C.2.1.1.127,2,1,1
1220,1p4r,E.C.2.1.2.3,2,1,2
1243,1pkx,E.C.2.1.2.3,2,1,2
1244,1pl0,E.C.2.1.2.3,2,1,2
1319,1q95,E.C.2.1.3.2,2,1,3
1322,1qan,E.C.2.1.1.48,2,1,1
1323,1qaq,E.C.2.1.1.48,2,1,1
1445,1s4d,E.C.2.1.1.107,2,1,1
1517,1thz,E.C.2.1.2.3,2,1,2
1550,1tsl,E.C.2.1.1.45,2,1,1
1551,1tsm,E.C.2.1.1.45,2,1,1
1552,1tsv,E.C.2.1.1.45,2,1,1
1553,1tsy,E.C.2.1.1.45,2,1,1
1565,1tys,E.C.2.1.1.45,2,1,1
1910,1yz3,E.C.2.1.1.28,2,1,1
1914,1z3c,E.C.2.1.1.56,2,1,1
1947,1zkk,E.C.2.1.1.43,2,1,1
1981,2a14,E.C.2.1.1.49,2,1,1
2000,2adm,E.C.2.1.1.72,2,1,1
2023,2an5,E.C.2.1.1.28,2,1,1
2034,2aou,E.C.2.1.1.8,2,1,1
2035,2aov,E.C.2.1.1.8,2,1,1
2036,2aow,E.C.2.1.1.8,2,1,1
2037,2aox,E.C.2.1.1.8,2,1,1
2377,2fzc,E.C.2.1.3.2,2,1,3
2378,2fzg,E.C.2.1.3.2,2,1,3
2379,2fzk,E.C.2.1.3.2,2,1,3
2391,2g70,E.C.2.1.1.28,2,1,1
2392,2g71,E.C.2.1.1.28,2,1,1
2393,2g72,E.C.2.1.1.28,2,1,1
2394,2g8n,E.C.2.1.1.28,2,1,1
2462,2h21,E.C.2.1.1.127,2,1,1
2463,2h23,E.C.2.1.1.127,2,1,1
2465,2h2e,E.C.2.1.1.127,2,1,1
2468,2h2j,E.C.2.1.1.127,2,1,1
2469,2h3e,E.C.2.1.3.2,2,1,3
2565,2idk,E.C.2.1.1.20,2,1,1
2586,2ipo,E.C.2.1.3.2,2,1,3
2679,2kce,E.C.2.1.1.45,2,1,1
2755,2obf,E.C.2.1.1.28,2,1,1
2793,2onb,E.C.2.1.1.45,2,1,1
2795,2ony,E.C.2.1.1.28,2,1,1
2796,2onz,E.C.2.1.1.28,2,1,1
2802,2opb,E.C.2.1.1.28,2,1,1
3084,2tsr,E.C.2.1.1.45,2,1,1
3506,2xyr,E.C.2.1.1.-,2,1,1
3513,2y1w,E.C.2.1.1.125,2,1,1
3514,2y1x,E.C.2.1.1.125,2,1,1
3685,2zvj,E.C.2.1.1.6,2,1,1
3755,3at1,E.C.2.1.3.2,2,1,3
3768,3axz,E.C.2.1.1.31,2,1,1
3796,3b95,E.C.2.1.1.43,2,1,1
3892,3cbp,E.C.2.1.1.43,2,1,1
4039,3dg8,E.C.2.1.1.45,2,1,1
4040,3dga,E.C.2.1.1.45,2,1,1
4200,3evc,E.C.2.1.1.56,2,1,1
4201,3evd,E.C.2.1.1.56,2,1,1
4202,3evf,E.C.2.1.1.56,2,1,1
4249,3f9w,E.C.2.1.1.43,2,1,1
4250,3f9y,E.C.2.1.1.43,2,1,1
4288,3fpd,E.C.2.1.1.43,2,1,1
4484,3h9k,E.C.2.1.1.45,2,1,1
4492,3hb8,E.C.2.1.1.45,2,1,1
4557,3hvh,E.C.2.1.1.6,2,1,1
4558,3hvi,E.C.2.1.1.6,2,1,1
4559,3hvj,E.C.2.1.1.6,2,1,1
4560,3hvk,E.C.2.1.1.6,2,1,1
4625,3ijz,E.C.2.1.1.45,2,1,1
4626,3ik1,E.C.2.1.1.45,2,1,1
4690,3jdw,E.C.2.1.4.1,2,1,4
