,PDB code,EC number,Class,Subclass,Subsubclass
41,1acj,E.C.3.1.1.7,3,1,1
46,1afk,E.C.3.1.27.5,3,1,27
47,1afl,E.C.3.1.27.5,3,1,27
68,1amn,E.C.3.1.1.7,3,1,1
96,1b2m,E.C.3.1.27.3,3,1,27
178,1bzc,E.C.3.1.3.48,3,1,3
180,1bzh,E.C.3.1.3.48,3,1,3
181,1bzj,E.C.3.1.3.48,3,1,3
208,1c83,E.C.3.1.3.48,3,1,3
209,1c84,E.C.3.1.3.48,3,1,3
210,1c85,E.C.3.1.3.48,3,1,3
211,1c86,E.C.3.1.3.48,3,1,3
212,1c87,E.C.3.1.3.48,3,1,3
213,1c88,E.C.3.1.3.48,3,1,3
252,1d1p,E.C.3.1.3.48,3,1,3
266,1d5r,E.C.3.1.3.48,3,1,3
277,1db4,E.C.3.1.1.4,3,1,1
278,1db5,E.C.3.1.1.4,3,1,1
279,1det,E.C.3.1.27.3,3,1,27
281,1dg9,E.C.3.1.3.48,3,1,3
305,1dx6,E.C.3.1.1.7,3,1,1
319,1e66,E.C.3.1.1.7,3,1,1
339,1ecv,E.C.3.1.3.48,3,1,3
369,1eve,E.C.3.1.1.7,3,1,1
370,1ew8,E.C.3.1.3.1,3,1,3
371,1ew9,E.C.3.1.3.1,3,1,3
374,1exw,E.C.3.1.2.22,3,1,2
428,1fpi,E.C.3.1.3.11,3,1,3
440,1fta,E.C.3.1.3.11,3,1,3
441,1fv0,E.C.3.1.1.4,3,1,1
479,1g7f,E.C.3.1.3.48,3,1,3
480,1g7g,E.C.3.1.3.48,3,1,3
498,1gfy,E.C.3.1.3.48,3,1,3
526,1gpk,E.C.3.1.1.7,3,1,1
527,1gpn,E.C.3.1.1.7,3,1,1
529,1gqs,E.C.3.1.1.7,3,1,1
543,1gym,E.C.3.1.4.10,3,1,4
558,1h1h,E.C.3.1.27.-,3,1,27
563,1h22,E.C.3.1.1.7,3,1,1
564,1h23,E.C.3.1.1.7,3,1,1
588,1hbj,E.C.3.1.1.7,3,1,1
597,1hi3,E.C.3.1.27.5,3,1,27
598,1hi4,E.C.3.1.27.5,3,1,27
599,1hi5,E.C.3.1.27.5,3,1,27
609,1hn4,E.C.3.1.1.4,3,1,1
707,1it6,E.C.3.1.3.16,3,1,3
715,1j07,E.C.3.1.1.7,3,1,1
720,1j1a,E.C.3.1.1.4,3,1,1
727,1j7z,E.C.3.1.27.5,3,1,27
728,1j80,E.C.3.1.27.5,3,1,27
729,1j81,E.C.3.1.27.5,3,1,27
748,1jk7,E.C.3.1.3.16,3,1,3
756,1jn4,E.C.3.1.27.5,3,1,27
759,1jq8,E.C.3.1.1.4,3,1,1
760,1jq9,E.C.3.1.1.4,3,1,1
772,1jvu,E.C.3.1.27.5,3,1,27
801,1kak,E.C.3.1.3.48,3,1,3
802,1kav,E.C.3.1.3.48,3,1,3
820,1kpm,E.C.3.1.1.4,3,1,1
832,1kvo,E.C.3.1.1.4,3,1,1
837,1kz8,E.C.3.1.3.11,3,1,3
848,1l8g,E.C.3.1.3.48,3,1,3
857,1lev,E.C.3.1.3.11,3,1,3
886,1lqf,E.C.3.1.3.48,3,1,3
912,1mai,E.C.3.1.4.11,3,1,4
925,1mf4,E.C.3.1.1.4,3,1,1
927,1mkd,E.C.3.1.4.17,3,1,4
954,1mx1,E.C.3.1.1.1,3,1,1
965,1n3z,E.C.3.1.27.5,3,1,27
967,1n5r,E.C.3.1.1.7,3,1,1
976,1nd5,E.C.3.1.3.2,3,1,3
1010,1nl9,E.C.3.1.3.48,3,1,3
1020,1nny,E.C.3.1.3.48,3,1,3
1021,1no6,E.C.3.1.3.48,3,1,3
1044,1nwl,E.C.3.1.3.48,3,1,3
1050,1nz7,E.C.3.1.3.48,3,1,3
1055,1o0f,E.C.3.1.27.5,3,1,27
1056,1o0h,E.C.3.1.27.5,3,1,27
1057,1o0m,E.C.3.1.27.5,3,1,27
1058,1o0n,E.C.3.1.27.5,3,1,27
1059,1o0o,E.C.3.1.27.5,3,1,27
1181,1ony,E.C.3.1.3.48,3,1,3
1182,1onz,E.C.3.1.3.48,3,1,3
1202,1oxr,E.C.3.1.1.4,3,1,1
1203,1oyn,E.C.3.1.4.17,3,1,4
1223,1p6d,E.C.3.1.4.3,3,1,4
1224,1p6e,E.C.3.1.4.3,3,1,4
1226,1pa9,E.C.3.1.3.48,3,1,3
1236,1ph0,E.C.3.1.3.48,3,1,3
1275,1pxh,E.C.3.1.3.48,3,1,3
1288,1pyn,E.C.3.1.3.48,3,1,3
1292,1q1m,E.C.3.1.3.48,3,1,3
