,PDB code,EC number,Class,Subclass,Subsubclass
4,184l,E.C.3.2.1.17,3,2,1
5,185l,E.C.3.2.1.17,3,2,1
6,186l,E.C.3.2.1.17,3,2,1
7,187l,E.C.3.2.1.17,3,2,1
8,188l,E.C.3.2.1.17,3,2,1
20,1a4g,E.C.3.2.1.18,3,2,1
22,1a4q,E.C.3.2.1.18,3,2,1
48,1agm,E.C.3.2.1.3,3,2,1
77,1at5,E.C.3.2.1.17,3,2,1
78,1at6,E.C.3.2.1.17,3,2,1
113,1b9s,E.C.3.2.1.18,3,2,1
114,1b9t,E.C.3.2.1.18,3,2,1
115,1b9v,E.C.3.2.1.18,3,2,1
130,1bji,E.C.3.2.1.18,3,2,1
163,1br5,E.C.3.2.2.22,3,2,2
164,1br6,E.C.3.2.2.22,3,2,2
307,1dy4,E.C.3.2.1.91,3,2,1
316,1e55,E.C.3.2.1.21,3,2,1
318,1e5j,E.C.3.2.1.4,3,2,1
320,1e6q,E.C.3.2.3.1,3,2,3
321,1e6s,E.C.3.2.3.1,3,2,3
322,1e72,E.C.3.2.3.1,3,2,3
387,1f3j,E.C.3.2.1.17,3,2,1
399,1f8b,E.C.3.2.1.18,3,2,1
400,1f8c,E.C.3.2.1.18,3,2,1
401,1f8d,E.C.3.2.1.18,3,2,1
402,1f8e,E.C.3.2.1.18,3,2,1
408,1fh7,E.C.3.2.1.91,3,2,1
409,1fh8,E.C.3.2.1.91,3,2,1
410,1fh9,E.C.3.2.1.91,3,2,1
411,1fhd,E.C.3.2.1.91,3,2,1
425,1fo2,E.C.3.2.1.24,3,2,1
426,1fo3,E.C.3.2.1.24,3,2,1
493,1gah,E.C.3.2.1.3,3,2,1
494,1gai,E.C.3.2.1.3,3,2,1
525,1gny,E.C.3.2.1.8,3,2,1
534,1gu3,E.C.3.2.1.4,3,2,1
578,1h46,E.C.3.2.1.91,3,2,1
582,1h5v,E.C.3.2.1.4,3,2,1
604,1hkj,E.C.3.2.1.14,3,2,1
605,1hkk,E.C.3.2.1.14,3,2,1
606,1hkm,E.C.3.2.1.14,3,2,1
612,1hp0,E.C.3.2.2.1,3,2,2
613,1hp5,E.C.3.2.1.52,3,2,1
630,1hty,E.C.3.2.1.114,3,2,1
