,PDB code,EC number,Class,Subclass,Subsubclass
31,1a7x,E.C.5.2.1.8,5,2,1
58,1aj6,E.C.5.99.1.3,5,99,1
67,1amk,E.C.5.3.1.1,5,3,1
85,1aw1,E.C.5.3.1.1,5,3,1
109,1b74,E.C.5.1.1.3,5,1,1
137,1bl4,E.C.5.2.1.8,5,2,1
158,1bq3,E.C.5.4.2.1,5,4,2
159,1bq4,E.C.5.4.2.1,5,4,2
196,1c5f,E.C.5.2.1.8,5,2,1
270,1d7i,E.C.5.2.1.8,5,2,1
271,1d7j,E.C.5.2.1.8,5,2,1
315,1e3v,E.C.5.3.3.1,5,3,3
388,1f40,E.C.5.2.1.8,5,2,1
398,1f8a,E.C.5.2.1.8,5,2,1
416,1fkb,E.C.5.2.1.8,5,2,1
417,1fkf,E.C.5.2.1.8,5,2,1
418,1fkg,E.C.5.2.1.8,5,2,1
419,1fkh,E.C.5.2.1.8,5,2,1
420,1fki,E.C.5.2.1.8,5,2,1
482,1g98,E.C.5.3.1.9,5,3,1
532,1gsz,E.C.5.4.99.0,5,4,99
544,1gyx,E.C.5.3.2.1,5,3,2
545,1gyy,E.C.5.3.2.1,5,3,2
549,1gzv,E.C.5.3.1.9,5,3,1
571,1h35,E.C.5.4.99.0,5,4,99
572,1h36,E.C.5.4.99.0,5,4,99
573,1h37,E.C.5.4.99.0,5,4,99
574,1h39,E.C.5.4.99.0,5,4,99
575,1h3a,E.C.5.4.99.0,5,4,99
576,1h3b,E.C.5.4.99.0,5,4,99
577,1h3c,E.C.5.4.99.0,5,4,99
629,1hti,E.C.5.3.1.1,5,3,1
664,1i8h,E.C.5.2.1.8,5,2,1
688,1iig,E.C.5.3.1.1,5,3,1
689,1iih,E.C.5.3.1.1,5,3,1
726,1j4r,E.C.5.2.1.8,5,2,1
819,1koj,E.C.5.3.1.9,5,3,1
831,1kv5,E.C.5.3.1.1,5,3,1
839,1kzn,E.C.5.99.1.3,5,99,1
893,1lyx,E.C.5.3.1.1,5,3,1
894,1lzo,E.C.5.3.1.1,5,3,1
900,1m1b,E.C.5.4.2.9,5,4,2
916,1mdl,E.C.5.1.2.2,5,1,2
928,1ml1,E.C.5.3.1.1,5,3,1
934,1mns,E.C.5.1.2.2,5,1,2
982,1nfs,E.C.5.3.3.2,5,3,3
1016,1nmk,E.C.5.2.1.8,5,2,1
1133,1o6h,E.C.5.4.99.0,5,4,99
1135,1o6q,E.C.5.4.99.0,5,4,99
1136,1o6r,E.C.5.4.99.0,5,4,99
1137,1o79,E.C.5.4.99.0,5,4,99
1140,1o8b,E.C.5.3.1.6,5,3,1
1153,1ogx,E.C.5.3.3.1,5,3,3
1154,1ogz,E.C.5.3.3.1,5,3,3
1228,1pbk,E.C.5.2.1.8,5,2,1
1256,1ppw,E.C.5.3.3.2,5,3,3
1300,1q54,E.C.5.3.3.2,5,3,3
1357,1qng,E.C.5.2.1.8,5,2,1
1358,1qnh,E.C.5.2.1.8,5,2,1
1362,1qpf,E.C.5.2.1.8,5,2,1
1363,1qpl,E.C.5.2.1.8,5,2,1
1472,1sqc,E.C.5.4.99.0,5,4,99
1546,1tpw,E.C.5.3.1.1,5,3,1
1548,1trd,E.C.5.3.1.1,5,3,1
1549,1tsi,E.C.5.3.1.1,5,3,1
1566,1u0g,E.C.5.3.1.9,5,3,1
1587,1uj5,E.C.5.3.1.6,5,3,1
1588,1uj6,E.C.5.3.1.6,5,3,1
1717,1w6j,E.C.5.4.99.7,5,4,99
1719,1w6y,E.C.5.3.3.1,5,3,3
1728,1w8l,E.C.5.2.1.8,5,2,1
1729,1w8m,E.C.5.2.1.8,5,2,1
1886,1ynd,E.C.5.2.1.8,5,2,1
1918,1z4n,E.C.5.4.2.6,5,4,2
1919,1z4o,E.C.5.4.2.6,5,4,2
1931,1z9h,E.C.5.3.99.3,5,3,99
2099,2bes,E.C.5.3.1.6,5,3,1
2100,2bet,E.C.5.3.1.6,5,3,1
2205,2cht,E.C.5.4.99.5,5,4,99
2233,2csm,E.C.5.4.99.5,5,4,99
2348,2fkf,E.C.5.4.2.8,5,4,2
2446,2gtv,E.C.5.4.99.5,5,4,99
2475,2h5a,E.C.5.4.2.8,5,4,2
2571,2igv,E.C.5.2.1.8,5,2,1
2572,2igw,E.C.5.2.1.8,5,2,1
2594,2itk,E.C.5.2.1.8,5,2,1
2608,2j27,E.C.5.3.1.1,5,3,1
2653,2jfz,E.C.5.1.1.3,5,1,1
2682,2ko7,E.C.5.2.1.8,5,2,1
2701,2ms4,E.C.5.2.1.8,5,2,1
2778,2ohv,E.C.5.1.1.3,5,1,1
2798,2ooh,E.C.5.3.2.1,5,3,2
2799,2ooz,E.C.5.3.2.1,5,3,2
2905,2pv1,E.C.5.2.1.8,5,2,1
2906,2pv2,E.C.5.2.1.8,5,2,1
2907,2pv3,E.C.5.2.1.8,5,2,1
2911,2pwd,E.C.5.4.99.11,5,4,99
2912,2pwg,E.C.5.4.99.11,5,4,99
3014,2qve,E.C.5.4.3.6,5,4,3
3066,2rjr,E.C.5.4.3.6,5,4,3
3067,2rjs,E.C.5.4.3.6,5,4,3
3077,2sfp,E.C.5.1.1.1,5,1,1
3117,2v2c,E.C.5.3.1.1,5,3,1
3140,2vcq,E.C.5.3.99.2,5,3,99
3170,2vnp,E.C.5.3.3.2,5,3,3
3201,2vvo,E.C.5.3.1.6,5,3,1
3203,2vvt,E.C.5.1.1.3,5,1,1
3220,2vxn,E.C.5.3.1.1,5,3,1
3240,2w4i,E.C.5.1.1.3,5,1,1
3293,2wf5,E.C.5.4.2.6,5,4,2
3369,2x2c,E.C.5.2.1.8,5,2,1
3414,2xcs,E.C.5.99.1.3,5,99,1
3415,2xct,E.C.5.99.1.3,5,99,1
