,PDB code,EC number,Class,Subclass,Subsubclass
1627,1uys,E.C.6.4.1.2,6,4,1
1702,1w2x,E.C.6.4.1.2,6,4,1
1730,1w96,E.C.6.4.1.2,6,4,1
4265,3ff6,E.C.6.4.1.2,6,4,1
4451,3h0j,E.C.6.4.1.2,6,4,1
4452,3h0q,E.C.6.4.1.2,6,4,1
4453,3h0s,E.C.6.4.1.2,6,4,1
4699,3jrx,E.C.6.4.1.2,6,4,1
5804,3tdc,E.C.6.4.1.2,6,4,1
5854,3tv5,E.C.6.4.1.2   ,6,4,1
5860,3tvw,E.C.6.4.1.2,6,4,1
6979,4g2r,E.C.6.4.1.3,6,4,1
7738,4mfe,E.C.6.4.1.1,6,4,1
8271,4qsh,E.C.6.4.1.1,6,4,1
8272,4qsk,E.C.6.4.1.1,6,4,1
8724,4wyo,E.C.6.4.1.2,6,4,1
8731,4wz8,E.C.6.4.1.2,6,4,1
9378,5ctb,E.C.6.4.1.2,6,4,1
9379,5ctc,E.C.6.4.1.2,6,4,1
9380,5cte,E.C.6.4.1.2,6,4,1
9970,5kdr,E.C.6.4.1.2,6,4,1
