,PDB code,EC number,Class,Subclass,Subsubclass
4,184l,E.C.3.2.1.17,3,2,1
5,185l,E.C.3.2.1.17,3,2,1
6,186l,E.C.3.2.1.17,3,2,1
7,187l,E.C.3.2.1.17,3,2,1
8,188l,E.C.3.2.1.17,3,2,1
15,1a2c,E.C.3.4.21.5,3,4,21
16,1a30,E.C.3.4.23.16,3,4,23
17,1a3e,E.C.3.4.21.5,3,4,21
19,1a46,E.C.3.4.21.5,3,4,21
20,1a4g,E.C.3.2.1.18,3,2,1
21,1a4m,E.C.3.5.4.4,3,5,4
22,1a4q,E.C.3.2.1.18,3,2,1
23,1a4w,E.C.3.4.21.5,3,4,21
25,1a5g,E.C.3.4.21.5,3,4,21
26,1a5h,E.C.3.4.21.68,3,4,21
28,1a61,E.C.3.4.21.5,3,4,21
30,1a7t,E.C.3.5.2.6,3,5,2
32,1a85,E.C.3.4.24.34,3,4,24
33,1a86,E.C.3.4.24.34,3,4,24
35,1a8t,E.C.3.5.2.6,3,5,2
36,1a94,E.C.3.4.23.16,3,4,23
37,1a9m,E.C.3.4.23.16,3,4,23
40,1aaq,E.C.3.4.23.16,3,4,23
41,1acj,E.C.3.1.1.7,3,1,1
42,1ad8,E.C.3.4.21.5,3,4,21
43,1add,E.C.3.5.4.4,3,5,4
45,1af2,E.C.3.5.4.5,3,5,4
46,1afk,E.C.3.1.27.5,3,1,27
47,1afl,E.C.3.1.27.5,3,1,27
48,1agm,E.C.3.2.1.3,3,2,1
50,1aht,E.C.3.4.21.5,3,4,21
53,1ai4,E.C.3.5.1.11,3,5,1
54,1ai5,E.C.3.5.1.11,3,5,1
55,1ai6,E.C.3.5.1.11,3,5,1
56,1ai7,E.C.3.5.1.11,3,5,1
57,1aid,E.C.3.4.23.16,3,4,23
59,1ajn,E.C.3.5.1.11,3,5,1
60,1ajp,E.C.3.5.1.11,3,5,1
61,1ajq,E.C.3.5.1.11,3,5,1
62,1ajv,E.C.3.4.23.16,3,4,23
63,1ajx,E.C.3.4.23.16,3,4,23
66,1alw,E.C.3.4.22.17,3,4,22
68,1amn,E.C.3.1.1.7,3,1,1
71,1apv,E.C.3.4.23.20,3,4,23
72,1apw,E.C.3.4.23.20,3,4,23
