,Datatype,Modeltype,Featuretype,Scoretype,1'%' ligand number:,1'%' success rate:,5'%' ligand number:,5'%' success rate:,10'%' ligand number:,10'%' success rate:
0,all,linearRegression,final,Affinity_Data_Value,4,1.4%,13,4.6%,20,7.0%
1,all,linearRegression,final,pKd_pKi_pIC50,8,2.8%,28,9.8%,53,18.6%
2,all,Ridge,final,delta_G,4,1.4%,12,4.2%,20,7.0%
3,all,Ridge,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
4,all,Ridge,final,pKd_pKi_pIC50,13,4.6%,32,11.2%,54,18.9%
5,all,Lasso,final,delta_G,4,1.4%,12,4.2%,20,7.0%
6,all,Lasso,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
7,all,Lasso,final,pKd_pKi_pIC50,16,5.6%,34,11.9%,54,18.9%
8,all,ElasticNet,final,delta_G,4,1.4%,12,4.2%,20,7.0%
9,all,ElasticNet,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
10,all,ElasticNet,final,pKd_pKi_pIC50,16,5.6%,32,11.2%,54,18.9%
11,all,SVR,final,delta_G,1,0.4%,10,3.5%,22,7.7%
12,all,SVR,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
13,all,SVR,final,pKd_pKi_pIC50,2,0.7%,5,1.8%,14,4.9%
14,all,DecisionTree,final,delta_G,6,2.1%,11,3.9%,22,7.7%
15,all,DecisionTree,final,Affinity_Data_Value,3,1.1%,9,3.2%,23,8.1%
16,all,DecisionTree,final,pKd_pKi_pIC50,3,1.1%,7,2.5%,15,5.3%
17,all,RandomForest,final,delta_G,1,0.4%,14,4.9%,20,7.0%
18,all,RandomForest,final,Affinity_Data_Value,1,0.4%,11,3.9%,27,9.5%
19,all,RandomForest,final,pKd_pKi_pIC50,5,1.8%,17,6.0%,23,8.1%
20,ki,linearRegression,final,delta_G,3,1.1%,11,3.9%,22,7.7%
21,ki,linearRegression,final,Affinity_Data_Value,3,1.1%,10,3.5%,24,8.4%
22,ki,linearRegression,final,pKd_pKi_pIC50,8,2.8%,28,9.8%,49,17.2%
23,ki,Ridge,final,delta_G,4,1.4%,12,4.2%,19,6.7%
24,ki,Ridge,final,Affinity_Data_Value,4,1.4%,12,4.2%,20,7.0%
25,ki,Ridge,final,pKd_pKi_pIC50,17,6.0%,32,11.2%,53,18.6%
26,ki,Lasso,final,delta_G,4,1.4%,12,4.2%,20,7.0%
27,ki,Lasso,final,Affinity_Data_Value,4,1.4%,12,4.2%,20,7.0%
28,ki,Lasso,final,pKd_pKi_pIC50,16,5.6%,33,11.6%,53,18.6%
29,ki,ElasticNet,final,delta_G,4,1.4%,12,4.2%,19,6.7%
30,ki,ElasticNet,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
31,ki,ElasticNet,final,pKd_pKi_pIC50,17,6.0%,32,11.2%,51,17.9%
32,ki,SVR,final,delta_G,3,1.1%,10,3.5%,23,8.1%
33,ki,SVR,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
34,ki,SVR,final,pKd_pKi_pIC50,3,1.1%,10,3.5%,20,7.0%
35,ki,DecisionTree,final,delta_G,3,1.1%,13,4.6%,28,9.8%
36,ki,DecisionTree,final,Affinity_Data_Value,4,1.4%,13,4.6%,29,10.2%
37,ki,DecisionTree,final,pKd_pKi_pIC50,4,1.4%,11,3.9%,27,9.5%
38,ki,RandomForest,final,delta_G,8,2.8%,11,3.9%,22,7.7%
39,ki,RandomForest,final,Affinity_Data_Value,4,1.4%,13,4.6%,25,8.8%
40,ki,RandomForest,final,pKd_pKi_pIC50,1,0.4%,9,3.2%,18,6.3%
41,kd,linearRegression,final,delta_G,5,1.8%,11,3.9%,22,7.7%
42,kd,linearRegression,final,Affinity_Data_Value,6,2.1%,15,5.3%,25,8.8%
43,kd,linearRegression,final,pKd_pKi_pIC50,6,2.1%,20,7.0%,39,13.7%
44,kd,Ridge,final,delta_G,4,1.4%,12,4.2%,20,7.0%
45,kd,Ridge,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
46,kd,Ridge,final,pKd_pKi_pIC50,13,4.6%,32,11.2%,57,20.0%
47,kd,Lasso,final,delta_G,4,1.4%,12,4.2%,19,6.7%
48,kd,Lasso,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
49,kd,Lasso,final,pKd_pKi_pIC50,16,5.6%,35,12.3%,53,18.6%
50,kd,ElasticNet,final,delta_G,4,1.4%,12,4.2%,19,6.7%
51,kd,ElasticNet,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
52,kd,ElasticNet,final,pKd_pKi_pIC50,16,5.6%,35,12.3%,55,19.3%
53,kd,SVR,final,delta_G,4,1.4%,11,3.9%,26,9.1%
54,kd,SVR,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
55,kd,SVR,final,pKd_pKi_pIC50,2,0.7%,5,1.8%,13,4.6%
56,kd,DecisionTree,final,delta_G,4,1.4%,10,3.5%,26,9.1%
57,kd,DecisionTree,final,Affinity_Data_Value,2,0.7%,11,3.9%,27,9.5%
58,kd,DecisionTree,final,pKd_pKi_pIC50,3,1.1%,10,3.5%,24,8.4%
59,kd,RandomForest,final,delta_G,5,1.8%,14,4.9%,23,8.1%
60,kd,RandomForest,final,Affinity_Data_Value,3,1.1%,6,2.1%,26,9.1%
61,kd,RandomForest,final,pKd_pKi_pIC50,1,0.4%,6,2.1%,14,4.9%
