#Target	enrichment
5c2h	0.0
3uri	2.0
4rfm	1.25
4ty7	0.0
4agq	2.0
5dwr	0.0
4twp	1.1111111111111112
3u8n	1.6666666666666667
3o9i	2.8571428571428568
3p5o	0.0
3ejr	0.0
3ebp	0.0
2vvn	0.0
3arp	0.0
3gnw	2.0
1e66	0.0
3f3e	2.0
2cet	0.0
4gid	0.0
4pcs	0.0
3ge7	4.0
3e93	0.0
3qqs	0.0
2r9w	0.0
2qbp	0.0
3ag9	1.6666666666666667
4tmn	0.0
3coy	0.0
2fvd	1.4285714285714284
4ivc	2.2222222222222223
4jia	1.0
1nvq	2.2222222222222223
2zcq	0.0
3utu	2.0
2p4y	1.1111111111111112
3myg	0.0
1sqa	0.0
3dd0	0.0
2yki	1.4285714285714284
3g0w	1.6666666666666667
2al5	0.0
4de1	0.0
3fv1	0.0
2p15	6.0
1mq6	0.0
4f3c	0.0
1o3f	0.0
2vw5	0.0
3kr8	0.0
2x00	1.6666666666666667
3nw9	0.0
3zso	0.0
2xb8	0.0
4w9h	2.0
3uex	0.0
4gr0	0.0
1u1b	0.0
