,Datatype,Modeltype,Featuretype,Scoretype,1'%' ligand number:,1'%' success rate:,5'%' ligand number:,5'%' success rate:,10'%' ligand number:,10'%' success rate:
0,all,linearRegression,final,delta_G,8,2.8%,29,10.2%,51,17.9%
1,all,linearRegression,final,Affinity_Data_Value,6,2.1%,19,6.7%,48,16.8%
2,all,linearRegression,final,pKd_pKi_pIC50,3,1.1%,10,3.5%,21,7.4%
3,all,Ridge,final,delta_G,11,3.9%,34,11.9%,54,18.9%
4,all,Ridge,final,Affinity_Data_Value,14,4.9%,32,11.2%,55,19.3%
5,all,Ridge,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,20,7.0%
6,all,Lasso,final,delta_G,13,4.6%,32,11.2%,52,18.2%
7,all,Lasso,final,Affinity_Data_Value,15,5.3%,34,11.9%,55,19.3%
8,all,Lasso,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,20,7.0%
9,all,ElasticNet,final,delta_G,12,4.2%,33,11.6%,52,18.2%
10,all,ElasticNet,final,Affinity_Data_Value,15,5.3%,34,11.9%,58,20.4%
11,all,ElasticNet,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,20,7.0%
12,all,SVR,final,delta_G,5,1.8%,11,3.9%,21,7.4%
13,all,SVR,final,Affinity_Data_Value,18,6.3%,31,10.9%,55,19.3%
14,all,SVR,final,pKd_pKi_pIC50,5,1.8%,10,3.5%,16,5.6%
15,all,DecisionTree,final,delta_G,2,0.7%,10,3.5%,18,6.3%
16,all,DecisionTree,final,Affinity_Data_Value,5,1.8%,13,4.6%,27,9.5%
17,all,DecisionTree,final,pKd_pKi_pIC50,4,1.4%,14,4.9%,22,7.7%
18,all,RandomForest,final,delta_G,1,0.4%,8,2.8%,22,7.7%
19,all,RandomForest,final,Affinity_Data_Value,8,2.8%,16,5.6%,27,9.5%
20,all,RandomForest,final,pKd_pKi_pIC50,7,2.5%,18,6.3%,29,10.2%
21,ki,linearRegression,final,Affinity_Data_Value,10,3.5%,33,11.6%,53,18.6%
22,ki,linearRegression,final,pKd_pKi_pIC50,3,1.1%,10,3.5%,20,7.0%
23,ki,Ridge,final,delta_G,17,6.0%,32,11.2%,52,18.2%
24,ki,Ridge,final,Affinity_Data_Value,13,4.6%,31,10.9%,50,17.5%
25,ki,Ridge,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,19,6.7%
26,ki,Lasso,final,delta_G,16,5.6%,35,12.3%,53,18.6%
27,ki,Lasso,final,Affinity_Data_Value,15,5.3%,34,11.9%,54,18.9%
28,ki,Lasso,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,19,6.7%
29,ki,ElasticNet,final,delta_G,18,6.3%,32,11.2%,52,18.2%
30,ki,ElasticNet,final,Affinity_Data_Value,14,4.9%,32,11.2%,56,19.6%
31,ki,ElasticNet,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,19,6.7%
32,ki,SVR,final,delta_G,6,2.1%,11,3.9%,20,7.0%
33,ki,SVR,final,Affinity_Data_Value,19,6.7%,32,11.2%,50,17.5%
34,ki,SVR,final,pKd_pKi_pIC50,5,1.8%,9,3.2%,17,6.0%
35,ki,DecisionTree,final,delta_G,5,1.8%,13,4.6%,29,10.2%
36,ki,DecisionTree,final,Affinity_Data_Value,4,1.4%,12,4.2%,30,10.5%
37,ki,DecisionTree,final,pKd_pKi_pIC50,2,0.7%,6,2.1%,18,6.3%
38,ki,RandomForest,final,delta_G,7,2.5%,9,3.2%,20,7.0%
39,ki,RandomForest,final,Affinity_Data_Value,6,2.1%,20,7.0%,32,11.2%
40,ki,RandomForest,final,pKd_pKi_pIC50,1,0.4%,7,2.5%,17,6.0%
41,kd,linearRegression,final,delta_G,6,2.1%,21,7.4%,39,13.7%
42,kd,linearRegression,final,Affinity_Data_Value,2,0.7%,25,8.8%,50,17.5%
43,kd,linearRegression,final,pKd_pKi_pIC50,6,2.1%,10,3.5%,23,8.1%
44,kd,Ridge,final,delta_G,12,4.2%,33,11.6%,56,19.6%
45,kd,Ridge,final,Affinity_Data_Value,16,5.6%,39,13.7%,56,19.6%
46,kd,Ridge,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,20,7.0%
47,kd,Lasso,final,delta_G,15,5.3%,34,11.9%,55,19.3%
48,kd,Lasso,final,Affinity_Data_Value,15,5.3%,34,11.9%,56,19.6%
49,kd,Lasso,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,19,6.7%
50,kd,ElasticNet,final,delta_G,15,5.3%,35,12.3%,56,19.6%
51,kd,ElasticNet,final,Affinity_Data_Value,18,6.3%,34,11.9%,53,18.6%
52,kd,ElasticNet,final,pKd_pKi_pIC50,4,1.4%,12,4.2%,19,6.7%
53,kd,SVR,final,delta_G,6,2.1%,10,3.5%,23,8.1%
54,kd,SVR,final,Affinity_Data_Value,19,6.7%,35,12.3%,56,19.6%
55,kd,SVR,final,pKd_pKi_pIC50,4,1.4%,13,4.6%,24,8.4%
56,kd,DecisionTree,final,delta_G,2,0.7%,12,4.2%,23,8.1%
57,kd,DecisionTree,final,Affinity_Data_Value,6,2.1%,13,4.6%,32,11.2%
58,kd,DecisionTree,final,pKd_pKi_pIC50,4,1.4%,9,3.2%,22,7.7%
59,kd,RandomForest,final,delta_G,7,2.5%,13,4.6%,25,8.8%
60,kd,RandomForest,final,Affinity_Data_Value,3,1.1%,10,3.5%,18,6.3%
