#Target	enrichment
5c2h	0.0
3uri	8.0
4rfm	3.75
4ty7	8.0
4agq	0.0
5dwr	1.6666666666666667
4twp	2.2222222222222223
3u8n	0.0
3o9i	8.571428571428571
3p5o	0.0
3ejr	0.0
3ebp	0.0
2vvn	0.0
3arp	0.0
3gnw	2.0
1e66	0.0
3f3e	0.0
2cet	0.0
4gid	3.3333333333333335
4pcs	0.0
3ge7	0.0
3e93	2.0
3qqs	0.0
2r9w	0.0
2qbp	2.0
3ag9	0.0
4tmn	0.0
3coy	0.0
2fvd	0.0
4ivc	1.1111111111111112
4jia	1.0
1nvq	2.2222222222222223
2zcq	0.0
3utu	2.0
2p4y	2.2222222222222223
3myg	2.2222222222222223
1sqa	0.0
3dd0	0.0
2yki	1.4285714285714284
3g0w	0.0
2al5	0.0
4de1	0.0
3fv1	0.0
2p15	2.0
1mq6	3.3333333333333335
4f3c	0.0
1o3f	0.0
2vw5	0.0
3kr8	0.0
2x00	1.6666666666666667
3nw9	2.0
3zso	1.25
2xb8	0.0
4w9h	2.0
3uex	0.0
4gr0	4.0
1u1b	0.0
