,Datatype,Modeltype,Featuretype,Scoretype,1'%' ligand number:,1'%' success rate:,5'%' ligand number:,5'%' success rate:,10'%' ligand number:,10'%' success rate:
0,all,linearRegression,final,delta_G,5,1.8%,10,3.5%,22,7.7%
1,all,linearRegression,final,Affinity_Data_Value,4,1.4%,13,4.6%,20,7.0%
2,all,linearRegression,final,pKd_pKi_pIC50,8,2.8%,28,9.8%,53,18.6%
3,all,Ridge,final,delta_G,4,1.4%,12,4.2%,20,7.0%
4,all,Ridge,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
5,all,Ridge,final,pKd_pKi_pIC50,13,4.6%,32,11.2%,54,18.9%
6,all,Lasso,final,delta_G,4,1.4%,12,4.2%,20,7.0%
7,all,Lasso,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
8,all,Lasso,final,pKd_pKi_pIC50,16,5.6%,34,11.9%,54,18.9%
9,all,ElasticNet,final,delta_G,4,1.4%,12,4.2%,20,7.0%
10,all,ElasticNet,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
11,all,ElasticNet,final,pKd_pKi_pIC50,16,5.6%,32,11.2%,54,18.9%
12,all,SVR,final,delta_G,1,0.4%,10,3.5%,22,7.7%
13,all,SVR,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
14,all,SVR,final,pKd_pKi_pIC50,2,0.7%,5,1.8%,14,4.9%
15,all,DecisionTree,final,delta_G,4,1.4%,15,5.3%,29,10.2%
16,all,DecisionTree,final,Affinity_Data_Value,4,1.4%,8,2.8%,24,8.4%
17,all,DecisionTree,final,pKd_pKi_pIC50,3,1.1%,6,2.1%,13,4.6%
18,all,RandomForest,final,delta_G,1,0.4%,14,4.9%,20,7.0%
19,all,RandomForest,final,Affinity_Data_Value,1,0.4%,11,3.9%,27,9.5%
20,all,RandomForest,final,pKd_pKi_pIC50,5,1.8%,17,6.0%,23,8.1%
21,ki,linearRegression,final,delta_G,3,1.1%,11,3.9%,22,7.7%
22,ki,linearRegression,final,Affinity_Data_Value,3,1.1%,10,3.5%,24,8.4%
23,ki,linearRegression,final,pKd_pKi_pIC50,8,2.8%,28,9.8%,49,17.2%
24,ki,Ridge,final,delta_G,4,1.4%,12,4.2%,19,6.7%
25,ki,Ridge,final,Affinity_Data_Value,4,1.4%,12,4.2%,20,7.0%
26,ki,Ridge,final,pKd_pKi_pIC50,17,6.0%,32,11.2%,53,18.6%
27,ki,Lasso,final,delta_G,4,1.4%,12,4.2%,20,7.0%
28,ki,Lasso,final,Affinity_Data_Value,4,1.4%,12,4.2%,20,7.0%
29,ki,Lasso,final,pKd_pKi_pIC50,16,5.6%,33,11.6%,53,18.6%
30,ki,ElasticNet,final,delta_G,4,1.4%,12,4.2%,19,6.7%
31,ki,ElasticNet,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
32,ki,ElasticNet,final,pKd_pKi_pIC50,17,6.0%,32,11.2%,51,17.9%
33,ki,SVR,final,delta_G,3,1.1%,10,3.5%,23,8.1%
34,ki,SVR,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
35,ki,SVR,final,pKd_pKi_pIC50,3,1.1%,10,3.5%,20,7.0%
36,ki,DecisionTree,final,delta_G,4,1.4%,20,7.0%,34,11.9%
37,ki,DecisionTree,final,Affinity_Data_Value,3,1.1%,14,4.9%,25,8.8%
38,ki,DecisionTree,final,pKd_pKi_pIC50,9,3.2%,18,6.3%,30,10.5%
39,ki,RandomForest,final,delta_G,8,2.8%,11,3.9%,22,7.7%
40,ki,RandomForest,final,Affinity_Data_Value,4,1.4%,13,4.6%,25,8.8%
41,ki,RandomForest,final,pKd_pKi_pIC50,1,0.4%,9,3.2%,18,6.3%
42,kd,linearRegression,final,delta_G,5,1.8%,11,3.9%,22,7.7%
43,kd,linearRegression,final,Affinity_Data_Value,6,2.1%,15,5.3%,25,8.8%
44,kd,linearRegression,final,pKd_pKi_pIC50,6,2.1%,20,7.0%,39,13.7%
45,kd,Ridge,final,delta_G,4,1.4%,12,4.2%,20,7.0%
46,kd,Ridge,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
47,kd,Ridge,final,pKd_pKi_pIC50,13,4.6%,32,11.2%,57,20.0%
48,kd,Lasso,final,delta_G,4,1.4%,12,4.2%,19,6.7%
49,kd,Lasso,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
50,kd,Lasso,final,pKd_pKi_pIC50,16,5.6%,35,12.3%,53,18.6%
51,kd,ElasticNet,final,delta_G,4,1.4%,12,4.2%,19,6.7%
52,kd,ElasticNet,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
53,kd,ElasticNet,final,pKd_pKi_pIC50,16,5.6%,35,12.3%,55,19.3%
54,kd,SVR,final,delta_G,4,1.4%,11,3.9%,26,9.1%
55,kd,SVR,final,Affinity_Data_Value,4,1.4%,12,4.2%,19,6.7%
56,kd,SVR,final,pKd_pKi_pIC50,2,0.7%,5,1.8%,13,4.6%
57,kd,DecisionTree,final,delta_G,3,1.1%,6,2.1%,22,7.7%
58,kd,DecisionTree,final,Affinity_Data_Value,4,1.4%,13,4.6%,25,8.8%
59,kd,DecisionTree,final,pKd_pKi_pIC50,6,2.1%,14,4.9%,25,8.8%
60,kd,RandomForest,final,delta_G,5,1.8%,14,4.9%,23,8.1%
61,kd,RandomForest,final,Affinity_Data_Value,3,1.1%,6,2.1%,26,9.1%
62,kd,RandomForest,final,pKd_pKi_pIC50,1,0.4%,6,2.1%,14,4.9%
