     code     1     2     3     4     5     6
1    4llx  3f3e  4f3c  4gr0  3kr8  1e66  3nw9
2    5c28  3u8n  4f3c  3kr8  3f3e  2p4y  2al5
3    3uuo  3u8n  3g0w  1e66  2yki  4rfm  4f3c
4    3ui7  3g0w  1e66  3u8n  3kr8  4rfm  2yki
5    5c2h  1e66  3g0w  2p15  3coy  3uex  2zcq
6    2v00  4f3c  3u8n  1e66  3kr8  4gr0  2al5
7    3wz8  3g0w  2p15  2yki  1e66  2zcq  2p4y
8    3pww  2p15  1e66  3coy  3g0w  3e93  2p4y
9    3prs  1e66  2p15  2zcq  2p4y  2yki  4rfm
10   3uri  1e66  2zcq  2p15  2yki  3coy  2p4y
11   4m0z  3u8n  1e66  3g0w  3kr8  4f3c  2yki
12   4m0y  3u8n  3g0w  3kr8  1e66  4f3c  2yki
13   3qgy  2p15  1e66  3kr8  3g0w  2yki  2zcq
14   4qd6  2p15  1e66  2p4y  3g0w  4rfm  2zcq
15   4rfm  2p15  3g0w  2yki  3coy  3nw9  1e66
16   4cr9  3u8n  4f3c  3kr8  4gr0  2yki  3f3e
17   4cra  2p15  1e66  3g0w  2p4y  3e93  4gr0
18   4x6p  2p15  1e66  3g0w  2yki  2zcq  2p4y
19   4crc  1e66  2p15  2yki  3g0w  2p4y  3e93
20   4ty7  2p15  1e66  3g0w  2yki  4f3c  3e93
21   5aba  3g0w  3kr8  2xb8  2x00  4f3c  3uex
22   5a7b  2p15  2p4y  4f3c  1e66  2yki  3g0w
23   4agn  4gr0  1e66  3nw9  3g0w  4f3c  2yki
24   4agp  2yki  1e66  2p15  4f3c  3g0w  4rfm
25   4agq  1e66  2p15  2p4y  3g0w  2yki  3e93
26   3bgz  2yki  3g0w  3u8n  2zcq  1e66  3uex
27   3jya  3u8n  4gr0  2p4y  3kr8  1e66  2al5
28   2c3i  3kr8  3g0w  4gr0  4f3c  1e66  3u8n
29   4k18  3kr8  3g0w  2p15  1e66  4rfm  2yki
30   5dwr  3u8n  3g0w  2p15  1e66  2yki  3arp
31   3mss  3g0w  2yki  4f3c  1e66  2xb8  4gr0
32   3k5v  3u8n  2yki  3kr8  4gr0  3g0w  3e93
33   3pyy  3g0w  4f3c  3kr8  1e66  2vvn  3u8n
34   2v7a  2p15  3kr8  1e66  3u8n  2yki  4f3c
35   4twp  2p15  2yki  4gr0  3kr8  1e66  3g0w
36   3wtj  4f3c  3kr8  2vvn  2yki  3nw9  3u8n
37   3zdg  4gr0  3u8n  3kr8  2al5  4f3c  3f3e
38   3u8k  3u8n  4f3c  3kr8  4gr0  2xb8  1e66
39   4qac  2yki  3g0w  3kr8  4f3c  4gr0  1e66
40   3u8n  3u8n  4f3c  3kr8  3nw9  4gr0  2xb8
41   1a30  4f3c  3kr8  3g0w  3u8n  3nw9  2xb8
42   2qnq  2p15  1e66  3g0w  2zcq  2p4y  2x00
43   1g2k  1e66  2p15  2p4y  3g0w  2zcq  2x00
44   1eby  1e66  2p15  2p4y  3e93  4gid  3g0w
45   3o9i  1e66  2p15  3u8n  3e93  3g0w  2zcq
46   4lzs  4gr0  3kr8  3u8n  2al5  4f3c  1e66
47   3u5j  1e66  3g0w  4f3c  4rfm  2xb8  3u8n
48   4wiv  3g0w  2yki  3kr8  2p15  1e66  4gr0
49   4ogj  2p15  1e66  2p4y  2yki  3g0w  2zcq
50   3p5o  1e66  4rfm  3kr8  3g0w  4f3c  2p15
51   1ps3  3utu  1mq6  4gr0  3f3e  3kr8  1sqa
52   3dx1  3f3e  3kr8  4gr0  4f3c  2cet  3u8n
53   3d4z  3utu  4gr0  1mq6  3kr8  4f3c  1sqa
54   3dx2  3f3e  3kr8  4gr0  3u8n  3nw9  1mq6
55   3ejr  1e66  3g0w  3kr8  4f3c  2xb8  2yki
56   3l7b  4f3c  4gr0  3kr8  2al5  3fv1  3nw9
57   4eky  4gr0  3nw9  3kr8  3g0w  4rfm  1e66
58   3g2n  3kr8  4f3c  1e66  3g0w  2xb8  2vvn
59   3syr  3kr8  4gr0  4f3c  3u8n  3nw9  3fv1
60   3ebp  1e66  3kr8  3g0w  4f3c  4rfm  2p15
61   2w66  2vvn  4f3c  4gr0  3kr8  3u8n  2xb8
62   2w4x  4gr0  3kr8  2al5  4f3c  3u8n  2vvn
63   2wca  1e66  3g0w  2yki  2p15  3kr8  4f3c
64   2xj7  3kr8  2vvn  4f3c  4gr0  3u8n  2al5
65   2vvn  4gr0  2vvn  3kr8  3u8n  4f3c  2yki
66   3aru  4gr0  3kr8  3u8n  4f3c  2vvn  1e66
67   3arv  4gr0  3g0w  2yki  2xb8  3kr8  1e66
68   3ary  3kr8  4gr0  3u8n  2xb8  3g0w  1e66
69   3arq  1e66  2p15  3g0w  2yki  2p4y  4f3c
70   3arp  2p15  1e66  2yki  2p4y  3g0w  4f3c
71   4ih5  3u8n  4f3c  3kr8  2yki  4gr0  1e66
72   4ih7  3u8n  4f3c  3kr8  3uex  3g0w  4rfm
73   3cj4  3g0w  3u8n  1e66  2zcq  4f3c  3kr8
74   4eo8  4f3c  1e66  3g0w  2p15  4rfm  3u8n
75   3gnw  1e66  2zcq  2p15  3arp  2p4y  3coy
76   1gpk  3f3e  3u8n  4f3c  3g0w  1e66  3fv1
77   1gpn  3f3e  3u8n  1e66  4rfm  3fv1  4f3c
78   1h23  1e66  2p15  2yki  2p4y  3g0w  3u8n
79   1h22  2p15  2yki  1e66  3g0w  2p4y  2zcq
80   1e66  3u8n  4f3c  1e66  3kr8  4rfm  2xb8
81   3f3a  4f3c  3u8n  2al5  3kr8  4gr0  3f3e
82   3f3c  3f3e  3u8n  2al5  3kr8  4gr0  4f3c
83   4mme  4f3c  3g0w  4rfm  2yki  2xb8  1e66
84   3f3d  3f3e  3kr8  2al5  2vvn  3u8n  4f3c
85   3f3e  3f3e  4f3c  3kr8  3u8n  4pcs  1e66
86   2wbg  1e66  3g0w  4gr0  4f3c  2xb8  3u8n
87   2cbv  3f3e  2cet  4gr0  3u8n  3kr8  1e66
88   2j78  3utu  4gr0  3f3e  1mq6  3kr8  4f3c
89   2j7h  3f3e  4f3c  4gr0  1mq6  3kr8  2cet
90   2cet  1e66  3kr8  3g0w  4gr0  2vvn  2xb8
91   3udh  4f3c  3f3e  3u8n  3kr8  4rfm  2p4y
92   3rsx  3u8n  4f3c  2yki  3kr8  4gr0  3uex
93   4djv  4f3c  3g0w  1e66  2p15  2yki  2zcq
94   2vkm  1e66  2p15  2p4y  2yki  3arp  3g0w
95   4gid  2p4y  1e66  2yki  4gid  3coy  2p15
