,Datatype,Modeltype,Featuretype,Scoretype,Top 1'%' average enrichment factor:,Top 5'%' average enrichment factor:,Top 10'%' average enrichment factor:,1'%' cluster number:,1'%' success rate:,5'%' cluster number:,5'%' success rate:,10'%' cluster number:,10'%' success rate:
0,all,linearRegression,final,delta_G,"3.16
","1.26
","0.96
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
1,all,linearRegression,final,Affinity_Data_Value,"2.81
","1.30
","0.98
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
2,all,linearRegression,final,pKd_pKi_pIC50,"0.35
","1.06
","1.03
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
3,all,Ridge,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
4,all,Ridge,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
5,all,Ridge,final,pKd_pKi_pIC50,"0.60
","1.08
","1.14
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
6,all,Lasso,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
7,all,Lasso,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
8,all,Lasso,final,pKd_pKi_pIC50,"0.95
","0.96
","1.12
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
9,all,ElasticNet,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
10,all,ElasticNet,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
11,all,ElasticNet,final,pKd_pKi_pIC50,"0.95
","0.96
","1.12
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
12,all,SVR,final,delta_G,"0.70
","1.04
","1.09
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
