,PDB code,EC number,Class,Subclass,Subsubclass
227,1ch8,E.C.6.3.4.4,6,3,4
770,1juy,E.C.6.3.4.4,6,3,4
1340,1qf4,E.C.6.3.4.4,6,3,4
1341,1qf5,E.C.6.3.4.4,6,3,4
1997,2ad5,E.C.6.3.4.2,6,3,4
3123,2v58,E.C.6.3.4.14,6,3,4
3124,2v59,E.C.6.3.4.14,6,3,4
3125,2v5a,E.C.6.3.4.14,6,3,4
3249,2w6m,E.C.6.3.4.14,6,3,4
3250,2w6n,E.C.6.3.4.14,6,3,4
3251,2w6o,E.C.6.3.4.14,6,3,4
3252,2w6p,E.C.6.3.4.14,6,3,4
3253,2w6q,E.C.6.3.4.14,6,3,4
3254,2w6z,E.C.6.3.4.14,6,3,4
3255,2w70,E.C.6.3.4.14,6,3,4
3256,2w71,E.C.6.3.4.14,6,3,4
4138,3efr,E.C.6.3.4.15,6,3,4
4139,3efs,E.C.6.3.4.15,6,3,4
4712,3jzf,E.C.6.3.4.14,6,3,4
4713,3jzi,E.C.6.3.4.14,6,3,4
5588,3rup,E.C.6.3.4.14,6,3,4
5589,3rux,E.C.6.3.4.15,6,3,4
5590,3rv3,E.C.6.3.4.14,6,3,4
5591,3rv4,E.C.6.3.4.14,6,3,4
6729,4dq2,E.C.6.3.4.15,6,3,4
8661,4wf2,E.C.6.3.4.15,6,3,4
8810,4xtv,E.C.6.3.4.15,6,3,4
8811,4xtw,E.C.6.3.4.15,6,3,4
8812,4xtx,E.C.6.3.4.15,6,3,4
8813,4xty,E.C.6.3.4.15,6,3,4
8814,4xtz,E.C.6.3.4.15,6,3,4
8815,4xu0,E.C.6.3.4.15,6,3,4
8816,4xu1,E.C.6.3.4.15,6,3,4
8817,4xu2,E.C.6.3.4.15,6,3,4
8818,4xu3,E.C.6.3.4.15,6,3,4
10946,6pk7,E.C.6.3.4.2,6,3,4
