## The subset H2 of PDBbind core set v.2016, latest update: Nov 2016
### A total of 95 complexes in 19 clusters
### PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
###===============================================================================
#code   reso     year    logKa    Ka        target dSAS     VOL       HScale   GSAS  GVOL  GHScale
4llx    1.75     2014    2.89     Ki=1300uM   1    0.70     180.5     0.52     S2    V3    H2
5c28    1.56     2015    5.66     Ki=2.2uM    1    0.78     245.1     0.43     S2    V3    H2
3uuo    2.11     2012    7.96     Ki=11nM     1    0.61     250.1     0.41     S2    V3    H2
3ui7    2.28     2011    9.00     Ki=1nM      1    0.70     307.8     0.34     S2    V3    H2
5c2h    2.09     2015   112.9     Ki=8.2pM    1    0.74     466.2    -0.15     S2    V3    H2
2v00    1.55     2007    3.66     Kd=0.22mM   2    0.71     264.5    -0.49     S1    V3    H2
3wz8    1.45     2015    5.82     Ki=1.5uM    2    0.68     365.2    -0.36     S1    V3    H2
3pww    1.22     2011    7.32     Ki=48nM     2    0.67     472.6    -0.19     S1    V3    H2
3prs    1.38     2011    7.82     Ki=15nM     2    0.69     506.0    -0.25     S1    V3    H2
3uri    2.10     2012    9.00     Ki=1nM      2    0.53     448.5    -0.09     S1    V3    H2
1a30    2.00     1998    4.30     Ki=50uM     9    0.75     368.5    -0.31     S3    V3    H2
2qnq    2.30     2008    6.11     Ki=0.77uM   9    0.84     596.0    -0.27     S3    V3    H2
1g2k    1.95     2001    7.96     Ki=11nM     9    0.80     627.5    -0.38     S3    V3    H2
1eby    2.29     2002    9.70     Ki=0.20nM   9    0.87     717.0    -0.34     S3    V3    H2
3o9i    1.45     2011   11.82     Ki=1.5pM    9    0.85     636.4    -0.29     S3    V3    H2
2w66    2.27     2009    4.05     Ki=89uM    13    0.92     298.5    -0.26     S3    V1    H2
2w4x    2.42     2009    4.85     Kd=14uM    13    0.81     283.1     0.03     S3    V1    H2
2wca    2.30     2009    5.60     Ki=2.5uM   13    0.63     284.8     0.18     S3    V1    H2
2xj7    2.00     2010    6.66     Ki=220nM   13    0.93     322.8    -0.26     S3    V1    H2
2vvn    1.85     2008    7.30     Kd=50nM    13    0.94     338.5    -0.25     S3    V1    H2
4ih5    1.90     2013    4.11     Kd=78uM    15    0.73     252.2    -0.02     S1    V2    H2
4ih7    2.30     2013    5.24     Kd=5.8uM   15    0.77     289.8    -0.05     S1    V2    H2
3cj4    2.07     2008    6.51     Kd=0.31uM  15    0.62     201.8    -0.02     S1    V2    H2
4eo8    1.80     2012    8.15     Kd=7nM     15    0.63     267.2     0.30     S1    V2    H2
3gnw    2.39     2009    9.10     Kd=0.79nM  15    0.68     428.8    -0.26     S1    V2    H2
2wbg    1.85     2009    4.45     Ki=35.2uM  18    0.69     290.6    -0.11     S2    V1    H2
2cbv    1.95     2006    5.48     Kd=3.3uM   18    0.90     215.9    -0.19     S2    V1    H2
2j78    1.65     2006    6.42     Kd=384nM   18    0.88     243.1    -0.19     S2    V1    H2
2j7h    1.95     2006    7.19     Kd=65nM    18    0.91     208.0    -0.19     S2    V1    H2
2cet    1.97     2006    8.02     Kd=9.6nM   18    0.76     338.2    -0.22     S2    V1    H2
3udh    1.70     2012    2.85     Kd=1.4mM   19    0.76     221.5    -0.13     S3    V3    H2
3rsx    2.48     2011    4.41     Kd=38.8uM  19    0.74     214.4    -0.53     S3    V3    H2
4djv    1.73     2012    6.72     Ki=0.19uM  19    0.74     342.0    -0.05     S3    V3    H2
2vkm    2.05     2008    8.74     Ki=1.8nM   19    0.81     730.1    -0.20     S3    V3    H2
4gid    2.00     2012   10.77     Ki=0.017nM 19    0.84     775.9    -0.25     S3    V3    H2
4jfs    2.00     2013    5.27     Ki=5.4uM   20    0.67     209.1    -0.25     S1    V1    H2
4j28    1.73     2013    5.70     Ki=2.0uM   20    0.66     183.8    -0.12     S1    V1    H2
2wvt    1.80     2010    6.12     Kd=755nM   20    0.87     216.1    -0.17     S1    V1    H2
2xii    1.80     2010    7.20     Kd=63.3nM  20    0.70     265.4    -0.17     S1    V1    H2
4pcs    1.77     2014    7.85     Ki=14nM    20    0.65     188.8    -0.25     S1    V1    H2
3rr4    1.68     2012    4.55     Ki=28.05uM 21    0.79     273.6    -0.20     S2    V2    H2
1s38    1.81     2004    5.15     Ki=7.0uM   21    0.88     250.4    -0.30     S2    V2    H2
1r5y    1.20     2004    6.46     Ki=0.35uM  21    0.90     232.6    -0.24     S2    V2    H2
3gc5    1.40     2009    7.26     Ki=55nM    21    0.84     315.8    -0.29     S2    V2    H2
3ge7    1.50     2009    8.70     Ki=2nM     21    0.82     415.9    -0.26     S2    V2    H2
3gv9    1.80     2009    2.12     Ki=7.5mM   24    0.74     194.8    -0.20     S1    V1    H2
3gr2    1.80     2009    2.52     Ki=3mM     24    0.56     112.9    -0.22     S1    V1    H2
4kz6    1.68     2014    3.10     Ki=0.8mM   24    0.67     207.1    -0.09     S1    V1    H2
4jxs    1.90     2014    4.74     Ki=18uM    24    0.68     274.2    -0.24     S1    V1    H2
2r9w    1.80     2008    5.10     Ki=8uM     24    0.58     213.4    -0.31     S1    V1    H2
1q8t    2.00     2003    4.76     Kd=17.5uM  26    0.77     362.6    -0.39     S2    V3    H2
1ydr    2.20     1997    5.52     Ki=3.0uM   26    0.82     366.6    -0.24     S2    V3    H2
1q8u    1.90     2003    5.96     Kd=1.1uM   26    0.80     386.6    -0.27     S2    V3    H2
1ydt    2.30     1997    7.32     Ki=48nM    26    0.82     501.9    -0.31     S2    V3    H2
3ag9    2.00     2010    8.05     Ki=9nM     26    0.47     435.8    -0.46     S2    V3    H2
3fcq    1.75     2009    2.77     Ki=1.7mM   27    0.79     218.9    -0.35     S1    V2    H2
1z9g    1.70     2005    5.64     Ki=2.3uM   27    0.75     267.4    -0.21     S1    V2    H2
1qf1    2.00     1999    7.32     Ki=48nM    27    0.73     339.9    -0.22     S1    V2    H2
5tmn    1.60     1989    8.04     Ki=9.1nM   27    0.65     353.6    -0.19     S1    V2    H2
4tmn    1.70     1989   10.17     Ki=0.068nM 27    0.69     449.9    -0.24     S1    V2    H2
3acw    1.63     2010    4.76     Ki=17.5uM  33    0.84     441.1     0.23     S2    V3    H2
4ea2    2.05     2012    6.44     Ki=0.36uM  33    0.83     486.1     0.05     S2    V3    H2
2zcr    1.92     2008    6.87     Ki=135nM   33    0.77     528.8    -0.24     S2    V3    H2
2zy1    1.78     2009    7.40     Ki=0.04uM  33    0.74     455.1    -0.03     S2    V3    H2
2zcq    2.38     2008    8.82     Ki=1.5nM   33    0.78     452.6    -0.33     S2    V3    H2
3uo4    2.45     2012    6.52     Kd=299nM   36    0.75     385.6    -0.36     S2    V2    H2
3up2    2.30     2012    7.40     Kd=40nM    36    0.80     394.5    -0.58     S2    V2    H2
3e5a    2.30     2008    8.23     Ki=5.9nM   36    0.74     436.1    -0.32     S2    V2    H2
2wtv    2.40     2010    8.74     Ki=1.8nM   36    0.73     430.1    -0.55     S2    V2    H2
3myg    2.40     2010   10.70     Kd=0.02nM  36    0.66     324.9    -0.43     S2    V2    H2
4u4s    1.90     2014    2.92     Kd=1200uM  41    0.87     272.9    -0.24     S3    V1    H2
1p1q    2.00     2003    4.89     Kd=12.8uM  41    0.91     253.9    -0.29     S3    V1    H2
1syi    2.10     2005    5.44     Ki=3590nM  41    0.94     317.1    -0.22     S3    V1    H2
1p1n    1.60     2003    6.80     Kd=0.16uM  41    0.85     308.4    -0.30     S3    V1    H2
