,Datatype,Modeltype,Featuretype,Scoretype,Spearman correlation coefficient (SP),Scipy Spearman correlation coefficent (SP),Confidence interval of 90% Spearman SP,Kendall correlation coefficient (tau),Predictive index (PI)
0,all,linearRegression,final,delta_G," 0.612
"," 0.6551409036565365 
"," [0.594 ~ 0.709] 
"," 0.537
"," 0.635
"
1,all,linearRegression,final,Affinity_Data_Value," 0.626
"," 0.6500596216768133 
"," [0.588 ~ 0.705] 
"," 0.551
"," 0.650
"
2,all,Ridge,final,delta_G," 0.614
"," 0.6489930293820488 
"," [0.587 ~ 0.704] 
"," 0.537
"," 0.637
"
3,all,Ridge,final,Affinity_Data_Value," 0.621
"," 0.6536308266919442 
"," [0.592 ~ 0.708] 
"," 0.551
"," 0.643
"
4,all,Ridge,final,pKd_pKi_pIC50," -0.609
"," -0.648135090014936 
"," [-0.703 ~ -0.586] 
"," -0.533
"," -0.632
"
5,all,Lasso,final,delta_G," 0.611
"," 0.6512581448289373 
"," [0.589 ~ 0.706] 
"," 0.544
"," 0.635
"
6,all,Lasso,final,Affinity_Data_Value," 0.618
"," 0.6506985402689383 
"," [0.589 ~ 0.705] 
"," 0.551
"," 0.639
"
7,all,Lasso,final,pKd_pKi_pIC50," -0.619
"," -0.6521059755448971 
"," [-0.706 ~ -0.59] 
"," -0.547
"," -0.643
"
8,all,ElasticNet,final,delta_G," 0.609
"," 0.6514307694870937 
"," [0.59 ~ 0.706] 
"," 0.540
"," 0.633
"
9,all,ElasticNet,final,Affinity_Data_Value," 0.633
"," 0.6321001773239748 
"," [0.568 ~ 0.689] 
"," 0.561
"," 0.667
"
10,all,ElasticNet,final,pKd_pKi_pIC50," -0.614
"," -0.6513843733702619 
"," [-0.706 ~ -0.589] 
"," -0.544
"," -0.640
"
11,all,SVR,final,delta_G," -0.553
"," -0.5919003316456013 
"," [-0.654 ~ -0.522] 
"," -0.497
"," -0.522
"
12,all,SVR,final,Affinity_Data_Value," 0.635
"," 0.6532744319397448 
"," [0.592 ~ 0.707] 
"," 0.561
"," 0.658
"
13,all,SVR,final,pKd_pKi_pIC50," 0.362
"," 0.3106754119959475 
"," [0.217 ~ 0.399] 
"," 0.342
"," 0.338
"
